========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 599
Deadline misses: 0 (0.00%)
Execution time:
  Mean: 190.870 us
  Min: 150.000 us
  Max: 1508.240 us
Jitter:
  Mean: 1630.510 us
  Max: 3918.768 us
Response time:
  Mean: 1821.379 us
  Min: 1497.120 us
  Max: 5167.552 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 410272   2356  28264    0    0   389    19  252  159 20 46 33  1  0
 1  0      0 407672   4980  28340    0    0  2624     0  749  234  0 41 57  2  0
 1  0      0 405564   7004  28332    0    0  2024     0 1117  177  0 43 57  0  0
 0  0      0 405192   7448  28356    0    0   444     0  286   51  0 10 90  0  0
 0  0      0 405192   7448  28356    0    0     0     0   15   18  0  0 100  0  0
 0  0      0 405192   7448  28356    0    0     0     0   13   17  0  0 100  0  0
 0  0      0 405192   7456  28348    0    0     0    56   31   34  0  0 95  5  0
 0  0      0 405192   7456  28348    0    0     0     0   15   12  0  0 100  0  0
 0  0      0 405192   7456  28356    0    0     0     0   19   21  0  0 100  0  0
 0  0      0 405192   7456  28356    0    0     0     0   16   13  0  1 99  0  0
 0  0      0 405192   7456  28356    0    0     0     0   17   23  0  0 99  0  0
 0  0      0 405192   7456  28356    0    0     0     0   12   12  0  0 100  0  0
 0  0      0 405192   7456  28356    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 405192   7456  28356    0    0     0     0   21   23  0  1 99  0  0
 0  0      0 405192   7456  28356    0    0     0     0   12   18  0  1 100  0  0
 0  0      0 405192   7456  28356    0    0     0     0   12   12  0  0 100  0  0
 0  0      0 405192   7456  28356    0    0     0     4   29   24  0  1 99  0  0
 0  0      0 405192   7456  28356    0    0     0     0   12   12  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   17   23  0  1 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   11   15  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   14   15  0  0 99  0  0
 0  0      0 405192   7456  28360    0    0     0     0   18   22  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   12   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   12   15  0  0 100  0  0
 1  0      0 405192   7456  28360    0    0     0     0   13   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   17   22  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   11   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   14   18  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   11   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   17   15  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   16   15  0  1 99  0  0
 0  0      0 405192   7456  28360    0    0     0     0   17   20  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   10   11  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   19   20  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   12   13  0  0 99  0  0
 0  0      0 405192   7456  28360    0    0     0     0   15   18  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   14   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   16   16  0  0 99  0  0
 1  0      0 405192   7456  28360    0    0     0   232   29   23  0  1 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   20   24  0  0 99  0  0
 1  0      0 405192   7456  28360    0    0     0     0   13   11  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0    9   13  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   17   18  0  0 100  0  0
 0  0      0 405192   7456  28360    0    0     0     0   19   21  0  0 99  0  0
 0  0      0 405192   7456  28360    0    0     0     0   16   14  0  0 99  0  0
 0  0      0 405192   7456  28364    0    0     0     0   13   17  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   18   19  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   12   13  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   17   16  0  0 99  0  0
 0  0      0 405192   7456  28364    0    0     0     0   14   16  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   16   13  0  0 99  0  0
 1  0      0 405192   7456  28364    0    0     0     0   16   16  0  0 100  0  0
 1  0      0 405192   7456  28364    0    0     0     0   13   13  0  0 99  0  0
 1  0      0 405192   7456  28364    0    0     0     0   19   24  0  0 100  0  0
 1  0      0 405192   7456  28364    0    0     0     0   11   13  0  0 100  0  0
 0  0      0 405192   7456  28364    0    0     0     0   25   26  0  1 99  0  0
 0  0      0 405192   7456  28364    0    0     0     0   34   38  0  1 98  0  0
 0  0      0 405192   7456  28364    0    0     0     0   26   40  0  1 99  0  0
 0  0      0 404820   7840  28344    0    0   384     0  106   50  0  4 95  1  0
 0  0      0 404820   7840  28364    0    0     0     0   42   38  0  2 98  0  0
===VMSTAT_END===
