stress-ng: info:  [402] setting to a 60 second run per stressor
stress-ng: info:  [402] dispatching hogs: 2 stream
stress-ng: info:  [403] stress-ng-stream: using built-in defaults as no suitable cache found
stress-ng: info:  [403] stress-ng-stream: stressor loosely based on a variant of the STREAM benchmark code
stress-ng: info:  [403] stress-ng-stream: do NOT submit any of these results to the STREAM benchmark results
stress-ng: info:  [403] stress-ng-stream: Using CPU cache size of 2048K
stress-ng: info:  [404] stress-ng-stream: memory rate: 303.51 MB/sec, 121.40 Mflop/sec (instance 1)
stress-ng: info:  [403] stress-ng-stream: memory rate: 298.17 MB/sec, 119.27 Mflop/sec (instance 0)
stress-ng: info:  [402] successful run completed in 60.55s (1 min, 0.55 secs)
stress-ng: info:  [402] stressor       bogo ops real time  usr time  sys time   bogo ops/s     bogo ops/s
stress-ng: info:  [402]                           (secs)    (secs)    (secs)   (real time) (usr+sys time)
stress-ng: info:  [402] stream              903     60.28    119.25      0.48        14.98           7.54
stress-ng: info:  [402] stream           300.84 memory rate (MB per sec) (average per stressor)
stress-ng: info:  [402] stream           120.34 memory rate (Mflop per sec) (average per stressor)
========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Starting stress-ng workload for 60 seconds...
Command: stress-ng --stream 2 --timeout 60s --metrics-brief


Stress-ng completed with exit code: 0
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 1 (0.08%)
Execution time:
  Mean: 138.436 us
  Min: 127.872 us
  Max: 608.656 us
Jitter:
  Mean: 1264.913 us
  Max: 10495.936 us
Response time:
  Mean: 1403.349 us
  Min: 1005.136 us
  Max: 10632.128 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 406304   3944  30728    0    0    15     5  212   23 75  6 20  0  0 1970-01-01 00:12:34
 2  0      0 379148   3944  32856    0    0     0     0  460   98 57 25 19  0  0 1970-01-01 00:12:35
 2  0      0 379148   3944  32888    0    0     0     0  512   27 100  0  0  0  0 1970-01-01 00:12:36
 3  0      0 379148   3944  32888    0    0     0    52  508   24 100  0  0  0  0 1970-01-01 00:12:37
 2  0      0 379148   3944  32888    0    0     0     0  506   18 100  0  0  0  0 1970-01-01 00:12:38
 2  0      0 379148   3944  32888    0    0     0   128  519   36 99  1  0  0  0 1970-01-01 00:12:39
 2  0      0 379148   3944  32888    0    0     0     0  510   28 100  0  0  0  0 1970-01-01 00:12:40
 2  0      0 379148   3944  32888    0    0     0     0  512   23 99  1  0  0  0 1970-01-01 00:12:41
 2  0      0 379148   3944  32888    0    0     0     0  507   18 100  0  0  0  0 1970-01-01 00:12:42
 2  0      0 379148   3944  32888    0    0     0     0  500   23 99  1  0  0  0 1970-01-01 00:12:43
 3  0      0 379148   3944  32888    0    0     0     0  506   21 100  0  0  0  0 1970-01-01 00:12:44
 2  0      0 379148   3944  32888    0    0     0    12  516   34 99  1  0  0  0 1970-01-01 00:12:45
 2  0      0 379148   3944  32888    0    0     0     0  507   22 100  0  0  0  0 1970-01-01 00:12:46
 2  0      0 379148   3944  32888    0    0     0     0  506   16 100  0  0  0  0 1970-01-01 00:12:47
 2  0      0 379148   3944  32888    0    0     0     0  506   24 100  0  0  0  0 1970-01-01 00:12:48
 2  0      0 379148   3944  32888    0    0     0     0  511   20 100  0  0  0  0 1970-01-01 00:12:49
 2  0      0 379148   3944  32888    0    0     0     0  509   18 100  0  0  0  0 1970-01-01 00:12:50
 2  0      0 379148   3944  32888    0    0     0    12  518   35 99  1  0  0  0 1970-01-01 00:12:51
 2  0      0 379148   3944  32888    0    0     0     0  511   27 100  0  0  0  0 1970-01-01 00:12:52
