stress-ng: info:  [364] setting to a 60 second run per stressor
stress-ng: info:  [364] dispatching hogs: 2 cache
stress-ng: info:  [364] successful run completed in 60.25s (1 min, 0.25 secs)
stress-ng: info:  [364] stressor       bogo ops real time  usr time  sys time   bogo ops/s     bogo ops/s
stress-ng: info:  [364]                           (secs)    (secs)    (secs)   (real time) (usr+sys time)
stress-ng: info:  [364] cache              1090     60.05     75.49      1.35        18.15          14.19
========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Starting stress-ng workload for 60 seconds...
Command: stress-ng --cache 2 --timeout 60s --metrics-brief


Stress-ng completed with exit code: 0
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 1 (0.08%)
Execution time:
  Mean: 190.194 us
  Min: 125.520 us
  Max: 2150.016 us
Jitter:
  Mean: 1783.588 us
  Max: 14078.592 us
Response time:
  Mean: 1973.782 us
  Min: 1419.936 us
  Max: 14208.704 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 406088   3820  30768    0    0    19     5  146   80 41  6 52  0  0 1970-01-01 00:09:35
 2  0      0 401996   3820  34980    0    0     0     0  404  122 37 34 30  0  0 1970-01-01 00:09:36
 2  0      0 401996   3820  34980    0    0     0     0  317  172 53  1 46  0  0 1970-01-01 00:09:37
 2  0      0 401996   3820  34980    0    0     0     0  331  165 56  2 43  0  0 1970-01-01 00:09:38
 2  0      0 401996   3820  34980    0    0     0     0  368  153 65  1 35  0  0 1970-01-01 00:09:39
 2  0      0 401996   3820  34980    0    0     0     0  411  140 73  1 26  0  0 1970-01-01 00:09:40
 2  0      0 401996   3828  34980    0    0     0    92  399  152 70  2 28  0  0 1970-01-01 00:09:41
 2  0      0 401996   3828  34980    0    0     0     0  414  135 74  2 24  0  0 1970-01-01 00:09:42
 2  0      0 401996   3828  34980    0    0     0     0  427  129 77  2 21  0  0 1970-01-01 00:09:43
 2  0      0 401996   3828  34980    0    0     0     0  370  155 65  2 34  0  0 1970-01-01 00:09:44
 2  0      0 401996   3828  34980    0    0     0     0  312  168 53  1 46  0  0 1970-01-01 00:09:45
 2  0      0 401996   3828  34980    0    0     0     0  304  177 51  1 48  0  0 1970-01-01 00:09:46
 2  0      0 401996   3836  34980    0    0     0    12  328  184 53  2 46  1  0 1970-01-01 00:09:47
 2  0      0 401996   3836  34980    0    0     0     0  365  157 63  2 36  0  0 1970-01-01 00:09:48
 2  0      0 401996   3836  34980    0    0     0     0  398  143 70  2 29  0  0 1970-01-01 00:09:49
 2  0      0 401996   3836  34980    0    0     0     0  407  134 73  1 26  0  0 1970-01-01 00:09:50
 2  0      0 401996   3836  34980    0    0     0     0  429  128 78  2 20  0  0 1970-01-01 00:09:51
 2  0      0 401996   3836  34980    0    0     0     0  404  148 72  2 26  0  0 1970-01-01 00:09:52
 2  0      0 401996   3844  34980    0    0     0    12  348  177 60  1 39  0  0 1970-01-01 00:09:53
 2  0      0 401996   3844  34980    0    0     0    16  319  181 53  2 46  0  0 1970-01-01 00:09:54
 2  0      0 401996   3844  34980    0    0     0     0  335  163 56  1 43  0  0 1970-01-01 00:09:55
 2  0      0 401996   3844  34980    0    0     0     0  389  146 69  1 30  0  0 1970-01-01 00:09:56
 2  0      0 401996   3844  34980    0    0     0     0  432  131 77  2 21  0  0 1970-01-01 00:09:57
 2  0      0 401996   3844  34980    0    0     0     0  425  132 77  1 22  0  0 1970-01-01 00:09:58
 2  0      0 401996   3852  34980    0    0     0    12  395  163 68  2 29  0  0 1970-01-01 00:09:59
 2  0      0 401996   3852  34980    0    0     0     0  327  167 56  2 43  0  0 1970-01-01 00:10:00
 2  0      0 401996   3852  34980    0    0     0     0  317  173 53  2 46  0  0 1970-01-01 00:10:01
 2  0      0 401996   3852  34980    0    0     0     0  322  169 55  1 44  0  0 1970-01-01 00:10:02
 2  0      0 401996   3852  34980    0    0     0     0  313  167 54  1 45  0  0 1970-01-01 00:10:03
 2  0      0 401996   3852  34980    0    0     0     0  333  176 58  1 42  0  0 1970-01-01 00:10:04
 2  0      0 401996   3860  34980    0    0     0    12  343  174 58  1 41  1  0 1970-01-01 00:10:05
 2  0      0 401996   3860  34980    0    0     0     0  335  167 57  2 42  0  0 1970-01-01 00:10:06
 2  0      0 401996   3860  34980    0    0     0     0  370  157 64  2 34  0  0 1970-01-01 00:10:07
 2  0      0 401996   3860  34980    0    0     0     0  402  144 70  2 29  0  0 1970-01-01 00:10:08
 2  0      0 401996   3860  34980    0    0     0     0  436  133 78  2 20  0  0 1970-01-01 00:10:09
 2  0      0 401996   3860  34980    0    0     0     0  425  133 77  1 22  0  0 1970-01-01 00:10:10
 2  0      0 401996   3868  34980    0    0     0    12  395  161 65  3 32  0  0 1970-01-01 00:10:11
 2  0      0 401996   3868  34980    0    0     0     0  339  172 58  1 41  0  0 1970-01-01 00:10:12
 2  0      0 401996   3868  34980    0    0     0     0  304  170 51  1 48  0  0 1970-01-01 00:10:13
 2  0      0 401872   3868  34984    0    0     0     0  327  176 55  2 44  0  0 1970-01-01 00:10:14
 2  0      0 401872   3868  34984    0    0     0     0  357  160 62  1 37  0  0 1970-01-01 00:10:15
 2  0      0 401872   3868  34984    0    0     0     0  381  155 66  2 33  0  0 1970-01-01 00:10:16
 2  0      0 401872   3876  34984    0    0     0    12  432  145 76  2 22  1  0 1970-01-01 00:10:17
 2  0      0 401872   3876  34984    0    0     0     0  429  132 76  2 21  0  0 1970-01-01 00:10:18
 2  0      0 401872   3876  34984    0    0     0     0  425  133 78  1 21  0  0 1970-01-01 00:10:19
 2  0      0 401872   3876  34984    0    0     0     0  384  148 68  1 31  0  0 1970-01-01 00:10:20
 2  0      0 401872   3876  34984    0    0     0     0  320  170 56  1 43  0  0 1970-01-01 00:10:21
 2  0      0 401872   3876  34984    0    0     0     0  303  173 52  1 48  0  0 1970-01-01 00:10:22
 2  0      0 401872   3880  34984    0    0     0    12  318  190 52  2 46  1  0 1970-01-01 00:10:23
 2  0      0 401872   3880  34984    0    0     0   148  360  165 61  2 38  0  0 1970-01-01 00:10:24
 2  0      0 401872   3880  34984    0    0     0     0  367  154 63  2 35  0  0 1970-01-01 00:10:25
 2  0      0 401872   3880  34984    0    0     0     0  369  154 65  2 34  0  0 1970-01-01 00:10:26
 2  0      0 401872   3880  34984    0    0     0     0  375  153 66  1 33  0  0 1970-01-01 00:10:27
 2  0      0 401872   3880  34984    0    0     0     0  401  140 73  1 26  0  0 1970-01-01 00:10:28
 2  0      0 401872   3880  34984    0    0     0    16  440  150 77  3 20  1  0 1970-01-01 00:10:29
 2  0      0 401872   3880  34984    0    0     0     0  408  139 71  2 28  0  0 1970-01-01 00:10:30
 2  0      0 401872   3880  34984    0    0     0     0  324  174 54  1 45  0  0 1970-01-01 00:10:31
 2  0      0 401872   3880  34984    0    0     0     0  316  174 54  1 45  0  0 1970-01-01 00:10:32
 2  0      0 401872   3880  34984    0    0     0     0  306  174 52  1 48  0  0 1970-01-01 00:10:33
 2  0      0 401872   3880  34984    0    0     0     0  305  175 52  1 47  0  0 1970-01-01 00:10:34
 1  0      0 401748   3880  34984    0    0     0    12  343  178 43 13 43  1  0 1970-01-01 00:10:35
 0  0      0 405796   3880  30776    0    0     0     0  159  107  2 15 83  0  0 1970-01-01 00:10:36
 0  0      0 405796   3880  30776    0    0     0     0   42   48  1  2 97  0  0 1970-01-01 00:10:37
 1  0      0 405796   3880  30776    0    0     0     0   37   34  0  2 97  0  0 1970-01-01 00:10:38
===VMSTAT_END===
