========================================
Speedometer RT Application (LI mode)
========================================

Configuring real-time environment...

Starting real-time loop (duration: 30s)...
Press Ctrl+C to stop early


========== SPEEDOMETER RT APPLICATION RESULTS ==========

Test Configuration:
  Period: 50.000 ms
  Deadline: 5.000 ms
  RT Priority: 99 (SCHED_FIFO)

Execution Statistics:
  Total cycles: 600
  Deadline misses: 0 (0.000%)

Execution Time (μs):
  Mean: 11.631
  Min: 7.136
  Max: 325.552
  50th percentile: 7.968
  95th percentile: 29.136
  99th percentile: 57.120
  99.9th percentile: 325.552

Jitter (μs):
  Mean: 1643.081
  Min: 915.312
  Max: 3978.768

Response Time (μs):
  Mean: 1654.712
  Min: 923.680
  Max: 3989.072
  50th percentile: 1667.792
  95th percentile: 2647.712
  99th percentile: 3182.128
  99.9th percentile: 3989.072

========================================================
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051751,205.088,1750.592,1955.680,0
2,0.101910,9.408,1909.968,1919.376,0
3,0.152683,9.232,2682.928,2692.160,0
4,0.203129,7.808,3128.992,3136.800,0
5,0.251772,7.792,1771.696,1779.488,0
6,0.301648,32.080,1647.824,1679.904,0
7,0.352173,9.648,2172.848,2182.496,0
8,0.401626,7.472,1625.760,1633.232,0
9,0.451718,7.952,1718.240,1726.192,0
10,0.501736,7.936,1736.016,1743.952,0
11,0.551598,7.312,1598.144,1605.456,0
12,0.601877,8.000,1876.864,1884.864,0
13,0.651620,7.424,1619.984,1627.408,0
14,0.701623,7.520,1622.736,1630.256,0
15,0.751631,7.840,1630.960,1638.800,0
16,0.801702,7.680,1702.496,1710.176,0
17,0.851617,7.344,1617.376,1624.720,0
18,0.901626,7.872,1626.448,1634.320,0
19,0.951707,7.424,1707.232,1714.656,0
20,1.001620,7.616,1619.712,1627.328,0
21,1.052417,9.280,2416.560,2425.840,0
22,1.101645,25.376,1645.424,1670.800,0
23,1.151635,7.808,1634.736,1642.544,0
24,1.201706,7.840,1706.240,1714.080,0
25,1.251748,7.488,1747.632,1755.120,0
26,1.301651,29.120,1651.344,1680.464,0
27,1.351887,7.776,1887.120,1894.896,0
28,1.401629,7.424,1629.088,1636.512,0
29,1.451739,7.184,1739.472,1746.656,0
30,1.501764,8.000,1763.568,1771.568,0
31,1.551751,7.792,1750.720,1758.512,0
32,1.601949,46.592,1948.832,1995.424,0
33,1.651751,7.888,1750.912,1758.800,0
34,1.701654,26.608,1653.968,1680.576,0
35,1.751684,8.416,1684.448,1692.864,0
36,1.801602,7.600,1602.208,1609.808,0
37,1.851611,7.888,1611.136,1619.024,0
38,1.902631,8.704,2631.296,2640.000,0
39,1.951701,8.640,1700.864,1709.504,0
40,2.001904,8.128,1903.600,1911.728,0
41,2.052569,8.384,2568.736,2577.120,0
42,2.101649,47.168,1648.768,1695.936,0
43,2.152575,7.520,2575.248,2582.768,0
44,2.201886,7.456,1885.648,1893.104,0
45,2.251710,7.616,1709.664,1717.280,0
46,2.302677,7.520,2677.456,2684.976,0
47,2.351586,7.408,1585.856,1593.264,0
48,2.401847,7.968,1847.024,1854.992,0
49,2.451608,7.344,1607.744,1615.088,0
50,2.501750,7.888,1749.984,1757.872,0
51,2.551593,7.440,1592.896,1600.336,0
52,2.601648,25.680,1647.856,1673.536,0
53,2.651708,7.936,1707.504,1715.440,0
54,2.702616,7.504,2615.936,2623.440,0
55,2.752049,7.584,2048.816,2056.400,0
56,2.801586,7.280,1585.536,1592.816,0
57,2.851765,7.376,1765.136,1772.512,0
58,2.901565,7.248,1564.992,1572.240,0
59,2.951576,7.344,1575.568,1582.912,0
60,3.001742,8.048,1742.448,1750.496,0
61,3.052141,9.936,2141.424,2151.360,0
62,3.101844,8.480,1844.000,1852.480,0
63,3.152098,8.224,2097.552,2105.776,0
64,3.201675,8.368,1674.720,1683.088,0
65,3.252586,7.520,2585.680,2593.200,0
66,3.301715,7.840,1715.488,1723.328,0
67,3.351928,8.112,1928.240,1936.352,0
68,3.401680,8.096,1680.224,1688.320,0
69,3.451748,7.952,1747.920,1755.872,0
70,3.501647,23.568,1646.704,1670.272,0
71,3.551870,38.080,1869.904,1907.984,0
72,3.601638,7.856,1638.064,1645.920,0
73,3.651710,8.032,1710.256,1718.288,0
74,3.701720,8.016,1720.192,1728.208,0
75,3.751699,8.160,1698.992,1707.152,0
76,3.801639,23.552,1639.280,1662.832,0
77,3.851727,8.064,1726.656,1734.720,0
78,3.901765,7.280,1764.944,1772.224,0
79,3.951682,10.560,1682.160,1692.720,0
