========================================
Speedometer RT Application (LI mode)
========================================

Configuring real-time environment...

Starting real-time loop (duration: 15s)...
Press Ctrl+C to stop early


========== SPEEDOMETER RT APPLICATION RESULTS ==========

Test Configuration:
  Period: 50.000 ms
  Deadline: 5.000 ms
  RT Priority: 99 (SCHED_FIFO)

Execution Statistics:
  Total cycles: 300
  Deadline misses: 1 (0.333%)

Execution Time (μs):
  Mean: 12.573
  Min: 7.536
  Max: 206.432
  50th percentile: 8.768
  95th percentile: 33.744
  99th percentile: 116.896
  99.9th percentile: 206.432

Jitter (μs):
  Mean: 2342.436
  Min: 1088.384
  Max: 9087.936

Response Time (μs):
  Mean: 2355.009
  Min: 1099.360
  Max: 9097.152
  50th percentile: 2474.944
  95th percentile: 3020.384
  99th percentile: 3449.088
  99.9th percentile: 9097.152

========================================================
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051569,206.432,1568.976,1775.408,0
2,0.102793,10.608,2793.424,2804.032,0
3,0.151912,8.672,1912.208,1920.880,0
4,0.202466,8.848,2466.096,2474.944,0
5,0.252003,8.736,2003.104,2011.840,0
6,0.302689,10.032,2688.768,2698.800,0
7,0.352440,8.032,2440.432,2448.464,0
8,0.402632,8.992,2631.840,2640.832,0
9,0.452646,9.088,2646.096,2655.184,0
10,0.501853,8.320,1853.360,1861.680,0
11,0.551895,7.952,1894.624,1902.576,0
12,0.602604,14.928,2603.600,2618.528,0
13,0.652869,8.304,2868.896,2877.200,0
14,0.701754,8.864,1753.632,1762.496,0
15,0.751642,8.288,1641.792,1650.080,0
16,0.802741,8.768,2740.784,2749.552,0
17,0.852644,9.824,2644.208,2654.032,0
18,0.902250,34.640,2250.352,2284.992,0
19,0.951977,8.128,1977.088,1985.216,0
20,1.002860,8.144,2859.664,2867.808,0
21,1.051893,8.816,1893.392,1902.208,0
22,1.102481,8.064,2481.152,2489.216,0
23,1.152429,7.840,2428.608,2436.448,0
24,1.202998,9.376,2998.304,3007.680,0
25,1.251427,7.744,1427.456,1435.200,0
26,1.302877,7.824,2876.544,2884.368,0
27,1.351435,7.824,1434.720,1442.544,0
28,1.402491,7.632,2490.608,2498.240,0
29,1.452512,8.160,2511.536,2519.696,0
30,1.502926,40.704,2926.496,2967.200,0
31,1.551888,7.696,1888.032,1895.728,0
32,1.602445,7.904,2445.360,2453.264,0
33,1.652669,9.488,2668.592,2678.080,0
