========================================
Speedometer RT Application (LI mode)
========================================

Configuring real-time environment...

Starting real-time loop (duration: 15s)...
Press Ctrl+C to stop early


========== SPEEDOMETER RT APPLICATION RESULTS ==========

Test Configuration:
  Period: 50.000 ms
  Deadline: 5.000 ms
  RT Priority: 99 (SCHED_FIFO)

Execution Statistics:
  Total cycles: 300
  Deadline misses: 1 (0.333%)

Execution Time (μs):
  Mean: 14.387
  Min: 8.256
  Max: 216.928
  50th percentile: 9.840
  95th percentile: 52.832
  99th percentile: 82.880
  99.9th percentile: 216.928

Jitter (μs):
  Mean: 1679.788
  Min: 1016.672
  Max: 6229.408

Response Time (μs):
  Mean: 1694.175
  Min: 1025.328
  Max: 6243.568
  50th percentile: 1710.176
  95th percentile: 2263.904
  99th percentile: 2905.888
  99.9th percentile: 6243.568

========================================================
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051426,216.928,1426.432,1643.360,0
2,0.102231,12.160,2230.640,2242.800,0
3,0.151351,13.776,1351.424,1365.200,0
4,0.201823,11.632,1822.848,1834.480,0
5,0.252241,10.624,2241.168,2251.792,0
6,0.301847,10.416,1847.456,1857.872,0
7,0.351889,9.696,1889.088,1898.784,0
8,0.401901,12.016,1900.768,1912.784,0
9,0.451897,11.200,1896.976,1908.176,0
10,0.501853,9.888,1853.344,1863.232,0
11,0.551306,11.152,1306.432,1317.584,0
12,0.601578,11.568,1577.712,1589.280,0
13,0.652434,11.152,2434.384,2445.536,0
14,0.702207,10.688,2207.072,2217.760,0
15,0.751398,17.104,1398.432,1415.536,0
16,0.802330,9.600,2329.536,2339.136,0
17,0.852896,9.888,2896.000,2905.888,0
18,0.901844,9.344,1844.384,1853.728,0
19,0.951969,17.024,1968.800,1985.824,0
20,1.001884,9.680,1884.176,1893.856,0
21,1.051313,10.336,1312.944,1323.280,0
22,1.102030,11.552,2029.808,2041.360,0
23,1.151847,10.384,1846.720,1857.104,0
24,1.201209,10.144,1209.200,1219.344,0
25,1.251293,12.528,1292.880,1305.408,0
26,1.301696,10.304,1695.504,1705.808,0
27,1.351215,11.280,1214.832,1226.112,0
28,1.401237,10.416,1237.024,1247.440,0
29,1.451320,10.384,1319.840,1330.224,0
30,1.501523,28.128,1523.328,1551.456,0
31,1.551905,9.584,1904.544,1914.128,0
32,1.602001,9.600,2001.088,2010.688,0
33,1.651701,8.864,1701.312,1710.176,0
34,1.701167,12.352,1167.456,1179.808,0
35,1.751917,10.272,1916.800,1927.072,0
36,1.801325,9.088,1325.424,1334.512,0
37,1.851456,8.576,1455.744,1464.320,0
38,1.901792,12.752,1791.744,1804.496,0
39,1.952497,13.600,2497.008,2510.608,0
40,2.001348,12.640,1347.696,1360.336,0
41,2.051301,10.048,1301.152,1311.200,0
42,2.101747,9.920,1746.608,1756.528,0
43,2.151803,9.520,1802.896,1812.416,0
44,2.201694,8.704,1693.728,1702.432,0
45,2.251739,9.232,1739.200,1748.432,0
46,2.301136,9.664,1135.584,1145.248,0
47,2.352009,9.312,2009.040,2018.352,0
48,2.401161,10.528,1160.864,1171.392,0
49,2.451289,16.000,1289.280,1305.280,0
50,2.501168,8.896,1168.400,1177.296,0
51,2.551231,25.920,1230.608,1256.528,0
52,2.601837,8.272,1836.528,1844.800,0
53,2.651310,9.440,1309.840,1319.280,0
54,2.701856,9.296,1855.632,1864.928,0
55,2.751867,8.688,1867.088,1875.776,0
56,2.801991,9.968,1990.864,2000.832,0
57,2.851896,9.280,1896.320,1905.600,0
58,2.901773,38.816,1773.376,1812.192,0
59,2.951260,8.672,1259.712,1268.384,0
60,3.001831,8.944,1831.408,1840.352,0
61,3.052101,55.184,2100.928,2156.112,0
62,3.102195,10.992,2195.040,2206.032,0
63,3.151458,15.232,1457.616,1472.848,0
64,3.202053,9.664,2053.456,2063.120,0
65,3.251863,9.312,1863.200,1872.512,0
66,3.301739,9.072,1739.440,1748.512,0
67,3.351806,9.648,1806.416,1816.064,0
68,3.401181,9.984,1180.928,1190.912,0
69,3.451844,9.920,1844.400,1854.320,0
70,3.501990,9.680,1990.464,2000.144,0
71,3.551445,9.744,1444.736,1454.480,0
72,3.601444,11.408,1444.352,1455.760,0
73,3.651297,9.424,1296.896,1306.320,0
74,3.701312,9.248,1312.000,1321.248,0
75,3.751345,53.424,1344.640,1398.064,0
76,3.801886,9.168,1886.144,1895.312,0
77,3.851994,10.080,1993.888,2003.968,0
78,3.901153,10.288,1153.216,1163.504,0
79,3.951902,12.896,1902.240,1915.136,0
80,4.001983,35.824,1983.408,2019.232,0
81,4.051751,9.984,1750.880,1760.864,0
82,4.101782,11.088,1781.792,1792.880,0
83,4.151269,11.088,1268.624,1279.712,0
84,4.201701,10.432,1700.800,1711.232,0
85,4.251336,70.800,1336.320,1407.120,0
86,4.301659,13.792,1659.168,1672.960,0
87,4.351336,9.936,1335.872,1345.808,0
88,4.401791,9.536,1791.024,1800.560,0
89,4.451509,14.064,1509.120,1523.184,0
90,4.501517,8.928,1517.312,1526.240,0
91,4.552036,9.024,2035.888,2044.912,0
92,4.601095,8.752,1095.328,1104.080,0
93,4.651753,9.120,1753.264,1762.384,0
94,4.702555,26.944,2555.376,2582.320,0
95,4.753302,12.032,3302.352,3314.384,0
96,4.801950,61.520,1950.448,2011.968,0
97,4.852161,9.712,2161.168,2170.880,0
98,4.902000,8.688,2000.176,2008.864,0
99,4.951305,8.576,1305.216,1313.792,0
100,5.001496,8.528,1496.240,1504.768,0
101,5.051864,8.848,1863.968,1872.816,0
102,5.102573,8.448,2572.896,2581.344,0
103,5.152196,9.504,2196.176,2205.680,0
104,5.201724,9.376,1724.384,1733.760,0
105,5.251804,8.960,1804.080,1813.040,0
106,5.301032,8.704,1032.000,1040.704,0
107,5.351894,9.328,1894.256,1903.584,0
108,5.401182,9.648,1181.696,1191.344,0
109,5.451321,10.416,1320.832,1331.248,0
110,5.502231,32.672,2231.232,2263.904,0
111,5.552226,9.056,2225.760,2234.816,0
112,5.601196,10.800,1195.920,1206.720,0
113,5.651708,9.584,1708.128,1717.712,0
114,5.701691,9.136,1691.168,1700.304,0
115,5.751832,8.256,1832.144,1840.400,0
116,5.801885,9.200,1885.296,1894.496,0
117,5.851887,9.328,1887.424,1896.752,0
