========================================
Speedometer RT Application (LI mode)
========================================

Configuring real-time environment...

Starting real-time loop (duration: 15s)...
Press Ctrl+C to stop early


========== SPEEDOMETER RT APPLICATION RESULTS ==========

Test Configuration:
  Period: 50.000 ms
  Deadline: 5.000 ms
  RT Priority: 99 (SCHED_FIFO)

Execution Statistics:
  Total cycles: 300
  Deadline misses: 1 (0.333%)

Execution Time (μs):
  Mean: 23.322
  Min: 7.248
  Max: 888.032
  50th percentile: 8.592
  95th percentile: 51.120
  99th percentile: 713.248
  99.9th percentile: 888.032

Jitter (μs):
  Mean: 1403.266
  Min: 923.184
  Max: 6307.776

Response Time (μs):
  Mean: 1426.588
  Min: 965.392
  Max: 6318.736
  50th percentile: 1208.720
  95th percentile: 2049.984
  99th percentile: 2216.240
  99.9th percentile: 6318.736

========================================================
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051316,188.320,1316.224,1504.544,0
2,0.101935,11.904,1934.800,1946.704,0
3,0.151148,11.328,1148.496,1159.824,0
4,0.202013,19.728,2012.976,2032.704,0
5,0.251200,9.056,1199.664,1208.720,0
6,0.302048,8.672,2048.128,2056.800,0
7,0.351226,7.760,1225.616,1233.376,0
8,0.401038,7.904,1038.000,1045.904,0
9,0.451831,9.712,1830.896,1840.608,0
10,0.501088,48.112,1088.320,1136.432,0
11,0.551231,8.464,1231.248,1239.712,0
12,0.601098,44.640,1098.032,1142.672,0
13,0.651372,7.840,1372.496,1380.336,0
14,0.701105,70.832,1104.592,1175.424,0
15,0.751221,8.080,1221.408,1229.488,0
16,0.801843,7.840,1843.136,1850.976,0
17,0.851188,8.336,1188.128,1196.464,0
18,0.901839,8.304,1839.008,1847.312,0
19,0.951127,7.600,1126.624,1134.224,0
20,1.002085,15.040,2085.152,2100.192,0
21,1.051147,8.752,1147.136,1155.888,0
22,1.101067,7.696,1066.800,1074.496,0
23,1.151861,7.584,1861.424,1869.008,0
24,1.201863,7.664,1863.264,1870.928,0
25,1.251390,7.616,1389.680,1397.296,0
26,1.301141,8.080,1140.592,1148.672,0
27,1.351193,8.144,1192.736,1200.880,0
28,1.401058,8.496,1058.416,1066.912,0
29,1.451865,8.176,1864.544,1872.720,0
30,1.501082,7.488,1082.224,1089.712,0
31,1.551295,9.488,1294.944,1304.432,0
32,1.600982,7.536,981.680,989.216,0
33,1.651180,8.368,1179.504,1187.872,0
34,1.700984,7.696,984.224,991.920,0
35,1.751166,8.096,1166.144,1174.240,0
36,1.800984,7.392,984.336,991.728,0
37,1.851177,7.920,1176.672,1184.592,0
38,1.900984,7.536,983.888,991.424,0
39,1.951167,7.856,1167.328,1175.184,0
40,2.001874,8.784,1874.400,1883.184,0
41,2.051217,9.232,1217.344,1226.576,0
42,2.100979,8.288,978.656,986.944,0
43,2.150989,8.864,989.120,997.984,0
44,2.201772,8.416,1771.568,1779.984,0
45,2.250990,10.256,990.304,1000.560,0
46,2.301144,8.160,1143.632,1151.792,0
47,2.351327,9.440,1327.296,1336.736,0
48,2.401858,8.288,1857.760,1866.048,0
49,2.451006,7.616,1006.112,1013.728,0
50,2.501152,22.032,1151.904,1173.936,0
51,2.551253,7.584,1252.560,1260.144,0
52,2.601826,10.192,1826.368,1836.560,0
53,2.650992,7.728,992.384,1000.112,0
54,2.701149,10.544,1149.344,1159.888,0
55,2.751158,7.616,1157.536,1165.152,0
56,2.801704,7.520,1703.520,1711.040,0
57,2.851169,7.984,1168.688,1176.672,0
58,2.901853,9.568,1852.832,1862.400,0
59,2.951063,7.536,1063.008,1070.544,0
60,3.001147,9.248,1147.328,1156.576,0
61,3.051083,7.392,1082.704,1090.096,0
62,3.101948,54.208,1947.920,2002.128,0
63,3.151263,7.696,1263.104,1270.800,0
64,3.201146,27.696,1146.144,1173.840,0
65,3.251150,8.048,1150.400,1158.448,0
66,3.300923,43.168,923.184,966.352,0
67,3.351096,39.792,1096.112,1135.904,0
68,3.401890,8.144,1890.176,1898.320,0
69,3.451375,8.080,1374.608,1382.688,0
70,3.501094,8.240,1093.648,1101.888,0
71,3.551041,8.560,1040.608,1049.168,0
72,3.602054,8.352,2053.936,2062.288,0
73,3.651178,7.472,1177.696,1185.168,0
74,3.701159,8.720,1159.312,1168.032,0
75,3.751051,7.712,1051.072,1058.784,0
76,3.801827,34.544,1827.344,1861.888,0
77,3.851208,11.792,1208.448,1220.240,0
78,3.901849,11.184,1849.216,1860.400,0
79,3.951083,8.464,1082.528,1090.992,0
80,4.001169,9.280,1168.560,1177.840,0
81,4.051196,11.120,1195.824,1206.944,0
82,4.106308,10.960,6307.776,6318.736,1
83,4.151415,11.376,1414.624,1426.000,0
84,4.201150,9.520,1150.256,1159.776,0
85,4.251199,8.384,1198.560,1206.944,0
86,4.302042,9.792,2041.904,2051.696,0
87,4.351354,11.248,1354.336,1365.584,0
88,4.402050,11.056,2050.432,2061.488,0
89,4.451145,9.184,1145.408,1154.592,0
90,4.502103,41.136,2103.296,2144.432,0
91,4.551315,26.672,1314.960,1341.632,0
92,4.601095,713.248,1095.360,1808.608,0
93,4.651266,48.800,1265.680,1314.480,0
94,4.701065,7.552,1064.880,1072.432,0
95,4.752021,8.400,2021.088,2029.488,0
96,4.801090,47.840,1090.192,1138.032,0
97,4.851003,7.920,1003.408,1011.328,0
98,4.901736,8.656,1735.648,1744.304,0
99,4.951084,8.096,1083.712,1091.808,0
100,5.001913,8.176,1912.528,1920.704,0
101,5.050991,8.592,991.008,999.600,0
102,5.101071,7.504,1071.200,1078.704,0
103,5.151894,8.624,1893.632,1902.256,0
104,5.201062,7.872,1062.496,1070.368,0
105,5.251728,8.032,1728.384,1736.416,0
106,5.301849,8.416,1849.040,1857.456,0
107,5.351050,7.616,1050.128,1057.744,0
108,5.401862,8.256,1862.496,1870.752,0
109,5.451011,7.680,1011.456,1019.136,0
110,5.501922,8.448,1922.112,1930.560,0
111,5.551079,7.696,1078.672,1086.368,0
112,5.601956,8.400,1956.480,1964.880,0
113,5.651186,7.696,1185.760,1193.456,0
114,5.701783,13.520,1782.992,1796.512,0
115,5.751226,13.296,1225.824,1239.120,0
116,5.802267,17.920,2266.976,2284.896,0
117,5.851326,14.384,1325.632,1340.016,0
118,5.901889,14.224,1888.912,1903.136,0
119,5.951207,14.096,1206.512,1220.608,0
120,6.002125,16.512,2124.768,2141.280,0
121,6.051083,52.016,1082.832,1134.848,0
122,6.101832,12.400,1831.792,1844.192,0
123,6.151076,10.576,1075.808,1086.384,0
124,6.201880,8.928,1879.584,1888.512,0
125,6.251023,9.776,1023.344,1033.120,0
126,6.301094,44.592,1094.016,1138.608,0
127,6.351151,8.864,1150.928,1159.792,0
128,6.401079,7.888,1078.640,1086.528,0
129,6.451181,7.968,1181.328,1189.296,0
130,6.501089,7.760,1089.424,1097.184,0
131,6.551185,8.976,1184.672,1193.648,0
132,6.601112,763.376,1111.984,1875.360,0
133,6.651179,7.872,1178.960,1186.832,0
134,6.701090,8.464,1090.400,1098.864,0
135,6.751147,7.920,1146.832,1154.752,0
136,6.801847,8.720,1846.752,1855.472,0
137,6.851193,8.512,1193.152,1201.664,0
138,6.901163,16.080,1163.424,1179.504,0
139,6.950986,8.032,986.016,994.048,0
140,7.001861,8.336,1861.488,1869.824,0
141,7.051258,65.952,1258.096,1324.048,0
142,7.101099,65.408,1099.264,1164.672,0
143,7.151154,8.288,1154.080,1162.368,0
144,7.201941,8.560,1940.880,1949.440,0
145,7.251383,8.480,1382.608,1391.088,0
146,7.301152,8.784,1152.272,1161.056,0
147,7.351183,7.936,1182.944,1190.880,0
148,7.401146,8.896,1145.920,1154.816,0
149,7.451144,8.624,1144.288,1152.912,0
150,7.500990,24.544,990.368,1014.912,0
151,7.551866,8.544,1866.400,1874.944,0
152,7.601001,7.712,1000.912,1008.624,0
153,7.651361,15.184,1361.440,1376.624,0
154,7.701835,9.584,1835.312,1844.896,0
155,7.751081,8.288,1081.376,1089.664,0
156,7.801143,8.336,1143.088,1151.424,0
157,7.851060,7.792,1059.712,1067.504,0
158,7.901101,888.032,1101.072,1989.104,0
159,7.951426,7.696,1425.744,1433.440,0
160,8.001998,172.624,1997.552,2170.176,0
161,8.051058,8.288,1057.984,1066.272,0
162,8.102006,10.256,2006.304,2016.560,0
163,8.151085,11.968,1085.200,1097.168,0
164,8.201869,9.120,1868.848,1877.968,0
165,8.251360,8.736,1359.648,1368.384,0
166,8.301840,16.320,1839.632,1855.952,0
167,8.351096,45.680,1095.536,1141.216,0
168,8.401048,8.192,1047.632,1055.824,0
169,8.451889,7.872,1889.056,1896.928,0
170,8.501839,8.688,1839.008,1847.696,0
171,8.551098,48.000,1098.496,1146.496,0
172,8.601053,8.160,1053.200,1061.360,0
173,8.652036,13.552,2036.432,2049.984,0
174,8.702203,13.104,2203.136,2216.240,0
175,8.751043,10.448,1043.184,1053.632,0
176,8.801879,10.720,1878.624,1889.344,0
177,8.851188,9.984,1188.416,1198.400,0
178,8.901175,9.408,1174.992,1184.400,0
179,8.951204,9.456,1203.632,1213.088,0
180,9.000990,11.312,990.320,1001.632,0
181,9.051230,11.360,1230.048,1241.408,0
182,9.101864,12.112,1863.520,1875.632,0
183,9.151462,13.120,1462.288,1475.408,0
184,9.201885,27.936,1884.560,1912.496,0
185,9.251141,8.208,1140.720,1148.928,0
186,9.301817,7.984,1817.488,1825.472,0
187,9.351092,7.744,1092.096,1099.840,0
188,9.402020,9.296,2020.320,2029.616,0
189,9.451091,41.872,1091.408,1133.280,0
190,9.501906,10.016,1905.776,1915.792,0
191,9.551313,14.720,1313.040,1327.760,0
192,9.601089,44.624,1089.120,1133.744,0
193,9.651192,8.208,1192.240,1200.448,0
194,9.700981,7.616,980.720,988.336,0
195,9.751160,7.536,1160.288,1167.824,0
196,9.801882,7.712,1882.416,1890.128,0
197,9.851142,7.744,1142.384,1150.128,0
198,9.901122,46.688,1121.888,1168.576,0
199,9.951318,8.816,1317.872,1326.688,0
200,10.001009,7.808,1008.560,1016.368,0
201,10.051850,7.952,1849.920,1857.872,0
202,10.100991,7.248,991.472,998.720,0
203,10.151630,47.968,1629.600,1677.568,0
204,10.202060,10.400,2060.304,2070.704,0
205,10.251140,8.832,1139.584,1148.416,0
206,10.301088,47.280,1088.176,1135.456,0
207,10.351392,8.080,1391.840,1399.920,0
208,10.401873,8.048,1873.376,1881.424,0
209,10.451203,8.352,1203.264,1211.616,0
210,10.501846,8.384,1846.240,1854.624,0
211,10.551023,8.720,1023.312,1032.032,0
212,10.601896,15.120,1896.256,1911.376,0
213,10.651325,8.784,1324.592,1333.376,0
214,10.702017,32.096,2017.152,2049.248,0
215,10.751206,8.848,1206.272,1215.120,0
216,10.802019,58.336,2018.528,2076.864,0
217,10.851191,8.208,1191.008,1199.216,0
218,10.901849,10.464,1848.592,1859.056,0
219,10.951250,8.352,1249.760,1258.112,0
220,11.001907,8.368,1907.056,1915.424,0
221,11.051280,34.688,1280.320,1315.008,0
222,11.101921,8.192,1921.024,1929.216,0
223,11.151165,8.000,1165.216,1173.216,0
224,11.202031,15.440,2030.944,2046.384,0
225,11.251208,8.192,1208.240,1216.432,0
226,11.301881,8.176,1881.360,1889.536,0
227,11.351323,9.104,1323.056,1332.160,0
228,11.402125,8.224,2124.624,2132.848,0
229,11.451223,8.144,1222.784,1230.928,0
230,11.501944,8.288,1943.664,1951.952,0
231,11.551096,8.304,1096.080,1104.384,0
232,11.601156,36.448,1156.096,1192.544,0
233,11.651222,8.336,1222.256,1230.592,0
234,11.701867,8.048,1867.248,1875.296,0
235,11.751323,14.688,1323.312,1338.000,0
236,11.801108,51.120,1107.920,1159.040,0
237,11.851153,8.464,1153.152,1161.616,0
238,11.901882,8.096,1881.904,1890.000,0
239,11.951106,7.920,1106.160,1114.080,0
240,12.001891,134.960,1891.216,2026.176,0
241,12.051090,7.648,1089.584,1097.232,0
242,12.101085,7.728,1084.608,1092.336,0
243,12.151218,8.272,1218.176,1226.448,0
244,12.201872,10.928,1871.808,1882.736,0
245,12.251105,29.056,1105.088,1134.144,0
246,12.301085,8.656,1085.152,1093.808,0
247,12.351379,7.760,1378.976,1386.736,0
248,12.401106,53.808,1105.568,1159.376,0
249,12.451059,7.840,1059.120,1066.960,0
250,12.501902,7.552,1902.496,1910.048,0
251,12.551028,8.368,1028.112,1036.480,0
252,12.601786,8.096,1786.112,1794.208,0
253,12.651106,38.784,1105.968,1144.752,0
254,12.701801,11.728,1800.656,1812.384,0
255,12.751223,8.320,1223.472,1231.792,0
256,12.800955,9.920,955.472,965.392,0
257,12.851194,7.696,1194.192,1201.888,0
258,12.901912,10.000,1912.256,1922.256,0
259,12.951186,8.448,1185.728,1194.176,0
260,13.001936,7.760,1935.504,1943.264,0
261,13.051138,8.160,1138.416,1146.576,0
262,13.101107,40.096,1106.768,1146.864,0
263,13.151340,11.472,1340.224,1351.696,0
264,13.201834,9.632,1834.048,1843.680,0
265,13.251176,8.240,1175.504,1183.744,0
266,13.301903,9.952,1902.608,1912.560,0
267,13.351226,9.264,1225.568,1234.832,0
268,13.401956,54.480,1956.208,2010.688,0
269,13.451104,45.152,1104.368,1149.520,0
270,13.501834,9.248,1833.760,1843.008,0
271,13.551021,10.304,1021.104,1031.408,0
272,13.601885,15.696,1884.608,1900.304,0
273,13.651072,7.712,1072.144,1079.856,0
274,13.700976,10.432,975.936,986.368,0
275,13.751107,44.208,1106.544,1150.752,0
276,13.801148,8.000,1147.552,1155.552,0
277,13.851038,7.824,1038.272,1046.096,0
278,13.901018,8.096,1018.176,1026.272,0
279,13.951741,8.048,1740.768,1748.816,0
280,14.001834,8.352,1834.496,1842.848,0
281,14.051073,7.840,1073.312,1081.152,0
282,14.101783,10.592,1782.960,1793.552,0
283,14.150999,8.384,999.008,1007.392,0
284,14.201817,10.096,1816.864,1826.960,0
285,14.251086,46.864,1085.648,1132.512,0
286,14.301910,10.464,1910.176,1920.640,0
287,14.351166,9.024,1166.464,1175.488,0
288,14.402009,9.744,2008.800,2018.544,0
289,14.451067,7.728,1066.928,1074.656,0
290,14.501163,48.400,1162.944,1211.344,0
291,14.551088,7.856,1087.584,1095.440,0
292,14.601113,49.488,1112.992,1162.480,0
293,14.651222,8.352,1221.552,1229.904,0
294,14.701014,7.696,1013.872,1021.568,0
295,14.751597,7.856,1596.848,1604.704,0
296,14.801046,7.680,1046.000,1053.680,0
