========================================
Speedometer RT Application (LI mode)
========================================

Configuring real-time environment...

Starting real-time loop (duration: 15s)...
Press Ctrl+C to stop early


========== SPEEDOMETER RT APPLICATION RESULTS ==========

Test Configuration:
  Period: 50.000 ms
  Deadline: 5.000 ms
  RT Priority: 99 (SCHED_FIFO)

Execution Statistics:
  Total cycles: 300
  Deadline misses: 0 (0.000%)

Execution Time (μs):
  Mean: 15.220
  Min: 8.736
  Max: 180.736
  50th percentile: 10.320
  95th percentile: 50.032
  99th percentile: 96.336
  99.9th percentile: 180.736

Jitter (μs):
  Mean: 1368.552
  Min: 996.608
  Max: 2273.344

Response Time (μs):
  Mean: 1383.772
  Min: 1006.352
  Max: 2283.776
  50th percentile: 1359.024
  95th percentile: 1741.360
  99th percentile: 1956.592
  99.9th percentile: 2283.776

========================================================
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051618,180.736,1617.968,1798.704,0
2,0.101419,11.776,1419.072,1430.848,0
3,0.151589,13.904,1588.528,1602.432,0
4,0.201419,11.248,1419.104,1430.352,0
5,0.251605,12.176,1605.392,1617.568,0
6,0.301382,10.960,1382.272,1393.232,0
7,0.351205,10.848,1204.560,1215.408,0
8,0.401285,9.616,1284.784,1294.400,0
9,0.451166,55.328,1165.744,1221.072,0
10,0.501385,10.304,1384.640,1394.944,0
11,0.551760,11.248,1759.664,1770.912,0
12,0.601389,11.648,1389.072,1400.720,0
13,0.651121,11.472,1120.816,1132.288,0
14,0.701455,10.304,1455.264,1465.568,0
15,0.751032,10.080,1031.808,1041.888,0
16,0.801328,10.304,1327.664,1337.968,0
17,0.851451,10.288,1451.184,1461.472,0
18,0.901244,9.456,1243.696,1253.152,0
19,0.951260,9.440,1259.600,1269.040,0
20,1.001264,9.728,1264.128,1273.856,0
21,1.051454,11.488,1453.808,1465.296,0
22,1.101204,14.816,1203.984,1218.800,0
23,1.151564,12.800,1563.760,1576.560,0
24,1.201288,10.336,1287.808,1298.144,0
25,1.251487,9.904,1487.392,1497.296,0
26,1.301563,10.528,1563.376,1573.904,0
27,1.351127,9.744,1126.896,1136.640,0
28,1.401229,9.488,1229.184,1238.672,0
29,1.451296,10.880,1295.984,1306.864,0
30,1.501313,35.072,1313.024,1348.096,0
31,1.551043,9.952,1042.688,1052.640,0
32,1.601610,10.608,1609.520,1620.128,0
33,1.651075,10.432,1074.576,1085.008,0
34,1.701395,9.728,1394.912,1404.640,0
35,1.751251,10.032,1250.848,1260.880,0
36,1.801419,9.760,1419.184,1428.944,0
37,1.851607,10.624,1606.896,1617.520,0
38,1.901698,10.080,1698.336,1708.416,0
39,1.951011,10.608,1010.720,1021.328,0
40,2.001802,35.248,1801.904,1837.152,0
41,2.051315,46.800,1315.200,1362.000,0
42,2.101468,10.608,1467.824,1478.432,0
