========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 55, got 54)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
  Mean:   1838.549    Std dev: 600.647
  Min:      55.424    Max:     7467.440
  P50:    1638.496    P95:     2903.344
  P99:    3973.952    P99.9:   7019.808
Throughput: 544 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3436896
2,3882208
3,1516048
4,3550752
5,1362640
6,2158624
7,1506448
8,2058480
9,1285312
10,2770048
11,1892048
12,1783520
13,4738080
14,3421856
15,1603904
16,3823216
17,1773568
18,4110816
19,1510480
20,3655136
21,1361696
22,1861600
23,1736704
24,1858736
25,2267392
26,1690624
27,1339536
28,1477536
29,3060896
30,2251584
31,1733024
32,2574032
33,1634816
34,1769712
35,1396864
36,1365760
37,2180864
38,1877024
39,2627024
40,2628448
41,1635632
42,2671888
43,3863536
44,1773472
45,1775824
46,1683040
47,2465776
48,2238832
49,2085120
50,1635088
51,1935664
52,1571456
53,2238176
54,1634656
55,1868800
56,2558608
57,1362224
58,1598256
59,1640976
60,1560944
61,1472336
62,6509376
63,1868864
64,1394512
65,2134304
66,2546928
67,1630016
68,1729936
69,2215472
70,2182704
71,1627344
72,1587856
73,2405360
74,1427408
75,2593888
76,1837168
77,2444912
78,1410320
79,2497792
80,1554048
81,2541120
82,2166112
83,1646864
84,1902144
85,1611232
86,1206000
87,1216272
88,2266064
89,1701536
90,1610176
91,1497648
92,1454048
93,2505888
94,1484416
95,1828960
96,1854768
97,1525584
98,1486432
99,1422512
100,2231376
101,1735952
102,1297808
103,2016000
104,1917456
105,1596352
106,2564128
107,1529200
108,1627648
109,1482224
110,1464960
111,1770400
112,1639920
113,1982944
114,2111424
115,2033232
116,1555984
117,2479840
118,1641504
119,1740608
120,1700384
121,1454112
122,1960640
123,1696432
124,1697760
125,1578496
126,1875840
127,1541040
128,1483184
129,1478112
130,1673216
131,2345424
132,3971440
133,1748016
134,1613824
135,1507872
136,1458288
137,1529200
138,1322544
139,1561168
140,1573888
141,1638480
142,1590960
143,1838944
144,2500736
145,1696112
146,3280800
147,1508880
148,1540464
149,1797744
150,1859104
151,1213232
152,1474144
153,1847280
154,1651136
155,1477024
156,1396704
157,1512848
158,1580512
159,1248064
160,2602144
161,1504160
162,1428112
163,2120416
164,2993888
165,1964112
166,1880800
167,1988656
168,2158400
169,1700736
170,1785888
171,1922128
172,1390048
173,2642032
174,2516848
175,1771152
176,2169200
177,1629296
178,2249200
179,1619808
180,2333856
181,1438336
182,1520768
183,2378384
184,1595824
185,2237472
186,1670208
187,1568064
188,1348096
189,2212304
190,1370960
191,1280512
192,1818912
193,1279664
194,2207152
195,1635344
196,1815152
197,1402512
198,1643040
199,1966928
200,1216304
201,1684416
202,1617216
203,1346704
204,1620640
205,1482384
206,2376864
207,1881600
208,2102800
209,1681808
210,2537328
211,1460912
212,1903296
213,1460272
214,1584208
215,1813552
216,2135344
217,1724560
218,1524944
219,2383072
220,1538544
221,1860512
222,1627376
223,2521680
224,1628448
225,1804720
226,1717120
227,2647648
228,1592112
229,1461616
230,2085824
231,1484736
232,1718272
233,1674080
234,2167888
235,1632160
236,2145216
237,1505632
238,1400736
239,2395360
240,1491024
241,1190160
242,1519040
243,2379040
244,1588928
245,2364832
246,1505056
247,1386576
248,2646016
249,2287872
250,1790656
251,2436112
252,1439520
253,1412816
254,2653072
255,2190368
256,1461008
257,1574032
258,1012336
259,1615360
260,2539472
261,1837200
262,1730336
263,1771088
264,1486272
265,1699776
266,1501712
267,1667952
268,1469424
269,1357792
270,2412864
271,1517760
272,1991616
273,1948352
274,1880976
275,1789120
276,1955488
277,1569376
278,2254288
279,1636560
280,2949232
281,1524912
282,1950560
283,1380496
284,2492304
285,1457584
286,1351024
287,2335712
288,1696688
289,2720352
290,1790288
291,1457312
292,1372432
293,1538832
294,1461792
295,1548896
296,891648
297,1800512
298,1286816
299,2087376
300,1535104
301,1705952
302,1468848
303,1779840
304,1518160
305,1363648
306,1595728
307,1479344
308,2427600
309,1608336
310,2309296
311,2435168
312,1594640
313,1583664
314,4026528
315,1892688
316,1400464
317,1463264
318,1472192
319,1796560
320,1807408
321,1366240
322,1280704
323,1512320
324,1304128
325,3130112
326,1370208
327,3774400
328,3002576
329,1381248
330,1765936
331,1484816
332,2976704
333,1697280
334,1783776
335,1675904
336,3169152
337,1618800
338,2084592
339,1743696
340,1628096
341,1499952
342,1476432
343,1817648
344,1542080
345,1677184
346,1493360
347,2969744
348,3398336
349,1537552
350,1349504
351,1550368
