========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
  Mean:   1774.550    Std dev: 564.439
  Min:      89.248    Max:     7853.632
  P50:    1593.648    P95:     2849.248
  P99:    3720.160    P99.9:   7339.792
Throughput: 564 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7339792
2,2579936
3,1935392
4,1793536
5,1695168
6,2258608
7,1593664
8,2581232
9,1376368
10,2058304
11,1573680
12,1407760
13,2408576
14,1437024
15,2917392
16,1873040
17,1601872
18,1396224
19,1911264
20,1785024
21,1993248
22,1512864
23,2355168
24,1467024
25,3480224
26,1389776
27,1925280
28,1434320
29,1966128
30,1973120
31,2379216
32,1983008
33,2531008
34,1535296
35,1889248
36,1700272
37,1952656
38,2477776
39,1946000
40,1516352
41,2492512
42,2230576
43,2123888
44,1500640
45,2067680
46,3704256
47,1427856
48,1394608
49,2599136
50,2282192
51,1106112
52,1583440
53,1550912
54,1321776
55,1488560
56,1053008
57,1456464
58,1315920
59,1636608
60,1660624
61,1648832
62,1620784
63,1445232
64,1253792
65,4493376
66,1314528
67,2015776
68,1669584
69,2307824
70,1395168
71,1394016
72,1435696
73,1381728
74,2658928
75,1388400
76,2225968
77,1465264
78,1501520
79,1543088
80,1499488
81,2770768
82,1134320
83,2228064
84,1362048
85,1260768
86,1699360
87,1450048
88,2270352
89,1695952
90,2257456
91,1723376
92,1843136
93,1465920
94,1375376
95,1545536
96,1607504
97,2170928
98,1128336
99,1608800
100,1755488
101,1393824
102,1708016
103,1306048
104,1616672
105,1720992
106,1637840
107,2152320
108,1550512
109,1856000
110,2132400
111,1367568
112,2124544
113,1648768
114,1644608
115,3669248
116,1726400
117,3072704
118,1412176
119,1557600
120,2881520
121,1246976
122,1501648
123,1379072
124,902528
125,1261136
126,1787344
127,3313808
128,1684576
129,1308304
130,1568752
131,1474800
132,1478784
133,1830032
134,1770848
135,1480192
136,2449968
137,1439136
138,1471712
139,1515200
140,2743680
141,1514064
142,1869168
143,1479744
144,1171504
145,1564848
146,1486928
147,2849248
148,1614128
149,1446464
150,1526448
151,1497408
152,1470528
153,3720160
154,3965968
155,1530336
156,1225376
157,1608992
158,1503344
159,1691536
160,1671616
161,1514512
162,1398192
163,1546944
164,1956400
165,1819296
166,2448560
167,1538848
168,1314176
169,2381888
170,1636384
171,2477952
172,3681232
173,1768288
174,1243312
175,3608400
176,1311456
177,1609840
178,1962096
179,1456112
180,1522000
181,1641360
182,1540976
183,1496096
184,1501040
185,2107728
186,1587376
187,2460512
188,1464352
189,2334304
190,1366640
191,1760192
192,1037536
193,1692960
194,2193536
195,1454880
196,1724784
197,1448688
198,2256880
199,1606144
200,1301296
201,1652048
202,1228800
203,2475904
204,1444352
205,2278096
206,1537952
207,3491088
208,1346048
209,1499552
210,1606080
211,1369264
212,1658272
213,1222320
214,1429744
215,2220688
216,1638688
217,2236688
218,1619120
219,1502784
220,1512624
221,3151984
222,2355712
223,1467056
224,1399568
225,1597152
226,3675936
227,1538560
228,2429328
229,1298448
230,1567376
231,1673312
232,1537040
233,2379008
234,1612384
235,2002656
236,1490784
237,2390656
238,1394720
239,1595424
240,1647840
241,1232544
242,1614544
243,1619600
244,1732688
245,1494272
246,2704544
247,1753664
248,2256832
249,1838464
250,2169888
251,1272672
252,1468096
253,1422816
254,1413520
255,2194768
256,1633856
257,1351424
258,2114976
259,1578640
260,2228128
261,1487552
262,1493232
263,1692160
264,2427936
265,1525296
266,2602896
267,1604784
268,1677808
269,1525984
270,1480992
271,1646176
272,1618320
273,1994944
274,1828672
275,2542752
276,1579424
277,2907168
278,1730256
279,1356624
280,1514912
281,1206800
282,1901008
283,1497600
284,1732944
285,1414464
286,1329360
287,1773952
288,1589840
289,1485808
290,1567616
291,1412528
292,1843296
293,3660464
294,1759616
295,1730112
296,1400512
297,1605568
298,1288144
299,1422240
300,1643632
301,2123008
302,3264976
303,1758144
304,2167760
305,1491184
306,2292432
307,1326544
308,3676368
309,1287072
310,1354416
311,1876048
312,2654096
313,1571280
314,1647360
315,1502784
316,1445008
317,1499904
318,1487584
319,1284672
320,1263472
321,1535280
322,2494000
323,1400592
324,1387520
325,2462032
326,1396592
327,1581296
328,1221872
329,1856336
330,1571504
331,1514032
332,1547408
333,1398784
334,2404800
335,1392528
336,3023552
337,1449504
338,1493712
339,1660912
340,1449936
341,1851328
342,1395296
343,1876672
344,1854496
345,1350976
346,2338224
347,1397536
348,1368304
349,1612576
350,2111808
351,1607216
352,1427664
353,923584
354,1497824
355,1569696
356,2440448
357,2562192
358,1543216
359,2705184
360,1499360
361,2181088
362,1607904
363,2421040
364,1446976
365,1394528
366,1605696
367,3449840
368,1381136
369,1436352
370,1596464
371,1351648
372,2235568
373,1591008
374,1193680
375,1873504
376,1188672
377,1708016
378,2271056
379,1537376
380,1412288
381,1626064
382,1531472
383,1663280
384,1263600
385,2298736
386,1278512
387,1661936
388,1544928
389,3027776
390,1602416
391,1804704
392,1409792
393,1954976
394,1604624
395,1688272
396,2490496
397,2409744
398,1337072
399,1383232
400,1482560
401,1444672
402,1243552
403,2031584
404,1442928
405,1550528
406,1336608
407,1526064
408,1448624
409,1304128
410,1396176
411,1467792
412,1357088
413,3770160
414,1244816
415,1663872
416,1549024
417,1769760
418,1796800
419,2249472
420,1626864
421,1271856
422,1265712
423,1675520
424,1664896
425,1358960
426,1619504
427,1633488
428,1545760
429,2370752
430,1564208
431,1333200
432,2155840
433,1505856
434,1588496
435,1585680
436,1720256
437,1346096
438,1537360
439,3023280
440,1461760
441,2083168
442,1421264
443,1711680
444,1344560
445,1352496
446,2554752
447,1401840
448,2473024
449,1243856
450,1393712
451,1497824
452,1273856
453,977008
454,1425856
455,1443520
456,1853216
457,1328336
458,2512864
459,1634912
460,2742960
461,1327376
462,1478352
463,1656128
464,1305888
465,2551808
466,1459360
467,1711728
468,1853648
469,1350144
470,1641760
471,3044064
472,1817648
473,1582048
474,1678544
475,2351904
476,1572592
477,1420960
478,2643232
479,2319904
480,1787584
481,2308208
482,1885168
483,1654400
484,1712544
485,1395392
486,2179552
487,1703600
488,1926448
489,1318864
490,2523648
491,1342144
492,2380976
493,1860928
494,1592912
495,1477632
496,1539728
497,1593696
498,1562544
499,1629808
500,1351328
501,1803808
502,2030336
503,1284320
504,1966224
505,1551184
506,1390112
507,2544544
508,1425056
509,2585440
510,1388544
511,2581808
512,2320336
513,1732208
514,2822544
515,1518416
516,1660160
517,1405872
518,3620064
519,3446304
520,2629712
521,1942352
522,1382512
523,1541152
524,1308624
525,1332720
526,1472896
527,1715264
528,1418272
529,2613664
530,2303696
531,1524000
532,2391008
533,1688416
534,2356544
535,1542320
536,1474704
537,1578192
538,1357792
539,1649456
540,1382960
541,1553472
542,1458416
543,1803456
544,3077600
545,1545168
546,1531264
547,1475888
548,1431456
549,1406608
550,1248784
551,1374448
552,1616880
553,1232736
554,1463344
555,1479600
556,1703712
557,1619520
558,1544464
559,2229824
560,1644464
561,1539216
562,1773440
563,1682512
564,1672848
565,1643712
566,1026848
567,1626144
568,1369776
569,1688656
570,1732000
571,1879776
572,3495792
573,1386512
574,1633536
575,1492784
576,1536352
577,1738064
578,1621680
579,1536448
580,1123488
581,2996288
582,2376560
583,1543728
584,2995136
585,1889600
586,1971264
587,1798512
588,1321232
589,1722880
590,1798544
591,1198368
592,2424656
593,2089344
594,2084848
595,1684976
596,1766656
597,1681920
598,1371904
599,1401600
600,1584944
601,2072448
602,1627232
603,1297104
604,2458720
605,2674384
606,1684448
607,1734016
608,1273856
609,1844736
610,1490752
611,1634080
612,2489840
613,1183808
614,1499456
615,3345440
616,1512912
617,1481440
618,1569200
619,2580352
620,1426192
621,2135440
622,1430608
623,1572448
624,1455296
625,2370064
626,1477472
627,1150736
628,1954720
629,1890032
630,1785520
631,2670544
632,4991104
633,1691872
634,2229744
635,1821728
636,2147520
637,1578464
638,2654768
639,1656784
640,1494448
641,1403248
642,1824448
643,1649232
644,1355984
645,1663584
646,1515456
647,1357296
648,1960784
649,1683376
650,1552464
651,1475520
652,1709152
653,1507232
654,1464624
655,1965024
656,1663648
657,1449824
658,1059792
659,1506816
660,2397856
661,1516176
662,2468128
663,1593584
664,2441808
665,2984416
666,2118704
667,1486464
668,1905712
669,1707552
670,1625648
671,1463808
672,1557824
673,2335152
674,2500656
675,1277760
676,1668944
677,2343968
678,1466560
679,1825744
680,1646752
681,1747280
682,1558352
683,1406720
684,1578656
685,1363888
686,2826112
687,1777456
688,3214928
689,3460000
690,1470480
691,1698064
692,1383440
693,2346032
694,1393120
695,1476720
696,2023776
697,1603552
698,1530384
699,1621232
700,3054480
701,1770928
702,1359296
703,1712688
704,2268128
705,1592896
706,2460096
707,1786144
708,2130240
709,1635888
710,2510096
711,1326480
712,1346704
713,1623184
714,1477872
715,1598512
716,1431792
717,1441584
718,1670176
719,1497488
720,2238000
721,1610416
722,1509296
723,2655072
724,2381552
725,1443296
726,1331040
727,1510784
728,1432384
729,1844064
730,1822272
731,2433472
732,1538592
733,2541408
734,2076016
735,1619280
736,1449792
737,2416576
738,1610848
739,1208384
740,1623648
741,3223584
742,1443808
743,1578304
744,1957088
745,1730304
746,1935936
747,1485488
748,1738464
749,1698688
750,1404944
751,1878848
752,1833136
753,1836048
754,1473456
755,1722480
756,1387456
757,1608080
758,1555600
759,1579376
760,2412560
761,1543920
762,1959680
763,1491600
764,2418336
765,1345104
766,1518496
767,1669728
768,1482624
769,1369936
770,2791296
771,1887840
772,1681056
773,1519408
774,1557920
775,1905760
776,1862816
777,1505888
778,1875808
779,1776208
780,1408352
781,1652640
782,1618096
783,1777440
784,1719616
785,2346464
786,1791120
787,1661872
788,1493664
789,1676000
790,1494464
791,1827920
792,1712768
793,1813120
794,3299520
795,1278720
796,1513344
797,1536112
798,1572912
799,1429408
800,1639264
801,2102608
802,1683344
803,2909920
804,1273984
805,2654096
806,1649360
807,1462384
808,1324976
809,1858720
810,2366352
811,1613168
812,2278592
813,1312576
814,1492880
815,1473040
816,1473024
817,1291248
818,1702992
819,2393888
820,1569232
821,2480928
822,1516272
823,2187520
824,1416560
825,1894016
826,1428960
827,2333040
828,1894752
829,1667744
830,1860656
831,1578800
832,1490304
833,1621952
834,2128272
