========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
  Mean:   1993.652    Std dev: 988.993
  Min:      52.688    Max:     9498.704
  P50:    1648.736    P95:     3583.904
  P99:    7255.456    P99.9:   9159.872
Throughput: 502 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3880736
2,7189056
3,1402480
4,1358976
5,2534528
6,2467136
7,1376640
8,1449600
9,1677024
10,1362432
11,2159072
12,1443408
13,7126992
14,1236560
15,2411936
16,8074560
17,1593312
18,2578608
19,1445216
20,1982528
21,8389520
22,2153488
23,5990736
24,2099200
25,6571920
26,2934480
27,8066976
28,1692256
29,2758192
30,1460016
31,2119104
32,8097120
33,1821600
34,6234384
35,1610304
36,1998880
37,8525888
38,1409632
39,2418032
40,7807200
41,1484176
42,2490640
43,1359312
44,2198192
45,1363504
46,7680304
47,1437376
48,1918544
49,1554832
50,2622960
51,1349376
52,2817696
53,1342208
54,2344736
55,3723440
56,1289296
57,2810496
58,8187872
59,1792832
60,1821984
61,1724096
62,2278064
63,1612752
64,2347296
65,1665920
66,6458560
67,1451920
68,2289136
69,1433168
70,1436480
71,2244496
72,1476976
73,1783664
74,8000368
75,1551888
76,2392864
77,1439376
78,2763088
79,1663552
80,1934528
81,1637952
82,2307632
83,8121056
84,1445504
85,2533472
86,3815376
87,1502752
88,6539504
89,1304576
90,2402096
91,1506736
92,1193056
93,1755104
94,1737776
95,1837920
96,1439184
97,6826800
98,52688
99,1578720
100,2279424
101,1335472
102,1471536
103,2223152
104,1705264
105,2738736
106,2584288
107,1602304
108,2264736
109,1679808
110,2427760
111,1563216
112,2414032
113,1561744
114,2302272
115,1586624
116,2592976
117,2024576
118,1779344
119,1399456
120,1306288
121,2548416
122,2671456
123,1244192
124,7255456
125,1480848
126,1674208
127,1435232
128,1560544
129,1244432
130,1436656
131,2367344
132,1526976
133,2469520
134,1322848
135,1485264
136,1526480
137,1319232
138,2320976
139,1469920
140,1354736
141,1818576
142,3572448
143,1551408
144,2422864
145,1463232
146,2648496
147,4641792
148,3293840
149,1586448
150,2142624
151,1206944
152,3140096
153,1326368
154,1832848
155,1567056
156,1653888
157,1673824
158,1502016
159,2040432
160,1407344
161,1346288
162,1649424
163,1378368
164,3687104
165,2054960
166,1516752
167,1405504
168,1929168
169,1282288
170,2297680
171,1283872
172,1231296
173,1629568
174,1340128
175,2985232
176,2326480
177,1022400
178,1333792
179,1542112
180,2206176
181,1731616
182,1804768
183,1323024
184,1829424
185,1346016
186,1379824
187,1907536
188,1312080
189,1226144
190,1040480
191,1521376
192,2609472
193,1414160
194,1274272
195,1127568
196,1471040
197,2661456
198,1484160
199,2279984
200,1950352
201,2295664
202,1586080
203,2412720
204,1594000
205,2144928
206,8659472
207,3420528
208,1368768
209,1499040
210,2386256
211,1482592
212,1489712
213,1454272
214,2188832
215,1489440
216,1474160
217,2417152
218,1463616
219,1633744
220,1391632
221,1610688
222,1524320
223,1477776
224,1117680
225,1342992
226,1392960
227,1298240
228,1502640
229,2532816
230,1535616
231,1522368
232,1510912
233,1381424
234,1715584
235,1394368
236,1353344
237,1594976
238,1543088
239,1998800
240,1494176
241,1496032
242,2376592
243,1466288
244,1196816
245,1397696
246,1298224
247,1673344
248,1434000
249,1514656
250,1515184
251,1405920
252,1453872
253,1462944
254,1651520
255,2333392
256,1674016
257,2773600
258,3110880
259,1762448
260,1797680
261,1359392
262,1694976
263,1377968
264,1388080
265,1730208
266,1261584
267,1328032
268,1638208
269,1503232
270,2244608
271,2812656
272,2548624
273,1322208
274,1582976
275,1483504
276,1713712
277,1566288
278,1536224
279,2494208
280,1688480
281,2407152
282,1446864
283,1825600
284,1347776
285,1499296
286,1574944
287,1614304
288,2168848
289,2965856
290,1300768
291,2939792
292,1382032
293,2306080
294,1246576
295,3218736
296,1435104
297,2335632
298,1573056
299,2195056
300,2913936
301,1613136
302,1545648
303,1523632
304,1494368
305,1360976
306,1519408
307,1379712
308,1187152
309,1766160
310,1384320
311,2509584
312,1834496
313,1849792
314,2733728
315,2080624
316,1592624
317,1668016
318,1368720
319,2574384
320,1322176
321,1286288
322,1665168
323,3704576
324,1652432
325,2279552
326,1430352
327,1346800
328,2031408
329,1428192
330,1707296
331,1623280
332,2516416
333,1652608
334,2355424
335,1325184
336,2398192
337,1404128
338,2741664
339,1513392
340,2368832
341,1853616
342,2254928
343,1580736
344,1587632
345,1712816
346,1610704
347,2186928
348,1464800
349,2615440
350,1444112
351,1287248
352,1788896
353,1382528
354,1193392
355,2318256
356,1438400
357,2109872
358,1658896
359,1593632
360,1285472
361,2602976
362,1169648
363,1423568
364,2084720
365,1418240
366,1574912
367,1479136
368,1473024
369,2329568
370,1646592
371,2442672
372,1450592
373,1852288
374,1298384
375,2375984
376,1754416
377,2437520
378,1277360
379,2367952
380,1647296
381,1907680
382,1301008
383,1341824
384,1602544
385,1307488
386,1347264
387,1921472
388,1574496
