========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 247, got 246)
WARNING: seq mismatch (expected 1001, got 1000)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
  Mean:   1885.506    Std dev: 897.418
  Min:      78.400    Max:     9553.472
  P50:    1585.600    P95:     3167.392
  P99:    6828.416    P99.9:   9537.680
Throughput: 530 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7619456
2,7833584
3,1484752
4,2136592
5,1279904
6,1242032
7,1669632
8,1468576
9,2567584
10,1413248
11,2417200
12,3715552
13,1586272
14,1392832
15,9537680
16,1367264
17,2462928
18,3639984
19,1463344
20,2376928
21,1459376
22,6828416
23,1445136
24,1294464
25,1518288
26,1679568
27,1802080
28,1540688
29,1412240
30,2540208
31,1384464
32,912176
33,8723392
34,1619728
35,1996528
36,1090032
37,1658880
38,2274368
39,1404112
40,1559408
41,1437472
42,2603296
43,8541504
44,1747008
45,1570432
46,1572080
47,2853888
48,3877104
49,1311872
50,2095648
51,8567344
52,1453776
53,2327152
54,3773344
55,1445200
56,1469104
57,2427008
58,1525856
59,9553472
60,1712640
61,1798896
62,1461376
63,3261296
64,5963744
65,2413008
66,1465264
67,2524160
68,1552464
69,2611280
70,1510224
71,2267632
72,1575296
73,2164592
74,2788080
75,3224800
76,1728288
77,1452448
78,7093424
79,3613312
80,1507760
81,2818464
82,1885696
83,1685472
84,1502288
85,1208576
86,1732960
87,1422656
88,2257504
89,4245616
90,3575504
91,1856656
92,2964592
93,3078352
94,1261552
95,1495920
96,1567120
97,1603328
98,6446848
99,1366560
100,2462656
101,1626560
102,2342704
103,1535488
104,2503952
105,1413872
106,8241904
107,4279408
108,1911056
109,1319824
110,1471552
111,2252464
112,7331184
113,1685936
114,1942624
115,1465744
116,2326912
117,3989792
118,1539152
119,6979216
120,1460352
121,2631184
122,1749728
123,1471440
124,1376400
125,1380672
126,1593312
127,1392752
128,1237632
129,1190608
130,1365936
131,1401024
132,1167232
133,8036160
134,1297072
135,1347552
136,1750400
137,1324000
138,2254048
139,1662288
140,2326320
141,8487008
142,1677856
143,1369248
144,1398480
145,1222000
146,1603888
147,1493728
148,1348304
149,1426112
150,1474864
151,2306016
152,7990720
153,1527152
154,1511184
155,2657632
156,1684320
157,3582752
158,2623392
159,2603088
160,1522528
