========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
  Mean:   1837.329    Std dev: 885.331
  Min:     151.312    Max:     8979.136
  P50:    1563.712    P95:     2874.432
  P99:    6818.096    P99.9:   8763.248
Throughput: 544 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1527152
2,2138624
3,1635680
4,2132160
5,1541536
6,2298384
7,1517664
8,2524048
9,1205216
10,2312448
11,1525008
12,6850112
13,1480800
14,2387104
15,1387248
16,2332784
17,1339072
18,1315536
19,1640288
20,1249120
21,2088960
22,1532976
23,3418032
24,1588464
25,1656736
26,1523936
27,2444352
28,8492784
29,1511184
30,1949008
31,1811120
32,2273872
33,1294656
34,1365520
35,1503312
36,1532528
37,2156928
38,8185168
39,1434400
40,2354944
41,1493408
42,1424832
43,2423472
44,1392352
45,1704752
46,7999072
47,1665920
48,1860960
49,1315344
50,2963680
51,1290336
52,1238512
53,1341552
54,1572368
55,2475120
56,1426112
57,2001584
58,1559904
59,7198944
60,3952032
61,1614976
62,1846736
63,1448064
64,2676400
65,1453408
66,2235024
67,1624224
68,6641488
69,1516272
70,2282592
71,1522784
72,1235216
73,1702832
74,1503136
75,2441232
76,1396096
77,2282848
78,1291616
79,1413856
80,2653136
81,6652032
82,2677232
83,2537232
84,1436032
85,2823376
86,6677056
87,1414640
88,2318400
89,1452736
90,2451168
91,1534352
92,2300912
93,8533584
94,1339280
95,2339872
96,1494320
97,2826864
98,1635488
99,6519632
100,1446624
101,1856160
102,1336400
103,1260672
104,1932528
105,1263296
106,2284000
107,1488928
108,2301072
109,1507328
110,7254288
111,1367968
112,1866608
113,1450384
114,1389424
115,1271632
116,1313504
117,1307504
118,1754080
119,3774496
120,3873568
121,1646224
122,2661680
123,7985552
124,3753552
125,1400176
126,2804320
127,1443072
128,2487920
129,1496784
130,2076224
