========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 854, got 853)
WARNING: seq mismatch (expected 868, got 867)
WARNING: seq mismatch (expected 1832, got 1831)
WARNING: seq mismatch (expected 1846, got 1845)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    12 (0.600%)
RTL (us):
  Mean:   2029.130    Std dev: 756.984
  Min:      64.848    Max:     9583.120
  P50:    1787.056    P95:     2804.528
  P99:    4626.224    P99.9:   9321.136
Throughput: 493 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1421168
2,2632080
3,1380976
4,9321136
5,1588528
6,2452416
7,3627744
8,1667856
9,2122672
10,8508720
11,1212400
12,1444128
13,2472400
14,1618976
15,1552352
16,1430544
17,2583184
18,7624624
19,1461056
20,1674272
21,1354608
22,2276896
23,1703968
24,2276992
25,1597536
26,2389440
27,8262416
28,1614576
29,2282304
30,1274528
31,1460864
32,2079120
33,1386624
34,1757808
35,1495168
36,1333536
37,9035600
38,1373008
39,1388880
40,2406816
41,2553120
42,1595200
43,1536960
44,9583120
45,1218544
46,2755136
47,1955008
48,2081984
49,1369616
50,2283872
51,1452592
52,2007328
53,4865184
54,1273280
55,1984896
56,1447248
57,1249424
58,1635392
59,1497072
60,2105424
61,8758528
62,1416432
63,2153584
64,1482288
65,2858400
66,1518688
67,1772272
68,1527824
69,1453376
70,2225888
71,7398016
72,1235872
73,2371120
74,1466544
75,1342816
76,2443216
77,1415040
78,1663120
79,1408688
80,2216592
81,1761328
82,2338768
83,1361840
84,1363456
85,1843408
86,1356432
87,7325984
88,1463232
89,1668880
90,1565088
91,2161136
92,1482496
93,2363904
94,1239728
95,1475408
96,1505792
97,7984368
98,1457744
99,2138096
100,1641216
101,2665504
102,1425424
103,2148304
104,8615104
105,1589536
106,1944192
107,1564912
108,1340368
109,2086736
110,1266112
111,1463440
112,1362672
113,7122240
114,1418576
115,1146688
116,1552128
117,1635440
118,2458128
119,1338336
120,2216608
121,1617312
122,2100400
123,7003088
124,1193584
125,4375792
126,1604480
127,1531472
128,1612608
129,1599520
130,1811904
131,1382352
132,1753424
133,2185728
134,1697920
135,1491952
136,1446944
137,1533024
138,1561152
139,2376560
140,1540000
141,2223200
142,1576784
143,2159120
144,1789248
145,1419136
146,2209568
147,1603648
148,1707024
149,1428064
150,1989760
151,1466144
152,5310640
153,1792464
154,1413344
155,2166192
156,1494048
157,2307888
158,2884224
159,2000768
160,1724976
161,3123200
162,2354896
163,1699824
164,2303728
165,1750224
166,2707104
167,1454256
168,1721424
169,1684432
170,1495024
171,2420656
172,1565840
173,2331856
174,1460288
175,1533200
176,1545648
177,2425456
178,1638032
179,2353680
180,1732080
181,1873040
182,1742624
183,2320288
184,1768128
185,2767456
186,1397120
187,2338336
188,1364576
189,2474528
190,1709680
191,2703248
192,1437888
193,2077312
194,1524368
195,2694304
196,1478608
197,2669824
198,1494720
199,1857264
200,1568016
201,2572832
202,1697152
203,2297440
204,1785456
205,3852720
206,2439712
207,1623632
208,2332160
209,1748368
210,1909360
211,64848
212,1839840
213,2191200
214,1783696
215,2519760
216,1494272
217,2058784
218,1663712
219,2370672
220,1873840
221,1958448
222,1765568
223,2709232
224,1965264
225,1987520
226,1833184
227,1671696
228,1636608
229,2925280
230,1762080
231,1763312
232,1745536
233,1864656
234,1665056
235,2650240
236,1538064
237,2755520
238,1685920
239,3309904
240,2105904
241,1698288
242,2636160
243,1490080
244,2193888
245,1517648
246,1580912
247,2698672
248,2425472
249,1906096
250,2316784
251,1651648
252,2468928
253,1667360
254,2499824
255,1621120
256,1663296
257,1789344
258,2334720
259,1534464
260,2464480
261,1777024
262,3445520
263,1584416
264,2689504
265,2380432
266,1670256
267,2527152
268,1633088
269,2564816
270,1384336
271,2620032
272,1470592
273,2393632
274,1873120
275,1968736
276,1421600
277,2594176
278,1632736
279,2446880
280,1419008
281,2302736
282,1490240
283,2352176
284,1655520
285,2507824
286,1617088
287,2485408
288,1722992
289,2800512
290,1613936
291,2022112
292,1519184
293,2564832
294,1705040
295,1948080
296,1541456
297,2341648
298,1661136
299,2811152
300,1423696
301,1853600
302,1627152
303,2664768
304,1650368
305,1934400
306,1719888
307,2571088
308,1486976
309,2297232
310,1646832
311,2463616
312,1681312
313,2373232
314,1734176
315,2720624
316,1464016
317,2001872
318,1464160
319,2247888
320,1491392
321,1487456
322,2460512
323,1544336
324,1279136
325,1811600
326,2259024
327,1616144
328,1955824
329,1445216
330,1509600
331,1213792
332,1805520
333,2455536
334,1656576
335,1751680
336,1787056
337,2668816
338,1621328
339,1671552
340,2024560
341,2505216
342,1637808
343,2490688
344,1665600
345,2270960
346,1570176
347,2282192
348,1718128
349,2432880
350,1568336
351,2326768
352,1657808
353,2412208
354,1522432
355,2539328
356,1523152
357,2392576
358,1542192
359,2681600
360,1505872
361,3633120
362,2769008
363,1452512
364,1802752
365,1646304
366,2504080
367,1616960
368,1398416
369,1265376
370,1642448
371,2574976
372,1420080
373,2285600
374,1574496
375,2480336
376,1491232
377,2472400
378,1483968
379,2660256
380,1493056
381,2536624
382,1527088
383,2599664
384,1388304
385,1842272
386,1531776
387,1508048
388,1008320
389,1862208
390,2421024
391,1763520
392,1832576
393,1893648
394,2608112
395,1635248
396,3152736
397,1696960
398,2426224
399,1426880
400,2516688
401,1492416
402,2633456
403,2215536
404,1689952
405,1483168
406,2434928
407,2731776
408,1604896
409,1761184
410,1601680
411,1441664
412,1875504
413,1899664
414,1806304
415,1857824
416,1704208
417,1711184
418,2467312
419,1566704
420,2541936
421,1578640
422,2570224
423,1563072
424,1789248
425,1694864
426,2657600
427,1420320
428,2709872
429,1405856
430,2520864
431,1545056
432,2481936
433,1559008
434,1767552
435,1642400
436,1332688
437,931440
438,1593904
439,2518016
440,1734160
441,2609024
442,1488176
443,2450512
444,1732224
445,3147424
446,2762704
447,2029216
448,1741696
449,1782816
450,2533952
451,1644880
452,2122432
453,1623360
454,2808720
455,1489360
456,1747376
457,1858080
458,2560304
459,1714336
460,2276240
461,1479632
462,2632496
463,1565872
464,2726592
465,1564912
466,1711840
467,1610096
468,2442512
469,1657968
470,2580480
471,1733376
472,2406384
473,1725152
474,1975504
475,1696064
476,2500800
477,1651472
478,2681280
479,1341680
480,2219264
481,1434992
482,2723808
483,2010272
484,3251376
485,2612720
486,2089056
487,2048944
488,1483904
489,2753312
490,1857792
491,1988320
492,1530768
493,1781376
494,1544976
495,2529568
496,1515472
497,2421536
498,1570080
499,2273152
500,1723648
501,2509328
502,1844896
503,2727296
504,1698176
505,1571200
506,1426960
507,2797424
508,1706512
509,2680336
510,1601328
511,1860640
512,1804400
513,2607824
514,1484160
515,3079120
516,1663760
517,1782048
518,1671456
519,1648240
520,1660864
521,2756176
522,1536384
523,2632800
524,1553104
525,1808720
526,1581248
527,2374464
528,1814864
529,2708736
530,1626208
531,1736112
532,1874400
533,2841904
534,1617248
535,1842992
536,1820528
537,2346784
538,1550352
539,2584160
540,1501824
541,2172448
542,1432912
543,2784624
544,1641264
545,1873952
546,1736928
547,1322128
548,1663536
549,2531632
550,1499712
551,2262928
552,1428016
553,2584464
554,1690496
555,2442272
556,1516816
557,2813696
558,1603200
559,1726112
560,1863568
561,2920176
562,1531312
563,1930368
564,1591824
565,2367520
566,1802944
567,1770976
568,1801984
569,2765184
570,1687072
571,1668608
572,1412768
573,1698144
574,2800496
575,2331056
576,1871264
577,2299632
578,1574784
579,2605424
580,1745120
581,1690080
582,1485216
583,2683344
584,1704944
585,2071504
586,1541488
587,2522336
588,1983968
589,1954448
590,1675056
591,2850592
592,1415936
593,2204272
594,1586432
595,2367280
596,1540352
597,2386128
598,1415712
599,1429312
600,1083680
601,1502992
602,2552576
603,1767424
604,2328640
605,1483504
606,2193664
607,1588528
608,2723104
609,1593600
610,2010432
611,1670960
612,2593872
613,1786704
614,2286832
615,1601472
616,2529280
617,1591280
618,2529232
619,1389088
620,1831616
621,1440064
622,1617760
623,1376976
624,1674656
625,2309552
626,1615040
627,4236240
628,1537152
629,1942496
630,1462496
631,1775328
632,1482832
633,2251632
634,1754896
635,2404848
636,1809584
637,2630928
638,1488768
639,2347984
640,1519776
641,2644320
642,1794112
643,1908400
644,1669312
645,3273488
646,2788032
647,1825424
