========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
  Mean:   2006.570    Std dev: 790.969
  Min:      41.328    Max:     9856.704
  P50:    1811.920    P95:     2763.424
  P99:    6603.280    P99.9:   8695.504
Throughput: 498 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,9856704
2,7518320
3,1500432
4,2691088
5,1578560
6,1939344
7,1542144
8,2476688
9,1776880
10,2745824
11,1503360
12,1745680
13,1616640
14,3308896
15,3524656
16,1933280
17,5960768
18,1493888
19,2479968
20,1724864
21,2107856
22,1536512
23,2188048
24,1516880
25,1496096
26,2471760
27,7066144
28,1602800
29,2178000
30,1576832
31,2454880
32,1675376
33,2578496
34,1606448
35,1887184
36,1596256
37,2637056
38,8519088
39,2106576
40,2952736
41,2749872
42,1753696
43,1968192
44,1598160
45,2021376
46,1629888
47,6715280
48,1725296
49,1849344
50,1395776
51,2464608
52,1684272
53,2507104
54,8272816
55,1642352
56,2254912
57,1637088
58,2756560
59,1557920
60,1958896
61,1975664
62,1856128
63,1614640
64,6672432
65,1675856
66,1744448
67,1766464
68,2480944
69,1484288
70,1280896
71,5777824
72,1614480
73,1843120
74,1507760
75,2582560
76,1470768
77,2871584
78,8068320
79,1705968
80,1930768
81,1599856
82,2450832
83,1820224
84,1771088
85,1552256
86,2367056
87,1428192
88,2670992
89,8235296
90,1540864
91,2818464
92,3636304
93,1755952
94,1747232
95,1804080
96,2322000
97,1528544
98,2716976
99,8375824
100,1740032
101,1988576
102,1517040
103,2884256
104,1425456
105,1911664
106,1484320
107,2604960
108,1854624
109,6772672
110,1949984
111,2878176
112,2671136
113,1624816
114,2342416
115,1748464
116,2119904
117,1811728
118,6205520
119,1422384
120,2204928
121,1548688
122,2542656
123,1557936
124,2285616
125,8695504
126,1606432
127,2184496
128,1535008
129,2779600
130,1594640
131,1866512
132,1687072
133,2203904
134,1620752
135,2373376
136,1530240
137,6883632
138,1558656
139,1594464
140,1447664
141,1600112
142,2470240
143,1448928
144,1047024
145,4731264
146,1624560
147,1888608
148,41328
149,1682816
150,2540832
151,1751840
152,1959136
153,1660592
154,2623760
155,1475904
156,2411424
157,1532608
158,2437408
159,1707760
160,1544304
161,1424016
162,1717696
163,5612848
164,1811920
165,2091104
166,1500672
167,2743472
168,1617616
169,1846176
170,1586528
171,2631792
172,8562720
173,3699664
174,1654928
175,2055248
176,1650864
177,2400368
178,1634656
179,2155648
180,1817488
181,2489888
182,1721824
183,2157136
184,1443328
185,2569392
186,1594736
187,2190896
188,1423312
189,2651792
190,1600976
191,6735168
192,1722016
193,1669728
194,1688896
195,2831488
196,1588208
197,2262496
198,1722928
199,1963136
200,1594272
201,2803264
202,1875904
203,1901840
204,1767520
205,6336912
206,1666656
207,2007712
208,1632640
209,2807088
210,1658320
211,2055856
212,1686352
213,1867936
214,1420768
215,2762672
216,4339936
217,1565664
218,1737104
219,1895360
220,2330960
221,1544976
222,1591344
223,2024608
224,1918400
225,1868160
226,1894112
227,2038144
228,1629536
229,2582176
230,1824256
231,6603280
232,1707088
233,1904176
234,1571632
235,2507248
236,1658528
237,1957472
238,1546208
239,2520112
240,4295824
241,8406000
242,1612000
243,2003808
244,1589968
245,2527152
246,1804784
247,1946112
248,1794016
249,2026976
250,4224096
251,1659344
252,1694256
253,1530032
254,7009216
255,1814800
256,1944720
257,1889760
258,2025264
259,1668832
260,2747040
261,1559008
262,1535856
263,2367104
264,1556032
265,2043680
266,1583680
267,2583968
268,1512336
269,2544976
270,8070720
271,1618096
272,2326608
273,1457952
274,2658000
275,1635424
276,2062448
277,1529168
278,2288752
279,1581184
280,2507584
281,6378976
282,5987040
283,1686000
284,1954128
285,1626256
286,2347664
287,1637776
288,2503952
289,1689680
290,2179360
291,1794080
292,2003600
293,1509952
294,2353920
295,1507152
296,2827120
297,1690416
298,1967456
299,1538064
300,2616656
301,1636000
302,2439968
303,1972208
304,1869968
305,1579760
306,2636048
307,1750992
308,1668528
309,1578160
310,2449536
311,1570672
312,2389936
313,1622272
314,2615200
315,1590832
316,2692336
317,1666688
318,1958000
319,1568528
320,2547520
321,1880272
322,2639744
323,1884848
324,1850560
325,1708592
326,1976320
327,1841600
328,2084528
329,1770864
330,2609120
331,1941248
332,1854416
333,1955040
334,2130976
335,1854912
336,2050496
337,1931216
338,2145792
339,1954272
340,2220384
341,1846480
342,2132352
343,1846640
344,1761120
345,1929808
346,1965712
347,1639008
348,2528832
349,1858976
350,2233104
351,1610704
352,2114160
353,1865968
354,1849760
355,1660224
356,2275696
357,1766880
358,2660848
359,1673264
360,1824448
361,1993632
362,1810224
363,1741152
364,2778800
365,1709856
366,2023568
367,1899984
368,2008768
369,1804544
370,2735984
371,1995600
372,1946816
373,1848784
374,2131184
375,1815856
376,1834384
377,1854720
378,1875728
379,1633760
380,2761728
381,1728416
382,1956064
383,1802448
384,2414400
385,1649296
386,2007744
387,1768256
388,2502160
389,1630448
390,2096240
391,1673280
392,2490560
393,1672496
394,2187344
395,1823056
396,1697408
397,1591760
398,2502912
399,1539504
400,2677376
401,1529232
402,2937392
403,1683168
404,1748080
405,1566992
406,2763424
407,1804736
408,2301264
409,1795504
410,1991376
411,1835216
412,1854272
413,1690480
414,2329056
415,1812848
416,2027584
417,1577888
418,2532928
419,1699952
420,2386576
421,1558560
422,2865072
423,1691264
424,1804272
425,1690992
426,2913792
427,1850896
428,1976960
429,1660688
430,2029456
431,1871632
432,2125040
433,1738080
434,1887456
435,1805104
436,2724656
437,1702656
438,1829184
439,1863120
440,2040320
441,1619920
442,2337552
443,1555184
444,2429088
445,1851728
446,2808288
447,1701808
448,1873296
449,1641648
450,2538544
451,1674816
452,1991552
453,1666784
454,2464720
455,1762576
456,2081840
457,1906688
458,2092512
459,1791904
460,1860720
461,1813952
462,2903472
463,1684688
464,1900064
465,1699312
466,2173600
467,1955168
468,2011152
469,1613392
470,2454720
471,1703600
472,2345040
473,1938336
474,1919744
475,1765376
476,2000480
477,1783920
478,2635008
479,1701440
480,1996720
481,1571328
482,2779536
483,1661280
484,1953184
485,1618144
486,2865056
487,1741008
488,2032816
489,1635088
490,2438352
491,1595888
492,1998192
493,1512912
494,2649312
495,1834912
496,2308768
497,1839520
498,2164128
499,1923632
500,1774800
501,1653936
502,2732816
503,1692896
504,1989456
505,1902400
506,2195680
507,3801952
508,1690128
509,2929984
510,1794176
511,2021120
512,1606384
513,2161872
514,1750768
515,1965632
516,1723760
517,2670960
518,1814288
519,1897344
520,1718688
521,2292688
522,1721216
523,1971040
524,1557968
525,2772400
526,1677504
527,2495632
528,1603888
529,1990784
530,1616064
531,2648656
532,1780816
533,1751728
534,1570944
535,2617792
536,1601600
537,2409440
538,1751856
539,2500560
540,1685008
541,2048832
542,1524784
543,2403072
544,1546400
545,2450112
546,1637984
547,2212832
548,1582656
549,2419216
550,1622032
551,2672368
552,1702288
553,1928832
554,1648320
555,2494656
556,1646752
557,1947760
558,1560256
559,2509344
560,1473872
561,2479152
562,1838736
563,2566720
564,1699936
565,1857360
566,1566256
567,2615360
568,1590368
569,2757584
570,1607104
571,1977280
572,1708832
573,1895072
574,1823296
575,2479536
576,1633712
577,2537056
578,1596368
579,1992688
580,1703616
581,2390880
582,1609376
583,2330832
584,1534592
585,2901840
586,1654736
587,1804928
588,1569632
589,2205584
590,1599488
591,2802976
592,1519824
593,2510944
594,1537536
595,2715840
596,1569200
597,1673808
598,1629984
599,2533824
600,1577392
601,2425712
602,1489552
603,2542608
604,1590496
605,2710160
606,1653136
607,2044048
608,1650624
609,2731168
610,1737408
611,2048320
612,1841712
613,1849248
614,1546240
615,2674912
616,1515008
617,2554432
618,1728992
619,2070144
620,1800144
621,1924544
622,1610496
623,2528464
624,1763696
625,2430992
626,1785008
627,2138400
628,1617056
629,2345568
630,1773888
631,1934688
632,1724720
633,2462576
634,1595808
635,2486928
636,1874208
637,1951904
638,1643392
639,2535184
640,1678464
641,2527232
642,1746784
643,1696032
644,1525776
645,2661104
646,1671408
647,2472400
648,1703072
649,1898816
650,1494624
651,2428032
652,1526848
653,2494992
654,1509344
655,2488416
656,1545744
657,2461872
658,1502096
659,2425248
660,1572672
661,2793744
662,1838960
663,1927392
664,1706304
665,2616416
666,1600880
667,1890096
668,1622992
669,2508720
670,1372048
671,2502720
672,1590880
673,2555904
674,1708992
675,2355984
676,1929616
677,1929296
678,1729216
679,2045296
680,1644000
681,2726848
682,1904512
683,1787872
684,1515184
685,2680560
686,1664400
687,2031488
688,1489664
689,2264208
690,1782240
691,2797088
692,1805152
693,1894624
694,1675952
695,1857376
696,1625264
697,2219536
698,1728448
699,2499696
700,1481328
701,2468848
702,1867824
703,2353904
704,1592896
705,2655936
706,1514112
707,1803472
708,1811488
709,2461232
710,1463232
711,2192800
712,1528800
713,2811136
714,1724000
715,2180464
716,1573936
717,2447536
718,1526768
719,2563984
720,1748480
721,2404128
722,1535520
723,2347088
724,1781296
725,2011552
726,1773504
727,2222960
728,1679520
729,2537328
730,1591616
731,1932384
732,1617888
733,2314160
734,1479024
735,2735968
736,1747760
737,1877280
738,1594384
739,2547136
740,1615152
741,2536512
742,1631632
743,1767664
744,1759024
745,2560992
746,1789232
747,2210800
748,1603264
749,2524272
750,1633024
751,2433216
752,1626624
753,1916688
754,1505408
755,2569888
756,1599648
757,2449712
758,1617616
759,2722336
760,1532864
761,2059296
762,1667904
763,2476992
764,1761152
765,2109328
766,1636816
767,2504272
768,1642624
769,2572320
770,1570992
771,1865440
772,1660896
773,2481120
774,1615952
775,2537104
776,1766368
777,1903856
778,1511952
779,2116528
780,1705904
781,2620688
782,1638960
783,1787312
784,1641280
785,2421872
786,1877792
787,2128384
788,1721264
789,2478736
790,1724976
791,1952672
792,1608320
793,2384896
794,1762416
795,2578400
796,1703088
797,2208976
798,1634112
799,2263040
800,1652240
801,2213216
802,1657504
803,2530016
804,1746480
805,1976688
806,1618720
807,2665072
808,1640512
809,1776416
810,1738576
811,2517344
812,1917808
813,1587264
814,1659776
815,1510752
816,2783744
817,2224320
818,1708496
819,2738896
820,1671104
821,2061712
822,1524960
823,2417232
824,1705664
825,2466560
826,1726768
827,2596320
828,1746240
829,1983264
830,1660544
831,2474832
832,1545344
833,1819184
834,1767472
835,2583744
836,1594192
837,2564448
838,1662784
839,1975200
840,1928976
841,2582560
842,1585264
843,1913456
844,1703920
845,1996720
846,1557520
847,2544032
848,1690144
849,2597696
850,1858080
851,2000720
852,1891408
853,1996240
854,1611536
855,2393856
856,1951296
857,1858752
858,1775296
859,2312992
860,1831296
861,2408032
862,1735600
863,1916784
864,1606112
865,2696768
866,1759664
867,2111568
868,1481072
869,2313200
870,1675792
871,2555904
872,1558224
873,1957712
874,1781632
875,2586288
876,1774896
877,2315312
878,1744896
879,2243824
880,1520272
881,2492688
882,1578144
883,2616992
884,1632480
885,2168112
886,1735152
887,2271648
888,1695488
889,1735456
890,1602784
891,2351680
892,1810688
893,2238336
894,1671440
895,2863904
896,1577776
897,2551360
898,1850400
899,1834352
900,1768160
901,2349440
902,1635808
903,2402256
904,1611712
905,2011184
906,1550080
907,2721632
908,1729792
909,2262000
910,1568784
911,2226608
912,1615536
913,2417088
914,1719296
915,2312320
916,1715952
917,1830160
918,1637952
919,2498224
920,1589808
921,2587072
922,1790160
923,1775600
924,1686384
925,2541536
926,1805392
927,2525984
928,1689872
929,2050784
930,1435664
931,2678672
932,1592432
933,2586320
934,1643808
935,1991216
936,1497504
937,2644352
938,1788448
939,1944560
940,1631504
941,2421984
942,1662032
943,2362592
944,1611872
945,2143056
946,1774480
947,2574864
948,1653456
949,1965536
950,1639024
951,2359376
952,1636704
953,2376256
954,1587072
955,2439728
956,1538288
957,2692720
958,1564928
959,2449136
960,1686912
961,1807872
962,1723440
963,2514624
964,1743408
965,2507856
966,1595008
967,2113456
968,1634176
969,2551520
970,1724048
971,1910080
972,1445472
973,2437456
974,1526672
975,2602736
976,1565072
977,2422112
978,1577888
979,3161744
980,1877328
981,1671584
982,1751216
983,1985968
984,1599168
985,2657104
986,1643424
987,2120272
988,1726064
989,2376496
990,1888336
991,1990128
992,1573840
993,2472288
994,1766240
995,2018816
996,1635440
997,1888896
998,2010192
999,1794512
1000,2010384
1001,1819792
1002,2553888
1003,1620656
1004,1942000
1005,1516992
1006,2594688
1007,1632112
1008,2742784
1009,1682720
1010,1884768
1011,1948960
1012,1994736
1013,1607808
1014,2531664
1015,1520096
1016,2422416
1017,1664560
1018,1909776
1019,1626096
1020,2697840
1021,1828976
1022,1905376
1023,1609488
1024,2736000
1025,1749056
1026,1645808
1027,1446384
1028,1599808
1029,2569600
1030,2579808
1031,1620976
1032,2579168
1033,1615312
1034,2229616
1035,1601408
1036,2736944
1037,1600176
1038,1779696
1039,1622464
1040,2596336
1041,1738048
1042,2573648
1043,1540480
1044,2027488
1045,1696592
1046,2502240
1047,1751056
1048,1686320
1049,1580128
1050,2526976
1051,1757776
1052,2551536
1053,1729664
1054,2703648
1055,1539840
1056,2077312
1057,1738048
1058,1927744
1059,1593024
1060,2455280
1061,1538048
1062,2427136
1063,1515456
1064,2565408
1065,1686080
1066,2603136
1067,1676976
1068,1923216
1069,1511152
1070,4106880
1071,2734416
1072,1693984
1073,1837536
1074,1612800
1075,2696160
1076,1628064
1077,2575792
1078,1614304
1079,1916800
1080,1589152
1081,2503888
1082,1629408
1083,2483904
1084,1573776
1085,2243840
1086,1552832
1087,3063472
1088,1585792
1089,2008976
1090,1707472
1091,1914848
1092,1523344
1093,2394832
1094,1838256
1095,2232224
1096,1551184
1097,2727328
1098,1639968
1099,1780256
1100,1625056
1101,2368864
1102,1574912
1103,2638800
1104,1674400
1105,2265152
1106,1573232
1107,2399712
1108,1835344
1109,2699664
1110,1637680
1111,1798048
1112,1494592
1113,2772720
1114,1860224
1115,1661072
1116,1711216
1117,2535792
1118,1904784
1119,1815072
1120,1544304
1121,2416208
1122,1982656
1123,2200592
1124,1506912
1125,2814672
1126,1640816
1127,1775168
1128,1830128
1129,2768368
1130,1784528
1131,1825664
1132,1584688
1133,2468096
1134,1548384
1135,2272880
1136,1557232
1137,2185552
1138,1779200
1139,2634464
1140,1690896
1141,2308224
1142,1631328
1143,2712896
1144,1695520
1145,1872464
1146,1678528
1147,2536672
1148,1741696
1149,1955552
1150,1544208
1151,2726464
1152,1459632
1153,2481904
1154,1573376
1155,3633152
1156,2811760
1157,1650976
1158,2015136
1159,1953152
1160,2036320
1161,1704096
1162,2643216
1163,1634272
1164,2133280
1165,1815552
1166,1933264
1167,1663536
1168,3143552
1169,1722192
1170,2136256
1171,1646000
1172,2157632
1173,1578576
1174,1781824
1175,1532848
1176,2855104
1177,1938512
1178,2198240
1179,1792864
1180,1928032
1181,1766208
1182,2065072
1183,2079264
1184,2042576
1185,1932272
1186,2278704
1187,1766608
1188,1903936
1189,1983424
1190,2034256
1191,1621408
1192,2015088
1193,2089152
1194,1961264
1195,1816368
1196,1888256
1197,1741600
1198,2443824
1199,1633824
1200,2083312
1201,1607664
1202,2579088
1203,1778336
1204,1974176
1205,1646176
1206,2590608
1207,1695696
1208,1973824
1209,1654272
1210,2845664
1211,1731648
1212,2185232
1213,1589648
1214,2270976
1215,1814896
1216,2107088
1217,1762560
1218,2120640
1219,1841360
1220,1997136
1221,1754112
1222,2671104
1223,1718512
1224,1862320
1225,1745376
1226,2393392
1227,1933360
1228,2038640
1229,1759872
1230,2286912
1231,1532336
1232,2679936
1233,1667504
1234,2163648
1235,1651440
1236,2007952
1237,1577184
1238,2442928
1239,1251024
1240,1890272
1241,2360496
1242,2725200
1243,1781328
1244,2062240
1245,1684480
1246,1874368
1247,1821552
1248,1864400
1249,1661184
1250,2802352
1251,1669392
1252,1939856
1253,1612096
1254,2621248
1255,130416
1256,2106848
1257,1894016
1258,1709360
1259,1938816
1260,1699280
1261,2540912
1262,1655760
1263,2886240
1264,1822192
1265,1888992
1266,1696992
1267,2232560
1268,1812048
1269,1992336
1270,1655056
1271,1926384
1272,1644000
1273,1698208
1274,1893680
1275,1426480
1276,2382016
1277,4055696
1278,1786576
1279,2675024
1280,1746592
1281,1956944
1282,1742496
1283,1992224
1284,1599872
1285,2703904
1286,1643216
1287,2036208
1288,1519376
1289,2473696
1290,1550544
1291,2311216
1292,1647776
1293,2400048
1294,1745232
1295,2417328
1296,1873184
1297,2034144
1298,1437904
1299,2555952
1300,1600896
1301,2775792
1302,1711296
1303,2305472
1304,1936144
1305,1931760
1306,1671376
1307,1971344
1308,1622496
1309,3008256
1310,1960016
1311,1991104
1312,1866192
1313,1859248
1314,1731792
1315,2228016
1316,1754800
1317,2398720
1318,1770160
1319,1974768
1320,1842064
1321,2317200
1322,1762400
1323,1899920
1324,1647360
1325,2754416
1326,1717248
1327,1999872
1328,1812288
1329,1843664
1330,1551552
1331,2491072
1332,1845280
1333,2278016
1334,1749296
1335,2062112
1336,1922064
1337,1731936
1338,1764000
1339,2252480
1340,1535920
1341,2503584
1342,1721504
1343,2398704
1344,1634624
1345,2844640
1346,1676992
1347,1726304
1348,1512160
1349,2171056
1350,1570672
1351,1620368
1352,2944384
1353,2512640
1354,1700384
1355,2176000
1356,1567472
1357,2523104
1358,1763680
1359,1904496
1360,1963776
1361,2012032
1362,1614864
1363,2612096
1364,1740016
1365,2088080
1366,1702208
1367,2617488
1368,1776128
1369,1904768
1370,1764336
1371,2666512
1372,1589216
1373,2128464
1374,1665424
1375,2186560
1376,1641504
1377,2219248
1378,1875280
1379,1941888
1380,1720688
1381,2770096
1382,1632352
1383,1886688
1384,1699808
1385,2357824
1386,1697184
1387,2746048
1388,1611040
1389,2052064
1390,1795456
1391,2199200
1392,1751712
1393,2005184
1394,1795984
1395,2180368
1396,1644880
1397,2753952
1398,1632848
1399,2093296
1400,1872032
1401,2109360
1402,1823040
1403,2146800
1404,1672416
1405,2284960
1406,8514896
1407,4576432
1408,2905344
1409,1561392
1410,2533296
1411,4022752
1412,4260016
1413,1937984
1414,1864336
1415,3709472
1416,2302816
1417,1954048
1418,1730704
1419,2023536
1420,1823040
1421,1853792
1422,1602832
1423,2539248
1424,1656208
1425,2343792
1426,1686256
1427,2113728
1428,1814288
1429,1904624
1430,2073216
1431,2216256
1432,1920896
1433,1990320
1434,1606256
1435,2522544
1436,1889344
1437,2039088
1438,1872688
1439,1995552
1440,1813072
1441,2680272
1442,1656000
1443,2094400
1444,1438656
1445,2361920
1446,1317264
1447,2284192
1448,1582208
1449,1364672
1450,2277680
1451,1517056
1452,1780480
1453,1369984
1454,2113552
1455,4249920
1456,1745184
1457,2397392
1458,1577264
1459,2285104
1460,1350256
1461,2293808
1462,1422688
1463,1455408
1464,2299488
1465,1496896
1466,1672656
1467,1278464
1468,2154640
1469,1428160
1470,2410944
1471,1688608
1472,1315728
1473,1542912
1474,1619136
1475,2175296
1476,1523072
1477,2229504
1478,1526160
1479,1491248
1480,2477232
1481,1375328
1482,1670368
1483,1429456
1484,2263696
1485,1395984
1486,1370272
1487,2139040
1488,1276768
1489,1542544
1490,1618960
1491,2583856
1492,1585424
1493,2550512
1494,1725408
1495,1787776
1496,1453024
1497,1335104
1498,1635712
1499,1519664
1500,2378208
1501,1485376
1502,2387120
1503,1407792
1504,2131552
1505,1481472
1506,2837376
1507,1349904
1508,2297248
1509,1534176
1510,1464432
1511,2189312
1512,3055616
1513,1405200
1514,1366720
1515,1925232
1516,1324096
1517,1825648
1518,1378768
1519,1464496
1520,2271152
1521,1374832
1522,1766752
1523,1470368
1524,2488032
1525,1422592
1526,2399360
1527,1733696
1528,2358864
1529,1282288
1530,2149040
1531,1494512
1532,1466848
1533,2366112
1534,1445440
1535,1484784
1536,1511760
1537,2583072
1538,1518992
1539,2419040
1540,1416608
1541,2411376
1542,1558816
1543,2201968
1544,1516128
1545,1434720
1546,2006064
1547,1482352
1548,1490352
1549,1461104
1550,1508928
1551,2420080
1552,1612272
1553,2364336
1554,1450928
