========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
  Mean:   2088.190    Std dev: 813.873
  Min:     871.872    Max:     9419.216
  P50:    1875.376    P95:     2777.872
  P99:    6754.848    P99.9:   9012.288
Throughput: 479 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1769328
2,1723664
3,3237232
4,1603600
5,1703056
6,2125216
7,1875376
8,1990864
9,1776096
10,1696736
11,1734560
12,2599520
13,1790096
14,2073856
15,8959056
16,1621456
17,1150176
18,1670416
19,2830768
20,1530544
21,6315152
22,1587552
23,2567728
24,1614400
25,2406592
26,1365504
27,2246576
28,1488464
29,6826864
30,1456976
31,2674208
32,1555904
33,1812560
34,1574224
35,2671168
36,1824304
37,2647200
38,1623248
39,1825440
40,1379456
41,2521808
42,8275824
43,1676528
44,1945552
45,1493808
46,2544784
47,1517952
48,2456896
49,1812864
50,2783888
51,1399616
52,6473504
53,1570256
54,2136656
55,1529744
56,2492000
57,1636688
58,2041856
59,1661248
60,2585712
61,1535568
62,6375840
63,1821968
64,1769488
65,1780368
66,2980640
67,1786976
68,1971872
69,1674928
70,1804208
71,1725152
72,2359552
73,1658304
74,2765072
75,1600304
76,2046176
77,1768768
78,6093824
79,1877632
80,1907488
81,1487920
82,2608080
83,1763920
84,1921440
85,1599216
86,3327088
87,1495008
88,2368288
89,1552848
90,1708960
91,1784720
92,2840496
93,2011888
94,1584880
95,2637056
96,1690912
97,2063312
98,1498448
99,2323296
100,8798672
101,2073824
102,9419216
103,7997664
104,1621792
105,7147200
106,8867168
107,2952016
108,3740816
109,3834496
110,8434960
111,1707552
112,1622032
113,1918080
114,2510160
115,1562256
116,2020224
117,1517248
118,2611776
119,1290640
120,2370624
121,8346976
122,1652928
123,1971728
124,1612368
125,2549264
126,1692304
127,2612096
128,1613888
129,1916880
130,1563248
131,2773744
132,8658336
133,1536016
134,2018816
135,1442528
136,1991392
137,1606816
138,2700960
139,1584752
140,2187648
141,4197440
142,1492304
143,2531824
144,1801888
145,2235712
146,1623648
147,2074592
148,1693040
149,2625744
150,1603264
151,1749264
152,1709264
153,2508704
154,8517152
155,1593488
156,1784976
157,1387536
158,3078624
159,1635552
160,2074512
161,1675888
162,2455872
163,1497888
164,2707072
165,1595248
166,2030512
167,1434896
168,2376608
169,8484656
170,1550448
171,1899184
172,1622768
173,2739024
174,1723760
175,1766336
176,1691872
177,2622240
178,1653280
179,2579376
180,1585760
181,1872544
182,1593968
183,2660656
184,4614368
185,3392816
186,1834768
187,1896416
188,1704896
189,2854400
190,1674432
191,2206848
192,1678592
193,1988272
194,1493600
195,2515600
196,8550256
197,1498608
198,2189072
199,1462096
200,2691136
201,1541632
202,2285072
203,1863376
204,1922368
205,1922144
206,3683824
207,2412784
208,1600128
209,2790656
210,1647552
211,2211680
212,1635152
213,6387024
214,1569248
215,2571312
216,1765968
217,1942560
218,1615664
219,2199456
220,1649728
221,2669424
222,1702768
223,2076752
224,1695776
225,1664688
226,1614784
227,6731712
228,1660832
229,2395968
230,1626864
231,2561008
232,1700688
233,1895344
234,1525344
235,2355760
236,1361632
237,2407424
238,4744768
239,1740592
240,1964320
241,1410528
242,2347040
243,1466736
244,2656176
245,1341232
246,2729904
247,1582928
248,1859328
249,1476336
250,2529744
251,1459632
252,2232032
253,1828224
254,6734192
255,1614304
256,2615568
257,1646016
258,1842400
259,1603744
260,2595472
261,1520352
262,2662768
263,1676992
264,1962944
265,1621696
266,2667712
267,1777184
268,1734256
269,1445872
270,2720576
271,8119456
272,1494432
273,2064848
274,1583120
275,2337040
276,1574240
277,2617600
278,8247520
279,1534608
280,2622912
281,1380336
282,2154784
283,1496080
284,2835936
285,1566432
286,2433056
287,1726432
288,1962960
289,1679824
290,2462912
291,1490688
292,2274528
293,1668032
294,6598208
295,1345296
296,2489984
297,1522240
298,2464352
299,1685856
300,2261104
301,1918960
302,2052560
303,1382592
304,2383728
305,2841648
306,1002432
307,4632800
308,1607408
309,1884048
310,1501952
311,2219440
312,1424336
313,2594048
314,1814352
315,2678832
316,1501936
317,2623424
318,1758656
319,2231632
320,1835104
321,1996064
322,1776304
323,1930336
324,1856128
325,1971760
326,1662192
327,2675008
328,1750416
329,2100192
330,1859632
331,1951072
332,1761184
333,2599792
334,1770304
335,1994352
336,1878320
337,2176752
338,1786400
339,1726368
340,1780288
341,2431904
342,1818080
343,2523584
344,1610224
345,2575504
346,1788704
347,1763440
348,1614176
349,1979248
350,1602640
351,2271216
352,1675120
353,1457200
354,2371616
355,2659664
356,1633072
357,2700688
358,1619008
359,2502928
360,1678560
361,1947072
362,1532784
363,2488272
364,1635312
365,2659120
366,1743824
367,2135648
368,1577216
