========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 310, got 309)
WARNING: seq mismatch (expected 1029, got 1028)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    9 (0.450%)
RTL (us):
  Mean:   2222.773    Std dev: 979.033
  Min:      35.584    Max:     9781.264
  P50:    1896.736    P95:     4116.992
  P99:    6103.424    P99.9:   9720.848
Throughput: 450 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5955424
2,1255024
3,9337568
4,2623440
5,3834672
6,5031520
7,3595248
8,3936688
9,4910544
10,3690672
11,1800224
12,3132384
13,2819024
14,5892464
15,1838304
16,3868768
17,1554768
18,5968736
19,4561568
20,7867824
21,1532944
22,1773104
23,4809648
24,1711024
25,6226048
26,1590304
27,2019568
28,1645792
29,2491728
30,1560992
31,2265136
32,2198672
33,1758432
34,3876448
35,3682720
36,1661840
37,3395056
38,3268608
39,1527680
40,8035216
41,2528928
42,1522608
43,4085920
44,4375712
45,2840192
46,1685520
47,3442096
48,2252528
49,8822992
50,1351520
51,1928384
52,4834048
53,1229280
54,2320896
55,5698592
56,9720848
57,3424128
58,2806384
59,6103424
60,2030672
61,1820944
62,1967280
63,5055408
64,3085136
65,9682416
66,2243712
67,4496336
68,4034080
69,1439584
70,1629728
71,2295184
72,1687040
73,1732656
74,4084896
75,2776736
76,3758688
77,4911168
78,3948400
79,5204896
80,1791760
81,1547568
82,2738736
83,7536128
84,8215952
85,8123632
86,2504480
87,1864592
88,1594416
89,1740672
90,1804464
91,2512576
92,3584480
93,4885760
94,1565088
95,2119744
96,1441424
97,2621408
98,1525488
99,1998256
100,1529840
101,2478256
102,1834944
103,2646576
104,1487872
105,1867968
106,1611024
107,2648176
108,4035072
109,1810544
110,1757024
111,4181648
112,1647904
113,2510832
114,1375056
115,2251296
116,1762720
117,2351680
118,1832032
119,2683136
120,1800848
121,1899504
122,1412448
123,2700016
124,1504944
125,2171088
126,1684576
127,2567312
128,1655232
129,3806016
130,1335104
131,1800528
132,1296400
133,2003952
134,1828704
135,1903104
136,2252016
137,2747744
138,1803568
139,1675920
140,1579296
141,1831104
142,3973680
143,2602336
144,4051552
145,1536976
146,1821296
147,1589728
148,1278496
149,1704400
150,1508656
151,2135584
152,1554608
153,2173392
154,1655488
155,2299472
156,1598960
157,2546496
158,1631616
159,2727472
160,1342256
161,2696272
162,1546656
163,1962080
164,1433024
165,1259360
166,1763728
167,1359952
168,2180400
169,1553776
170,1253344
171,1730128
172,3859600
173,1598976
174,2670800
175,1423744
176,1780112
177,1625280
178,2420288
179,1587776
180,2181856
181,4138512
182,1637968
183,2351936
184,2021568
185,2804016
186,1321488
187,1962000
188,1555504
189,2417136
190,1631408
191,2354224
192,2406928
193,2043232
194,3854896
195,3550912
196,1546848
197,2372320
198,1521984
199,3137968
200,1851984
201,1864944
202,1747952
203,2057168
204,1526320
205,2749648
206,3720144
207,1559840
208,2512032
209,2676848
210,2509632
211,2845632
212,1678784
213,2381008
214,1476080
215,2294272
216,1552704
217,2227104
218,1645904
219,2476928
220,1622256
221,2362816
222,2304112
223,1766688
224,1513488
225,2270048
226,1392640
227,2297024
228,3870112
229,1313536
230,1748352
231,1451520
232,2336624
233,1684800
234,1295184
235,1729056
236,1471104
237,2045408
238,1792912
239,2226304
240,3892992
241,1608976
242,2538560
243,1522256
244,2754320
245,1486464
246,2525088
247,1431728
248,2577232
249,1697776
250,1875312
251,1625072
252,2374992
253,1694080
254,2209856
255,4526816
256,1414800
257,1943664
258,1788480
259,2914400
260,1783984
261,1522352
262,1792240
263,2721696
264,1598000
265,1657280
266,1515440
267,1496064
268,1042064
269,1579168
270,1399680
271,2941152
272,2179152
273,1804048
274,2629248
275,2079088
276,1919184
277,2139088
278,2064384
279,1426544
280,2356992
281,1493104
282,1775056
283,1790560
284,2896912
285,1562624
286,2022928
287,1550928
288,2392592
289,1764000
290,2217984
291,3939360
292,1792160
293,2576384
294,1693824
295,1779264
296,1603392
297,2577440
298,1605184
299,2308832
300,1486128
301,2186144
302,1353072
303,1663568
304,1720624
305,1523824
306,3418672
307,6820464
308,1198640
309,2260656
310,1781568
311,1731952
312,1737680
313,1552672
314,2654736
315,1464752
316,2659520
317,4606656
318,1562256
319,1688400
320,1514352
321,2823296
322,1507200
323,2468672
324,1402224
325,2558240
326,1546128
327,2011936
328,1452160
329,2375328
330,1357536
331,3225600
332,1530432
333,2405136
334,1454784
335,2389280
336,1727504
337,1867680
338,1685328
339,2610864
340,1584880
341,2457904
342,1876944
343,2058976
344,1706160
345,2568112
346,1567616
347,2396528
348,1536176
349,1984960
350,1584704
351,2480240
352,1537168
353,1437328
354,1996592
355,2575856
356,1829056
357,2543360
358,1888576
359,2526048
360,3472672
361,1968224
362,2065184
363,1935504
364,1748784
365,1475008
366,1756672
367,1669136
368,2515728
369,1675984
370,2185120
371,2390080
372,2057568
373,1505824
374,2591248
375,1299456
376,2726384
377,1486432
378,1771280
379,1965792
380,2643072
381,1626448
382,1665952
383,1834512
384,2484352
385,1575936
386,2881008
387,2250048
388,1847920
389,1833856
390,2035760
391,1726176
392,1928080
393,1997408
394,1751088
395,1738768
396,2420400
397,1526768
398,2279104
399,1732272
400,2768000
401,1372208
402,2084768
403,1417312
404,2729584
405,1504048
406,2411824
407,2132336
408,1780064
409,1866128
410,1999376
411,1754704
412,2936256
413,1770112
414,2018128
415,1770800
416,1820000
417,1669040
418,2812384
419,1731936
420,1949536
421,1400304
422,2702368
423,1510224
424,1900496
425,4402560
426,1586416
427,2751216
428,1909872
429,1889440
430,1593152
431,1856944
432,1747392
433,2344096
434,1629760
435,2815296
436,1384400
437,1884144
438,4740992
439,1432880
440,1855264
441,1747280
442,2388064
443,4009744
444,4277040
445,1463904
446,56320
447,1921280
448,1627200
449,2505184
450,2112608
451,1732048
452,1759168
453,2626960
454,1477664
455,2601616
456,1462400
457,1954240
458,4091440
459,1940176
460,2122272
461,1824608
462,1915504
463,1845136
464,1936848
465,1407232
466,2958400
467,1763792
468,2429104
469,1656848
470,1774192
471,1582736
472,4332816
473,2604736
474,1871280
475,2161920
476,1674352
477,1619712
478,1962624
479,2748496
480,1566688
481,2621200
482,1666656
483,1712624
484,1582736
485,2917968
486,1676768
487,2143200
488,1568624
489,1933024
490,1620800
491,2516784
492,1572672
493,2611344
494,1641360
495,2131072
496,3534864
497,1673088
498,2419280
499,1896240
500,2566144
501,1699632
502,1785040
503,1768560
504,2531760
505,3694656
506,1675584
507,3392384
508,1522912
509,1983424
510,1611344
511,1759856
512,1937840
513,2971696
514,1701552
515,1680912
516,3527632
517,1747696
518,1496592
519,2652048
520,2729760
521,1581904
522,2090256
523,1778112
524,2618176
525,1939856
526,1885568
527,1691520
528,3407776
529,2429024
530,1729024
531,2388336
532,1996992
533,2286160
534,9041808
535,2822000
536,3651440
537,2018896
538,1675888
539,2151136
540,1467520
541,2600240
542,2265040
543,1170784
544,1935472
545,2531328
546,1596160
547,1836944
548,1649536
549,2893504
550,4591728
551,1724192
552,2714336
553,2862256
554,1579632
555,1835536
556,1741616
557,2637392
558,1425456
559,2298448
560,2148352
561,1901216
562,2305376
563,1795680
564,1760304
565,1764752
566,1651952
567,1366368
568,1171312
569,1716096
570,2682976
571,2034608
572,2148864
573,1723696
574,2150912
575,1914832
576,1786448
577,1635552
578,1745904
579,1900000
580,2304224
581,1752112
582,2556496
583,1796528
584,1666800
585,1826048
586,3090816
587,1671600
588,1991984
589,1664752
590,1836576
591,1610720
592,2520240
593,1699920
594,2493776
595,1629408
596,1928688
597,1733200
598,2704064
599,1560912
600,2326480
601,1559984
602,1901552
603,1654192
604,2489504
605,1753616
606,2307328
607,1701584
608,2231616
609,1518272
610,2768096
611,3951424
612,1668128
613,2018928
614,1667152
615,2666448
616,1669728
617,1833712
618,1548416
619,2552064
620,1712720
621,2929008
622,1528896
623,2169520
624,1808176
625,1976272
626,1848592
627,2401680
628,1556544
629,2009744
630,1645120
631,2322352
632,1678960
633,2456832
634,1865136
635,1728208
636,1726640
637,2470192
638,4659200
639,1965216
640,1725664
641,1688640
642,1629536
643,1958224
644,2396400
645,1560320
646,2233808
647,1573104
648,3052848
649,1710160
650,2047440
651,1586816
652,1816304
653,4497648
654,1536112
655,2166560
656,1754768
657,2494912
658,1823616
659,1701680
660,1892656
661,2140784
662,1611680
663,2871520
664,1852352
665,2033760
666,1398864
667,2557232
668,3701136
669,1606432
670,2123296
671,1783216
672,2419024
673,4009936
674,1531296
675,2712320
676,1587744
677,1909616
678,1690192
679,2685008
680,1669040
681,1830928
682,1627488
683,2796960
684,2368896
685,2888480
686,2496544
687,2566288
688,1736720
689,1740976
690,2013216
691,4156272
692,2000400
693,1764624
694,1822928
695,1895072
696,1877648
697,2794400
698,1732640
699,2153888
700,1464128
701,2157408
702,1613712
703,2492864
704,1737024
705,1827920
706,1824032
707,2653984
708,1694528
709,2055648
710,1933360
711,1912448
712,1622944
713,2401712
714,4448944
715,1508928
716,1826912
717,1679152
718,2473760
719,1685952
720,2724976
721,1627248
722,2534384
723,1542800
724,1681552
725,1790768
726,2503856
727,1541392
728,2496896
729,3552144
730,1748704
731,2623824
732,1850544
733,1927248
734,1700464
735,1988352
736,4388816
737,1658992
738,1822496
739,4099808
740,1830352
741,1826672
742,4744032
743,3456144
744,1728624
745,2782096
746,1702144
747,1966096
748,1692848
749,1944480
750,2084784
751,1911248
752,1672704
753,2875632
754,1838080
755,2011328
756,1685088
757,2264816
758,1676384
759,2214016
760,2074688
761,1706992
762,1827888
763,2174496
764,1882016
765,1738576
766,1809664
767,2901920
768,1946784
769,2102800
770,1505696
771,1920032
772,1857296
773,3214208
774,3422032
775,3806560
776,1643632
777,2472384
778,1856400
779,1715280
780,1992688
781,1932448
782,1728064
783,2761984
784,1630960
785,2522864
786,1624384
787,2079008
788,1856496
789,2061296
790,1440976
791,2233344
792,2038096
793,2356240
