========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
  Mean:   2193.637    Std dev: 889.605
  Min:      55.376    Max:     16103.584
  P50:    1880.800    P95:     4000.720
  P99:    4726.448    P99.9:   8499.040
Throughput: 456 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,16103584
2,8499040
3,6181024
4,2636128
5,1847664
6,4689328
7,1853728
8,1851520
9,3582800
10,2820512
11,4245440
12,5662720
13,2480160
14,1470592
15,1850672
16,1529744
17,3925616
18,1346016
19,3635040
20,2711216
21,1566656
22,1140560
23,2585024
24,1841056
25,3755616
26,4243664
27,3706000
28,2533376
29,3851056
30,1950496
31,1596448
32,1770448
33,1891808
34,2509584
35,1243376
36,3417600
37,1445312
38,1913584
39,4473104
40,1637040
41,1595648
42,2300800
43,1972736
44,4797312
45,1496304
46,1695728
47,4241424
48,4913568
49,3225360
50,3346304
51,2506208
52,2894608
53,4564176
54,1959744
55,1837952
56,4578288
57,2001888
58,8250448
59,5157088
60,3105312
61,2884912
62,5048704
63,3330368
64,1987664
65,1625776
66,2304400
67,2004992
68,1522096
69,2026432
70,1852592
71,3704304
72,2484016
73,2275856
74,2050608
75,3708096
76,1675264
77,55376
78,2378832
79,1610736
80,2604720
81,1974480
82,1986336
83,1681376
84,1941376
85,1614304
86,2474544
87,2018992
88,1876064
89,1944352
90,1850432
91,1759296
92,3023104
93,3379376
94,4264288
95,3820192
96,1686352
97,1956736
98,4386544
99,1903920
100,1948768
101,1801296
102,2566256
103,2007216
104,1853856
105,1792640
106,1792704
107,1829616
108,2342656
109,1691696
110,2621696
111,1672544
112,1870752
113,1614144
114,2701600
115,4322000
116,1798256
117,2169712
118,1643648
119,1868544
120,1565520
121,1964224
122,1532624
123,1560304
124,1022960
125,1843024
126,2267776
127,1946496
128,2270416
129,1838320
130,2030944
131,1647440
132,2459616
133,3905360
134,1418272
135,2722624
136,1844624
137,1738000
138,1661744
139,2568208
140,1668240
141,2300464
142,1711568
143,2381088
144,1801264
145,1941968
146,1902192
147,2281024
148,1803088
149,1638096
150,1980464
151,2142640
152,1588640
153,2668016
154,4306640
155,1518784
156,1923552
157,1714304
158,2577184
159,1409200
160,2590704
161,1943264
162,1804576
163,1942960
164,2354736
165,3606288
166,1688976
167,2132320
168,1531632
169,1563712
170,1134640
171,1592416
172,2838784
173,1729520
174,2217296
175,1567952
176,1701568
177,3916496
178,1953488
179,2562800
180,4184592
181,1656656
182,1888848
183,1728704
184,2444832
185,1994240
186,1800944
187,1950320
188,2640320
189,1763616
190,1868304
191,1559584
192,2759072
193,2049360
194,1915584
195,1419472
196,2577488
197,1452928
198,1794512
199,1624240
200,2606656
201,1922720
202,1951520
203,1603264
204,2117440
205,1725008
206,2680816
207,1931408
208,2036144
