========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    17 (0.850%)
RTL (us):
  Mean:   2312.999    Std dev: 905.972
  Min:     131.328    Max:     10019.104
  P50:    2046.416    P95:     4114.336
  P99:    5629.056    P99.9:   9621.040
Throughput: 432 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5352880
2,1546048
3,2613392
4,1678832
5,2070896
6,1260272
7,2491600
8,2151200
9,1445888
10,1425168
11,1246080
12,3851312
13,1688224
14,6250960
15,4792752
16,4981312
17,2729312
18,4108848
19,3409536
20,2422640
21,2013728
22,2097072
23,2330736
24,2868096
25,5083376
26,3236768
27,2104752
28,2712288
29,4188832
30,3959040
31,3340576
32,5421248
33,2513520
34,2348064
35,1037824
36,2473472
37,2643440
38,3615136
39,2355344
40,2355520
41,3256896
42,3959168
43,9621040
44,2474448
45,4391952
46,3133072
47,1568032
48,7871440
49,3268064
50,2568944
51,2739584
52,4113312
53,8680848
54,2383888
55,1663200
56,1619408
57,5336032
58,3559104
59,3144240
60,4712512
61,9399616
62,1757760
63,3821536
64,4208560
65,1885152
66,6567584
67,1972624
68,1691312
69,994832
70,1497552
71,1630048
72,2514336
73,2652912
74,4370368
75,1547312
76,1939584
77,1585616
78,2542752
79,1871168
80,1674640
81,1677904
82,3868928
83,4181040
84,2329920
85,1669216
86,2515056
87,1833680
88,2106640
89,3882352
90,1519200
91,2348688
92,4288320
93,2065552
94,1707248
95,2958144
96,2308912
97,3010448
98,4046528
99,4210384
100,3932176
101,3312192
102,1683184
103,1379424
104,2461072
105,1680784
106,4089024
107,1631504
108,3093648
109,1748816
110,1991424
111,1407360
112,2234608
113,4260288
114,2230576
115,1641184
116,1389072
117,2303376
118,1670800
119,2306656
120,1646384
121,3050640
122,1750192
123,1746336
124,2259728
125,2298864
126,1888880
127,1885056
128,1745056
129,1677712
130,1775472
131,2311280
132,4237888
133,1507184
134,2146368
135,1691440
136,2831600
137,1655504
138,1969168
139,1649632
140,2061440
141,1759696
142,2386784
143,1612976
144,2827616
145,1555152
146,1978784
147,1823600
148,2160032
149,1724896
150,2619712
151,1407024
152,1940848
153,1670320
154,2636368
155,1653072
156,2782944
157,1613408
158,2031264
159,1577648
160,2280528
161,1769552
162,1778048
163,1863984
164,2399856
165,1465568
166,1462112
167,1686096
168,3017200
169,3200480
170,1639808
171,2253280
172,2896720
173,1995968
174,1538976
175,1767856
176,3930528
177,1846832
178,2349648
179,1832688
180,2490112
181,1670928
182,1838976
183,1533648
184,2489504
185,1503408
186,3927712
187,2378320
188,1586688
189,2284544
190,3060976
191,2050896
192,1582480
193,2103984
194,1644544
195,1952032
196,1719376
197,2007872
198,1711264
199,2700800
200,3385456
201,1657360
202,2584912
203,4582592
204,1677520
205,1579360
206,1869216
207,2401856
208,3701152
209,1796528
210,2405120
211,2529424
212,2009120
213,1758000
214,1685712
215,4021552
216,1559584
217,1975296
218,1848320
219,2813840
220,1805648
221,1991552
222,2079616
223,1808624
224,1537904
225,1710272
226,1766736
227,2491088
228,1809168
229,2480608
230,1597920
231,2110448
232,1776032
233,2393008
234,1690336
235,2178112
236,1512304
237,2735408
238,1583856
239,1834496
240,1673776
241,2519264
242,1889392
243,1821824
244,1704816
245,2441840
246,1507696
247,1278288
248,2696800
249,2298912
250,1521392
251,2509824
252,1432512
253,2835856
254,1973552
255,1791984
256,1877264
257,1733040
258,4262544
259,1376656
260,2398128
261,1786496
262,3894464
263,2338464
264,1485408
265,2821952
266,4021376
267,1752336
268,1769728
269,1736432
270,2409744
271,1483456
272,2385504
273,3729120
274,5959568
275,2220448
276,3710224
277,4343344
278,3680288
279,1975456
280,2284096
281,3223360
282,4672880
283,1792144
284,1803936
285,3565344
286,3248752
287,2398112
288,2967600
289,1420816
290,2201904
291,4237552
292,1609760
293,1818352
294,1524544
295,4260496
296,2139216
297,1616064
298,1564336
299,2755856
300,2677024
301,1822528
302,1504752
303,1413584
304,1685312
305,2355568
306,2587408
307,2013840
308,2292736
309,1589312
310,2346512
311,3794176
312,3846256
313,3420064
314,1599200
315,2237584
316,1662912
317,1922816
318,3590272
319,4560480
320,2291904
321,1633952
322,1430064
323,2262080
324,1429456
325,2484208
326,3873904
327,1861280
328,2896016
329,1644496
330,1736592
331,1857744
332,2426768
333,1442240
334,2425168
335,1555872
336,2250240
337,3798224
338,1687328
339,2563200
340,1701200
341,2993776
342,1540304
343,2048784
344,1561424
345,2132800
346,4003792
347,1680336
348,2496016
349,1496016
350,2152832
351,1657520
352,4769888
353,2000304
354,1533200
355,2178720
356,3601232
357,4197120
358,1696144
359,2318992
360,1558480
361,2415296
362,4230224
363,1541904
364,2050240
365,1396224
366,1561024
367,2035296
368,1590432
369,1716960
370,4094864
371,1791168
372,1742160
373,2877312
374,1152096
375,2371936
376,3313776
377,2262768
378,1717312
379,2344016
380,4467760
381,1579680
382,1752032
383,1476896
384,2527088
385,4427280
386,3492432
387,4258288
388,1949280
389,2167824
390,3911344
391,4284608
392,1671936
393,2351648
394,1784320
395,1721296
396,3924528
397,1532288
398,2462032
399,1731824
400,2985456
401,3064928
402,1745488
403,2246336
404,1665376
405,2282368
406,2953296
407,1844336
408,1538128
409,1683616
410,1682352
411,2225328
412,3095968
413,2600192
414,2486720
415,3916032
416,2444336
417,1832512
418,1806896
419,3231712
420,1593296
421,2397984
422,3067712
423,1525856
424,2327600
425,1545248
426,2082800
427,1363456
428,2586304
429,3926656
430,1345040
431,1701360
432,2409952
433,1572784
434,2322816
435,2710944
436,2891200
437,2339552
438,1477936
439,1663616
440,3818656
441,1682880
442,2212448
443,3722160
444,1702112
445,2302896
446,1569920
447,2186000
448,4328128
449,1470176
450,2171088
451,2709552
452,3138304
453,2377456
454,3952128
455,3652240
456,1494368
457,2604912
458,4501936
459,3317776
460,1683824
461,1410448
462,1569888
463,3628640
464,4470608
465,3279264
466,1395344
467,1568544
468,1619392
469,1397792
470,3684832
471,1617440
472,2472336
473,2211472
474,1473152
475,3164896
476,1571680
477,1853120
478,1952064
479,2987040
480,1694544
481,1700064
482,4245936
483,3787248
484,1689744
485,1731984
486,3183120
487,2569888
488,3455344
489,4678976
490,1486096
491,2532320
492,3463520
493,2395424
494,2023584
495,1600336
496,1809216
497,1634384
498,2877952
499,1321056
500,2105856
501,1705712
502,2483184
503,3456704
504,1531360
505,1395440
506,1621200
507,1771184
508,1742080
509,1776656
510,2683248
511,1857376
512,1857632
513,1501888
514,2336992
515,1695568
516,2928048
517,1752592
518,2308896
519,2080944
520,1668560
521,1692880
522,1935520
523,1509184
524,2544192
525,1628864
526,2724080
527,1535136
528,3652272
529,2461072
530,4378352
531,1945344
532,2027008
533,1968368
534,1894768
535,1731936
536,1659648
537,1716784
538,2636208
539,1547280
540,2376304
541,3723648
542,1659872
543,3095792
544,1890656
545,1764288
546,1662720
547,1889664
548,4520048
549,1580016
550,1724576
551,1686080
552,2898752
553,1852032
554,1843168
555,3837856
556,1697168
557,2502400
558,4211328
559,1663616
560,2064784
561,1668976
562,2407824
563,1868896
564,2994688
565,4610944
566,2008960
567,1633040
568,2834528
569,3702256
570,1950640
571,2685344
572,1843424
573,1800384
574,1714704
575,2605728
576,1582848
577,1774416
578,1871616
579,2879024
580,1921984
581,1715712
582,1609952
583,2029232
584,4703744
585,1830688
586,1755632
587,1643888
588,2223808
589,1882112
590,1970544
591,1607232
592,2838304
593,1740464
594,1821040
595,3795680
596,1663952
597,2529248
598,1858848
599,1806576
600,1942576
601,2032032
602,1852768
603,2480992
604,1620992
605,2193136
606,1789984
607,1919728
608,1749456
609,3176368
610,1785776
