========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    9 (0.450%)
RTL (us):
  Mean:   2069.519    Std dev: 897.457
  Min:     839.456    Max:     9831.392
  P50:    1797.408    P95:     2870.336
  P99:    7214.016    P99.9:   9525.520
Throughput: 483 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4286928
2,9831392
3,1745200
4,1699120
5,1745584
6,2944032
7,1780016
8,1531056
9,1372720
10,2590832
11,1508800
12,1385344
13,9525520
14,1355968
15,2421760
16,1514112
17,2708560
18,1444032
19,2535200
20,1611808
21,1833440
22,1730688
23,1204016
24,1149168
25,1567760
26,6475824
27,1493552
28,2298048
29,1771248
30,2365840
31,1462624
32,2422736
33,8558944
34,1912992
35,1573920
36,1455408
37,2763424
38,1419680
39,2471376
40,8396576
41,1616704
42,1784080
43,1665936
44,2921696
45,1618656
46,2173040
47,1209472
48,2379344
49,8240784
50,1460816
51,2434800
52,1515728
53,2712496
54,1493760
55,2599936
56,1537568
57,1636992
58,1544752
59,7185744
60,1458512
61,2393792
62,2313680
63,2538256
64,2715424
65,1607984
66,2725280
67,1333008
68,6904256
69,1558032
70,1691808
71,1618368
72,1422944
73,2572496
74,1408176
75,2282768
76,7513520
77,1492544
78,2155696
79,1529360
80,2814544
81,1656768
82,1810864
83,1377008
84,2434816
85,1549952
86,1375344
87,1155712
88,8258832
89,1610640
90,2530496
91,1626848
92,2009136
93,1507472
94,2422880
95,1466960
96,2370560
97,1655152
98,2263760
99,8564096
100,1480608
101,1892560
102,1492880
103,1559488
104,2947152
105,1939856
106,1595904
107,7046448
108,1570880
109,1891056
110,1282720
111,1241344
112,2507632
113,4399584
114,7009872
115,1590768
116,1709200
117,1435904
118,1435520
119,2928816
120,2253936
121,8759648
122,1384144
123,1639776
124,1385552
125,1605072
126,2519024
127,1321024
128,1812128
129,1472640
130,2656832
131,1549456
132,1674096
133,1570640
134,7253584
135,1379104
136,1583408
137,1888112
138,2632000
139,1621904
140,2234768
141,1483616
142,2347376
143,8224480
144,1439120
145,2723360
146,1570768
147,2545616
148,1452096
149,2506464
150,1462848
151,2493440
152,1505536
153,2486608
154,1420400
155,2400272
156,1618624
157,2421776
158,1494048
159,2496992
160,1451872
161,2307360
162,1342688
163,2536080
164,2045376
165,2033600
166,1512656
167,2309856
168,1622224
169,1982384
170,1563072
171,2371248
172,1356544
173,6839376
174,1441248
175,2000000
176,1427680
177,1657376
178,1383584
179,1564480
180,2358640
181,1659904
182,2521200
183,1347840
184,2329392
185,1759104
186,2441664
187,1338848
188,2433808
189,8087072
190,1605984
191,2203904
192,1587712
193,2177040
194,1469216
195,2703328
196,4633200
197,7442512
198,1768080
199,1840160
200,1474096
201,2528768
202,1471184
203,1449808
204,1815408
205,1739040
206,2053680
207,1616224
208,2096320
209,1782800
210,2419488
211,1543200
212,2369104
213,1594976
214,2605488
215,1776464
216,1999696
217,1653344
218,2659824
219,1655968
220,2038352
221,1398784
222,1920048
223,1515776
224,2602368
225,1637392
226,2848320
227,1989616
228,3886672
229,1952208
230,1757872
231,2020032
232,1421840
233,2436832
234,1560464
235,2267008
236,1457360
237,2790976
238,1503088
239,2412080
240,1495344
241,1960880
242,1755568
243,2345216
244,1654720
245,2993408
246,1449888
247,1829888
248,1586176
249,2555376
250,1595200
251,2849136
252,2219072
253,3779904
254,2077552
255,2009904
256,1962576
257,1582656
258,2172288
259,1399904
260,2809392
261,1729312
262,7017216
263,1376864
264,1992816
265,1617472
266,1973776
267,1445952
268,2088480
269,1270480
270,1500656
271,1406608
272,1438960
273,2442496
274,1721600
275,2544320
276,1861728
277,1591648
278,1732128
279,2126800
280,1441680
281,1671648
282,2572752
283,2823792
284,1472064
285,2681808
286,1405808
287,2846592
288,1666944
289,1782368
290,1345680
291,2573168
292,1803792
293,2312992
294,1554864
295,2599616
296,1926224
297,1496224
298,1684240
299,1936176
300,1455184
301,1683264
302,1024608
303,1602176
304,1361360
305,1273744
306,1407392
307,2565040
308,1304320
309,1511584
310,2695792
311,2480816
312,1686384
313,2472208
314,1658528
315,2392832
316,1416352
317,1866944
318,1568352
319,1664608
320,2583616
321,2709136
322,1834944
323,1663280
324,1513920
325,2823248
326,1550176
327,2746032
328,1504288
329,2360848
330,1506768
331,1761056
332,1481488
333,1618144
334,2922080
335,1919584
336,1618688
337,2777408
338,1689200
339,7638400
340,1431376
341,2777488
342,2675504
343,1653040
344,2221440
345,3886720
346,1539008
347,1975280
348,1489728
349,1520112
350,2317168
351,4374640
352,1301024
353,1792880
354,1633696
355,1838128
356,1527424
357,2606256
358,1617248
359,2312592
360,1536080
361,3025728
362,1506336
363,1807200
364,1428912
365,1250592
366,1095648
367,1303920
368,1480256
369,2025792
370,1381152
371,1694864
372,1505152
373,1296304
374,1617568
375,1391536
376,2360528
377,1381296
378,1420192
379,2123504
380,1698512
381,3035024
382,2537936
383,1763120
384,1701488
385,1441184
386,1515312
387,1806912
388,1464896
389,2077680
390,2154576
391,1531088
392,1324048
393,1009200
394,1592048
395,2705760
396,1425728
397,2620272
398,1482656
399,2861664
400,1457856
401,2220096
402,1942000
403,2018816
404,9447968
405,1547520
406,2212288
407,1624544
408,2701104
409,1742336
410,1481616
