========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 1307, got 1306)
WARNING: seq mismatch (expected 1323, got 1322)
WARNING: seq mismatch (expected 1747, got 1746)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    7 (0.350%)
RTL (us):
  Mean:   2070.746    Std dev: 891.101
  Min:      42.048    Max:     10451.088
  P50:    1777.776    P95:     2888.160
  P99:    6996.496    P99.9:   9876.032
Throughput: 483 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,10451088
2,1425520
3,2213856
4,1322224
5,1396064
6,2553216
7,1473344
8,2403952
9,1584704
10,1282656
11,8480224
12,1770336
13,1829568
14,1455488
15,2417936
16,1735328
17,1762896
18,1768992
19,1265968
20,1273248
21,1402272
22,2419280
23,8209024
24,1584736
25,2266048
26,1397408
27,2423552
28,8248000
29,1381744
30,2429536
31,1422976
32,1397136
33,2379552
34,1433872
35,1612832
36,7836976
37,1323856
38,1403840
39,2511008
40,1456928
41,2357408
42,7123568
43,1657200
44,2518352
45,1461200
46,1737456
47,1579616
48,2826256
49,1555520
50,2450032
51,1554688
52,2169808
53,1398960
54,1551776
55,9786944
56,1493920
57,1706528
58,1295440
59,1346288
60,2016192
61,1625440
62,1673536
63,1485024
64,2510000
65,8199136
66,1565248
67,2411136
68,1516432
69,2595328
70,1518192
71,6487904
72,1373536
73,2034864
74,1437488
75,1468608
76,1803472
77,1493200
78,2199920
79,1423120
80,2783488
81,1467696
82,1916976
83,1551632
84,1500592
85,1548064
86,1408800
87,9857616
88,1390032
89,1790288
90,1700624
91,2702304
92,1574192
93,2649008
94,1582160
95,1715504
96,1434400
97,1504064
98,2501104
99,1446704
100,5619552
101,1498768
102,1723104
103,1598384
104,1542176
105,9876032
106,1449760
107,1740480
108,1479712
109,1360032
110,1575088
111,1549456
112,2402176
113,8100256
114,1443744
115,2068096
116,1532464
117,2622096
118,1411504
119,2041600
120,1516160
121,1504816
122,1589328
123,4327984
124,1738432
125,1764224
126,1569584
127,2918784
128,1590448
129,1890880
130,1464400
131,2437456
132,1356896
133,1449712
134,5608384
135,1701808
136,1649872
137,1603760
138,2480224
139,5373568
140,1494032
141,2533856
142,2751888
143,1783344
144,2232784
145,1507936
146,2536496
147,1446064
148,2637600
149,1364944
150,2888352
151,1574160
152,1733184
153,1623072
154,2490832
155,77792
156,4384112
157,1664608
158,1754272
159,1338192
160,1317504
161,1884208
162,1419392
163,2255456
164,1660528
165,2314384
166,1509536
167,2510752
168,1680912
169,6679088
170,1439504
171,1716304
172,1566016
173,1466000
174,2385440
175,1649184
176,2491136
177,6996496
178,1493984
179,2712288
180,1472512
181,1921024
182,1469936
183,2409264
184,1636496
185,2544000
186,8439280
187,1377328
188,1793232
189,1651584
