========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
  Mean:   2076.051    Std dev: 868.268
  Min:      57.840    Max:     9561.680
  P50:    1782.048    P95:     2900.320
  P99:    6992.992    P99.9:   9555.968
Throughput: 482 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,8745424
2,1560512
3,2207248
4,1423200
5,1596016
6,1502096
7,2703280
8,8452000
9,1543824
10,1726560
11,1496976
12,4170064
13,2536672
14,8623408
15,3348176
16,1600816
17,2783120
18,1558192
19,2292864
20,1605952
21,2291520
22,1563488
23,2685360
24,1471920
25,2395744
26,1563408
27,1922288
28,1371104
29,3118048
30,1840480
31,1985920
32,1482640
33,2435744
34,8140656
35,1844400
36,1783408
37,1623392
38,2500096
39,1457552
40,2389392
41,1625888
42,2570368
43,1436816
44,6864880
45,1671056
46,1955632
47,1701968
48,2142832
49,1384352
50,2617152
51,1408864
52,1376048
53,9214688
54,1426480
55,2250848
56,1456528
57,2670416
58,1530560
59,2945856
60,7838640
61,1555744
62,2547968
63,1576032
64,2241328
65,1529792
66,2565760
67,1584800
68,2499792
69,1526912
70,2203504
71,1565360
72,2281776
73,1459744
74,2175360
75,1357504
76,7423488
77,1446544
78,2074352
79,1471568
80,2673264
81,1484848
82,2226064
83,1494448
84,2705632
85,8454192
86,1738224
87,1773648
88,1588384
89,2577008
90,1644208
91,2742368
92,3273168
93,2873440
94,2684800
95,7120288
96,1427920
97,1838896
98,1506896
99,2757952
100,1516096
101,2258752
102,1519968
103,7044464
104,1383216
105,1917568
106,1526208
107,2804688
108,1564096
109,2813872
110,3691792
111,1460864
112,2352336
113,1527040
114,2553472
115,1641200
116,2602912
117,1148000
118,2115504
119,4126656
120,8341472
121,1670528
122,2390976
123,1393952
124,2728224
125,1367632
