========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    12 (0.600%)
RTL (us):
  Mean:   2205.424    Std dev: 974.559
  Min:      47.136    Max:     8613.968
  P50:    1865.888    P95:     4253.856
  P99:    6200.944    P99.9:   8270.928
Throughput: 453 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1767200
2,1699376
3,1544192
4,3105936
5,1559808
6,5871616
7,1554640
8,2161072
9,1348928
10,2462384
11,1557024
12,6504880
13,3940352
14,2139248
15,6025264
16,1647728
17,1761440
18,4909888
19,1472192
20,1695056
21,4436352
22,8613968
23,1495248
24,1752176
25,4312832
26,1502512
27,1665200
28,1322208
29,2635168
30,4518464
31,8064912
32,1769024
33,4232816
34,2152992
35,1663504
36,2093136
37,1401888
38,3393888
39,1346000
40,1600384
41,1426480
42,1556272
43,2140976
44,7920272
45,1591696
46,2435056
47,1537504
48,2229408
49,1405152
50,7670576
51,1723328
52,4500320
53,4119312
54,1709968
55,1902912
56,1566016
57,2400688
58,1392736
59,1594032
60,1931008
61,1502464
62,2973280
63,1472496
64,6082304
65,1423984
66,2011312
67,1602096
68,3518816
69,3492512
70,4979824
71,2567664
72,8109808
73,1726160
74,1563552
75,1758240
76,2263680
77,3748960
78,1910960
79,1659616
80,2382032
81,2657184
82,1993440
83,1672976
84,1833488
85,2514368
86,2354992
87,1395776
88,1944160
89,1438800
90,2482384
91,4206624
92,4613168
93,2985440
94,1490464
95,2525312
96,1411504
97,2906640
98,1637776
99,5999472
100,1743696
101,1878048
102,1555680
103,1380256
104,5585008
105,1408400
106,2202272
107,4620880
108,1953280
109,1936576
110,1677360
111,6153104
112,1496016
113,2059936
114,4440384
115,1892512
116,2060416
117,1553232
118,6591840
119,1281984
120,4681904
121,1898768
122,1470720
123,1998416
124,1913328
125,2402928
126,1652896
127,2051344
128,1774576
129,2913184
130,1848944
131,1671424
132,1655952
133,2392992
134,1897616
135,1663536
136,4865568
137,1978272
138,2010640
139,1525536
140,1691680
141,1865408
142,2834416
143,1529968
144,2042864
145,1579616
146,2511424
147,3818448
148,2266096
149,1919216
150,1718944
151,6196944
152,1803088
153,2183392
154,1837184
155,2133648
156,1520384
157,1932064
158,1716800
159,2637632
160,1390128
161,2797088
162,4165856
163,1510224
164,6280752
165,1489632
166,2697104
167,1538272
168,1791312
169,1501792
170,1452160
171,2713488
172,2449360
173,1494128
174,2890832
175,2437968
176,5305264
177,1446864
178,2749072
179,1438096
180,2580480
181,1577504
182,1697072
183,1563536
184,1562160
185,2655648
186,2381104
187,4844656
188,47136
189,1728896
190,2016368
191,1491184
192,2132048
193,1604736
194,1940368
195,1727520
196,2368544
197,4304080
198,1607552
199,1813792
200,1450752
201,1434752
202,1676896
203,1655440
204,1964016
205,1771760
206,1787776
207,92704
208,1741568
209,1620960
210,2704256
211,3682784
212,1961920
213,2111680
214,1761584
215,2292288
216,1945968
217,1450592
218,1415072
219,1493232
220,1898304
221,1448624
222,1815776
223,4135600
224,1472640
225,2074480
226,1538064
227,2598800
228,1481440
229,2978784
230,1861520
231,1693728
232,1348592
233,2674720
234,1583088
235,6440848
236,1714048
237,1632560
238,1490736
239,1605888
240,2714160
241,2869744
242,3928128
243,1451536
244,2736800
245,1487568
246,2177344
247,1319744
248,1398416
249,986736
250,1650096
251,2262720
252,4314512
253,1344192
254,2565472
255,1648256
256,2267168
257,1622768
258,2482976
259,1425936
260,2752112
261,4371600
262,1644016
263,1905984
264,1490336
265,2360608
266,1520368
267,2637536
268,1479952
269,2351952
270,1465696
271,2296656
272,1431808
273,2537056
274,1634496
275,2712224
276,2347536
277,1881200
278,3214048
279,2552448
280,2142224
281,1537376
282,2112256
283,1275424
284,2205648
285,1496272
286,1326736
287,1668240
288,1425728
289,2272384
290,1430704
291,2804208
292,1487312
293,2363728
294,1436592
295,2371520
296,2464496
297,1761616
298,1479056
299,2385280
300,4058592
301,1550784
302,2260256
303,1353056
304,1482208
305,2821376
306,2600176
307,2363184
308,1699104
309,4038224
310,1642144
311,1715968
312,1624864
313,2624624
314,1865920
315,3368384
316,2688432
317,1763648
318,2289200
319,1471456
320,2734960
321,1664128
322,1715856
323,1588976
324,2375456
325,1565536
326,2402640
327,1606448
328,2282496
329,1740144
330,2324832
331,1540704
332,2477232
333,1689408
334,2308464
335,2022384
336,2343968
337,1855264
338,2120864
339,3900704
340,1378160
341,2109808
342,1498432
343,1517600
344,1702272
345,1438128
346,2403840
347,1379888
348,2446080
349,1402192
350,2633168
351,4494624
352,1863568
353,1643856
354,1947712
355,1709376
356,1925760
357,2361328
358,1381296
359,2390512
360,1679200
361,2252480
362,1705664
363,2650128
364,4267616
365,1569008
366,1740720
367,1685680
368,2488608
369,1514736
370,2691968
371,1478640
372,2488224
373,1343776
374,2549888
375,1461952
376,2251472
377,4449200
378,1631872
379,1625440
380,1551840
381,1480656
382,964352
383,1511744
384,1446912
385,5489168
386,1513056
387,2120416
388,1414816
389,2713856
390,4216608
391,1477344
392,2434112
393,1624640
394,1990976
395,1473504
396,1467536
397,2467920
398,1511472
399,1502592
400,1378560
401,2238736
402,1685872
403,3011568
404,1511856
405,1826032
406,1357376
407,2762176
408,4228848
409,1642848
410,2566320
411,3231328
412,1494208
413,2421888
414,1718752
415,2378768
416,1723872
417,2433264
418,4253856
419,1515552
420,2066256
421,1623808
422,2478768
423,4066080
424,1616784
425,2809696
426,1602928
427,1938880
428,1495216
429,2665232
430,3902592
431,1393248
432,2552624
433,1458688
434,2395648
435,4273248
436,1543584
437,2220000
438,1643648
439,2441824
440,1494944
441,2612512
442,1344560
443,2478512
444,1579520
445,2399088
446,1400352
447,1269712
448,2295712
449,1678592
450,2355760
451,3334640
452,1610624
453,1887456
454,1739760
455,2700352
456,3419136
457,1538272
458,2398944
459,1634640
460,2814816
461,3720944
462,1504976
463,2247808
464,1539936
465,1365792
466,947328
467,1586768
468,2959792
469,1783952
470,2061760
471,1468048
472,2519744
473,1441328
474,3001808
475,1500576
476,1874400
477,1378992
478,1352368
479,2064704
480,3382496
481,1487728
482,2329808
483,1424832
484,2343680
485,1507776
486,1436880
487,2298592
488,3641584
489,3985968
490,3021280
491,1467152
492,2545328
493,4153440
494,4324096
495,1475968
496,2139552
497,1378880
498,3145744
499,1777792
500,1810960
501,3894288
502,1414208
503,2509712
504,1524976
505,2477888
506,2172464
507,1948208
508,1591360
509,2056976
510,1560784
511,2625840
512,4177520
513,1514400
514,2028848
515,1778960
516,2485504
517,1634000
518,2536608
519,1493216
520,2263152
521,1593680
522,2158240
523,1809376
