========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!


========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
  Mean:   2271.745    Std dev: 947.770
  Min:     118.928    Max:     9615.568
  P50:    1958.688    P95:     4239.808
  P99:    6295.712    P99.9:   7824.448
Throughput: 440 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4075120
2,2693024
3,1615552
4,2801760
5,1823472
6,1811440
7,6981120
8,1862896
9,9615568
10,1229056
11,2774800
12,5106000
13,2673104
14,1872384
15,2074528
16,1651200
17,6312464
18,1543136
19,2853248
20,1475952
21,1696864
22,4524256
23,1757024
24,1850096
25,1558480
26,2643072
27,1700464
28,1819616
29,1670128
30,2814336
31,1885712
32,1875392
33,2007120
34,1861696
35,1503520
36,2716832
37,1680048
38,3375552
39,2792672
40,1556816
41,2446448
42,1508560
43,2118272
44,3723104
45,2137888
46,6498544
47,1911136
48,1960400
49,1515856
50,2994896
51,1840016
52,1812096
53,3732144
54,2489648
55,3757120
56,2060720
57,1639040
58,3188016
59,2864512
60,1583408
61,2277696
62,4277792
63,1668800
64,2127152
65,1342544
66,2626288
67,4009280
68,1592336
69,1889840
70,4488224
71,2124576
72,2913280
73,2770656
74,1565184
75,2141568
76,1913488
77,2917536
78,1753008
79,1713408
80,2005504
81,2003328
82,1818480
83,3350976
84,2919632
85,1580160
86,2136400
87,1590096
88,2963568
89,1843312
90,1898464
91,3828848
92,1600256
93,1901376
94,4362096
95,1752960
96,2095040
97,1623440
98,3295760
99,1659024
100,3177760
101,3559040
102,2850336
103,1361792
104,2590736
105,1605568
106,4331968
107,1636032
108,1605280
109,2785408
110,1532416
111,2600256
112,1481440
113,1827504
114,1538240
115,3039888
116,1542400
117,3471808
118,3271808
119,1792560
120,2767600
121,2648752
122,4466016
123,1870256
124,2110800
125,1553408
126,2481392
127,1993904
128,1961200
129,1528496
130,2679056
131,1918544
132,1974560
133,1544672
134,1967840
135,1391984
136,2452384
137,1525808
138,2807536
139,1398608
140,2298352
141,1939008
142,2059552
143,1947760
144,2421424
145,1565920
146,1978128
147,1976080
148,2080048
149,5810608
150,2940096
151,1674176
152,3140480
153,2953968
154,1681120
155,2121184
156,1898640
157,3730368
158,2025968
159,1653392
160,2468016
161,1539152
162,2624496
163,1715488
164,2288160
165,1591280
166,2547920
167,1582128
168,1814528
169,1521632
170,2779712
171,4375824
172,1800352
173,1802976
174,1643104
175,2048192
176,1750128
177,3837168
178,2760816
179,2129280
180,2358080
181,1497904
182,1848384
183,2022128
184,2039808
185,1682672
186,2029360
187,1728672
188,2599888
189,1769792
