========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 1002, got 1000)
WARNING: seq mismatch (expected 1002, got 1001)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    23 (1.150%)
RTL (us):
  Mean:   2316.677    Std dev: 1125.077
  Min:      60.048    Max:     9602.672
  P50:    1901.632    P95:     4724.400
  P99:    6593.808    P99.9:   8881.392
Throughput: 432 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3267600
2,1449696
3,1404384
4,8087168
5,1717648
6,1827696
7,7982256
8,1523504
9,2438976
10,5701360
11,1955232
12,6081936
13,3717568
14,1536816
15,6595184
16,1396432
17,1789920
18,1455504
19,2818592
20,1527344
21,2661024
22,4260640
23,1487824
24,2942240
25,1393680
26,5858336
27,1673664
28,2202480
29,1412032
30,2151952
31,6417840
32,6070928
33,1809072
34,6190928
35,4828048
36,3514704
37,1993712
38,1672688
39,1750400
40,1579504
41,1605408
42,1403824
43,5465392
44,1605392
45,2835728
46,5373232
47,1513648
48,2043728
49,7723472
50,1332624
51,1315744
52,2053584
53,3780400
54,4836528
55,6794112
56,3573904
57,1501776
58,1674944
59,1943328
60,4206032
61,2212768
62,5738032
63,4914064
64,7345616
65,1888128
66,1752992
67,4451792
68,1593680
69,1480752
70,2434160
71,6202832
72,1626912
73,1592752
74,1440368
75,1572640
76,2558688
77,1588864
78,1632320
79,1399600
80,4373360
81,2803712
82,6323104
83,1545088
84,1591904
85,7036864
86,3372816
87,1501872
88,2421600
89,1473584
90,7456720
91,5420272
92,2572896
93,1248384
94,1748400
95,3789328
96,8557024
97,1816944
98,1805632
99,1697152
100,1656528
101,2760080
102,3959440
103,2008336
104,6013472
105,1755728
106,1980080
107,1655120
108,2554272
109,3926608
110,1839872
111,6173520
112,1925520
113,1743984
114,4421520
115,1604192
116,1927808
117,1723904
118,7038896
119,1594592
120,1895536
121,1405264
122,2413008
123,4150112
124,1443648
125,1707888
126,1456912
127,4571520
128,2018592
129,1446000
130,1514704
131,2690384
132,1438656
133,6875200
134,1446592
135,1597728
136,1424336
137,2908384
138,2138496
139,6170768
140,1732368
141,4009824
142,1855008
143,4081936
144,1374096
145,2223744
146,1410048
147,2359088
148,1685488
149,2664784
150,4875280
151,1580848
152,6144048
153,1327120
154,2462192
155,5360336
156,2595936
157,4160128
158,1365168
159,2553440
160,8351888
161,1539264
162,1886912
163,4025280
164,1651792
165,2209504
166,4520688
167,1678848
168,1946304
169,1965472
170,1821456
171,1664160
172,2650832
173,1772112
174,3188736
175,1361760
176,1647024
177,1591136
178,3413248
179,1521616
180,3853904
181,3768704
182,1764928
183,1696752
184,3451520
185,2454576
186,4846240
187,3973840
188,1614704
189,3248432
190,3030576
191,1586672
192,2001296
193,2368736
194,5770768
195,1438400
196,2515440
197,1659168
198,2530864
199,1558704
200,1775760
201,1822528
202,6823504
203,1632592
204,2062560
205,1474416
206,2375264
207,1558768
208,2491792
209,1472304
210,7561600
211,5283904
212,1754896
213,1549472
214,1869936
215,1594976
216,1408768
217,2485792
218,1507968
219,3805024
220,1792704
221,1445872
222,2004064
223,1415296
224,2583728
225,1600080
226,1911424
227,2474928
228,1844144
229,4103248
230,1709104
231,2345040
232,1556688
233,2756112
234,1604016
235,3219184
236,2304320
237,1545344
238,1537568
239,1848608
240,2502496
241,1527296
242,2372928
243,1459840
244,2691984
245,1662464
246,1849088
247,1660112
248,2441776
249,1687696
250,3547552
251,1646224
252,5144752
253,1839280
254,2141776
255,1361568
256,2521280
257,2791472
258,5828832
259,1495152
260,2151872
261,1653136
262,1814544
263,1563952
264,1482320
265,2282944
266,1494416
267,1863952
268,1433760
269,2554976
270,1338512
271,2677184
272,1665392
273,1958352
274,1447536
275,2440976
276,1517760
277,2530384
278,2512624
279,1781200
280,1555440
281,2911040
282,1747504
283,1471296
284,4110656
285,1600736
286,2391376
287,1687216
288,1863168
289,1713600
290,2562512
291,4117440
292,1376688
293,2413680
294,1446752
295,2754944
296,3900784
297,1419056
298,2594880
299,1670688
300,1826080
301,1709744
302,2588128
303,4185952
304,1810208
305,2126656
306,1352704
307,2576976
308,1869600
309,2131168
310,3840496
311,1436176
312,2172240
313,1688560
314,2300000
315,1685216
316,3458896
317,1521232
318,1880064
319,1575728
320,1782624
321,1587056
322,2825168
323,4178560
324,1662208
325,1919824
326,4087136
327,1658416
328,3144736
329,1611440
330,1897008
331,1678928
332,1872784
333,1960416
334,2435088
335,1501504
336,2495920
337,1461552
338,2313664
339,1553360
340,2585520
341,1555600
342,1896512
343,1506288
344,1423024
345,2681888
346,2286352
347,1585456
348,2569504
349,1652496
350,2548256
351,1646144
352,2133888
353,1626672
354,2796368
355,1364576
356,2495360
357,1524016
358,3402320
359,3006688
360,1541664
361,2554992
362,1423872
363,2500048
364,1464304
365,2409328
366,1767296
367,1770992
368,1590768
369,2562832
370,1490080
371,2796032
372,4149536
373,1511952
374,1788144
375,1727024
376,2318752
377,1654592
378,3409776
379,1555136
380,3668608
381,1815664
382,5472736
383,2546544
384,1861872
385,2423584
386,1548256
387,2630816
388,1513088
389,1997184
390,1717344
391,2570896
392,1533696
393,2011792
394,4878240
395,1810656
396,1901632
397,1678816
398,1670880
399,1559904
400,2652336
401,1620304
402,2665792
403,1753632
404,1932912
405,1665136
406,3442544
407,1579184
408,4631360
409,3976848
410,1836464
411,1510928
412,2683952
413,1707680
414,2433744
415,1773920
416,1790384
417,1613360
418,2581264
419,1489472
420,6383552
421,1657552
422,2470080
423,1435904
424,2554496
425,1695936
426,2615728
427,1620288
428,2046464
429,1781776
430,1763648
431,1806112
432,2508096
433,1634864
434,2438752
435,1553264
436,3863712
437,2626976
438,1795216
439,3393632
440,2692592
441,1498912
442,2214896
443,1968832
444,2305024
445,1516896
446,2385376
447,1670656
448,1746016
449,1631568
450,2455472
451,1665296
452,2439904
453,1469232
454,3369904
455,1687984
456,1794880
457,1467952
458,2383024
459,1421968
460,2487360
461,1735088
462,6400864
463,1508432
464,1542432
465,5436096
466,1516800
467,2637440
468,1564784
469,2591888
470,1651248
471,1951456
472,1646496
473,2086336
474,1624720
475,2543360
476,1913936
477,6142304
478,1451680
479,2722720
480,1698208
481,2007040
482,1778064
483,3303408
484,1446464
485,2690112
486,3351056
487,1506608
488,1871072
489,1536720
490,2251072
491,2250896
492,1862640
493,1638576
494,2367536
495,1948256
496,2014432
497,1531488
498,2528272
499,1473600
500,2514384
501,3884944
502,1572544
503,2601088
504,1728480
505,3687184
506,2445296
507,1681728
508,1937776
509,1378880
510,3002144
511,1769024
512,1689168
513,1647120
514,2959728
515,3969120
516,1715056
517,1825920
518,1459616
519,2518496
520,1521344
521,2301328
522,1630480
523,1437088
524,2455600
525,2868992
526,1337760
527,3226208
528,3444592
529,1596144
530,2603216
531,1829152
532,1599184
533,1457536
534,2393808
535,1641360
536,1397776
537,2609248
538,2316848
539,4658832
540,1612144
541,1785712
542,1759136
543,2578000
544,4080512
545,1574480
546,2687488
547,3580832
548,1439472
549,2265808
550,4626112
551,1813168
552,1949712
553,1748352
554,3447792
555,2215600
556,1596768
557,1430816
558,908656
559,1613920
560,1466528
561,2487312
562,1452160
563,2481728
564,2665968
565,1448816
566,2495280
567,1544832
568,2301632
569,1614640
570,1334400
571,1642000
572,1457872
573,2523472
574,1918688
575,1591424
576,1623472
577,2547440
578,1402064
579,2107696
580,1751952
581,3527984
582,1622560
583,1811088
584,1539536
585,2695680
586,1555152
587,1722016
588,1832720
589,6672144
590,1817232
591,3505024
592,2810992
593,1784976
594,3421264
595,2374832
596,1388640
597,2566432
598,1892224
599,2469328
600,1884448
