HICOM_PING_START run=3
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
WARNING: timeout at seq 942
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   1905.209    Std dev: 730.927
Min:     277.408    Max:     10338.688
P50:    1957.136    P95:     2866.768
P99:    3525.728    P99.9:   9131.776
Throughput: 525 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2703280
2,2414368
3,1461296
4,2143072
5,1519232
6,299472
7,2795888
8,2594528
9,2858768
10,1925280
11,2274944
12,1738960
13,1715872
14,1981088
15,1890704
16,1873680
17,1817520
18,1891648
19,2294192
20,965392
21,1849232
22,1870176
23,2045760
24,2752672
25,2189168
26,1954224
27,2023664
28,2511120
29,3069040
30,2112480
31,1501200
32,1663600
33,309776
34,1883408
35,1248288
36,2129728
37,1958128
38,502080
39,1886800
40,2053648
41,1817280
42,1614912
43,1960096
44,1696016
45,1884880
46,1985984
47,354464
48,1165312
49,1891344
50,1796128
51,1914496
52,1904448
53,2047840
54,2775232
55,2452224
56,1715872
57,2008048
58,364256
59,1869312
60,1846752
61,532624
62,1823440
63,367328
64,1847984
65,2702080
66,1953984
67,1881712
68,2114944
69,2113296
70,1852560
71,2004752
72,2078320
73,1765280
74,2090496
75,2317744
76,2550192
77,2226096
78,1975744
79,565392
80,2290512
81,1804976
82,3540944
83,2533808
84,2110464
85,1876784
86,406512
87,2889280
88,2034128
89,2143904
90,1840832
91,851696
92,1842912
93,2135232
94,1819888
95,2415872
96,2637328
97,2373040
98,2421632
99,1789776
100,1658992
101,1948896
102,489584
103,2523744
104,1781968
105,1931872
106,1924592
107,1839616
108,345600
109,2063520
110,3068352
111,2611968
112,2774448
113,1791232
114,326240
115,2937392
116,1883616
117,1980656
118,1915968
119,1862464
120,1755600
121,1869664
122,1880640
123,2211552
124,3102240
125,1811296
126,1947904
127,1859984
128,499840
129,2964816
130,1785984
131,1989520
132,1817216
133,1723552
134,1949632
135,399232
136,415456
137,3135872
138,2173248
139,2672464
140,2238032
141,2589216
142,1264816
143,277408
144,3369856
145,1693664
146,1964240
147,1785440
148,1724928
149,1741136
150,1705984
151,2032704
152,1694592
153,336080
154,2018096
155,1807776
156,524912
157,1829536
158,1841008
159,1827584
160,1941904
161,1651824
162,1817040
163,1884800
164,1681472
165,1669696
166,2016368
167,2100976
168,1951744
169,2853472
170,2520880
171,1831248
172,442880
173,1986416
174,1960800
175,1884272
176,1860096
177,1598880
178,1707920
179,1736128
180,2014928
181,2176976
182,2176160
183,340608
184,1253056
185,1819088
186,2343280
187,1859376
188,2035424
189,3450272
190,2218944
191,2114944
192,307392
193,1341712
194,1869520
195,365232
196,2281904
197,2073216
198,1981920
199,2813328
200,2017808
201,2022944
202,3475136
203,1841568
204,1877600
205,1823632
206,1698352
207,2322736
208,456912
209,2174512
210,2300784
211,1840016
212,1895504
213,2108352
214,1968496
215,1316720
216,1966496
217,1959456
218,1872176
219,2544592
220,2980800
221,1761072
222,2064624
223,2016896
224,2965680
225,1839792
226,1754864
227,1739888
228,1729024
229,371968
230,2815168
231,1875856
232,2066864
233,1941232
234,1686048
235,1988768
236,1949056
237,444784
238,2032912
239,1885680
240,1716800
241,1970144
242,1812352
243,1886144
244,2039024
245,2681184
246,2026016
247,1984624
248,510544
249,2536384
250,1670240
251,1858544
252,1845040
253,1884256
254,1817088
255,2141120
256,1804288
257,2060128
258,1227600
259,2135072
260,3143728
261,4256160
262,1896352
263,1863904
264,1856512
265,2108272
266,1263840
267,2045232
268,308016
269,1088864
270,2157408
271,2674976
272,2008336
273,453648
274,1436416
275,1965504
276,2002720
277,377584
278,2170368
279,2172896
280,1975264
281,1201152
282,2027152
283,1629824
284,1896400
285,1892032
286,2026768
287,3501216
288,1953712
289,1932944
290,1807584
