HICOM_PING_START run=24
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   1846.972    Std dev: 638.683
Min:     264.400    Max:     4413.296
P50:    1918.112    P95:     2785.088
P99:    3204.416    P99.9:   3947.920
Throughput: 541 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1020304
2,2811760
3,1983984
4,1602768
5,2449264
6,1308768
7,2350480
8,1156576
9,1786256
10,1896112
11,2058416
12,3148384
13,2631472
14,1783408
15,2647680
16,2303056
17,2169872
18,3204416
19,2544464
20,1788208
21,2800240
22,2853232
23,1852400
24,1792928
25,2095984
26,2548864
27,2217760
28,1791040
29,1932896
30,311664
31,2839760
32,2350080
33,2967200
34,2302704
35,1678368
36,1960448
37,1729648
38,1712656
39,2049760
40,1810016
41,1941744
42,2199104
43,4413296
44,1636640
45,2070544
46,1725856
47,1997360
48,280624
49,2789056
50,3507312
51,2069888
52,1920368
53,2216416
54,2000336
55,1458496
56,1924464
57,1933056
58,1967392
59,1607840
60,1918080
61,1635424
62,2389104
63,1269808
64,2014560
65,279520
66,1230192
67,2349136
68,1139536
69,2048592
70,311552
71,1236064
72,1961296
73,1711104
74,2149520
75,1674464
76,373312
77,1851056
78,2093008
79,1975840
80,1875008
81,1748688
82,1886480
83,1759008
84,2044336
85,1759648
86,1918112
87,1687616
88,1943040
89,2268688
90,2671408
91,1913712
92,362512
93,1576368
94,1900480
95,2388752
96,1773664
97,428336
98,2071120
99,1324128
100,1977600
101,1125168
102,1707520
103,1953232
104,326320
105,1930880
106,1669440
107,2255504
108,2025712
109,1827680
110,1991744
111,2979248
112,3428144
113,2806608
114,1964048
115,1862368
116,1739280
117,2071040
118,1979440
119,2606064
120,2358080
121,1790640
122,2034304
123,1667072
124,1880016
125,1646704
126,1891056
127,1989520
128,1901616
129,1804816
130,1825712
131,342608
132,1816128
133,1844112
134,2171744
135,1615632
136,1881120
137,1908560
138,1996144
139,1973872
140,361904
141,481552
142,1881632
143,1992208
144,2108016
145,1171200
146,1866704
147,2112432
148,1993904
149,2578560
150,2421456
151,1715664
152,1798304
153,1999392
154,2077392
155,1932336
156,2465984
157,2457264
158,1919072
159,2112096
160,1850528
161,1947616
162,1932960
163,339360
164,1870352
165,2156896
166,2176992
167,2801056
168,1718624
169,2035136
170,1933280
171,2157280
172,1423584
173,2021808
174,1745520
175,1854960
176,1751552
177,1647264
178,2249584
179,1879280
180,2706480
181,2659136
182,1714064
183,2018736
184,2184464
185,1143024
186,1897808
187,1842128
188,2040704
189,1916800
190,1849200
191,1994336
192,1807504
193,1614032
194,1803264
195,1589488
196,1688192
197,308544
198,2624272
199,2576944
200,1950672
201,1871632
202,374960
203,1783200
204,2073056
205,2288080
206,377504
207,2725568
208,2071536
209,2340880
210,2967568
211,1694208
212,2035376
213,2041056
214,1796816
215,1989120
216,2299648
217,2564528
218,1985296
219,293024
220,1338592
221,1986288
222,1928176
223,433280
224,2692576
225,2112592
226,1701168
227,1922304
228,1938224
229,1948544
230,1856928
231,334576
232,2611632
233,295664
234,1785008
235,1553024
236,1998944
237,1878032
238,317632
239,1629440
240,1288016
241,381088
242,1771856
243,416576
244,2019008
245,269936
246,1416592
247,1903760
248,1797632
249,1966816
250,1913520
251,1863664
252,1862464
253,2031328
254,2461312
255,2411424
256,1793536
257,2006768
258,1743472
259,320624
260,1324496
261,1804624
262,359488
263,2511008
264,2368496
265,1899200
266,2089808
267,2014032
268,2019200
269,2040448
270,2597952
271,2414368
272,1810912
273,2714560
274,3202416
275,1754144
276,2081760
277,1977920
278,2149696
279,1746432
280,2020320
281,1794464
282,1636192
283,2309808
284,1974304
285,1823280
286,304768
287,2041984
288,2074112
289,433168
290,2791104
291,1944944
292,2097424
293,373056
294,2628432
295,2486016
296,1937840
297,1714096
298,1729872
299,452960
300,1005168
301,1861616
302,1615536
303,1586208
304,1867488
305,1887776
306,1474800
307,1782064
308,1812240
