HICOM_PING_START run=5[  146.261442] random: crng init done
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 2
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
WARNING: timeout at seq 740
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   1859.136    Std dev: 705.811
Min:     263.504    Max:     9896.784
P50:    1914.624    P95:     2771.488
P99:    3675.952    P99.9:   6640.416
Throughput: 538 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2376352
2,1730192
3,4416464
4,4234816
5,3105552
6,851904
7,5666000
8,2160464
9,2058976
10,326352
11,2405968
12,2191024
13,9896784
14,2159584
15,2359104
16,2162272
17,5028576
18,1396272
19,3982960
20,3354672
21,1948112
22,2028272
23,365824
24,1908448
25,2992000
26,2188224
27,2248672
28,2263840
29,1361008
30,1372368
31,1378608
32,1425616
33,1488624
34,315952
35,1931792
36,1934288
37,1870000
38,3063152
39,1900720
40,2222320
41,1868896
42,2128592
43,942368
44,2014288
45,386272
46,1155584
47,2112944
48,1501280
49,2199984
50,2295072
51,473600
52,1687344
53,1791568
54,1872592
55,2017808
56,1655696
57,2041040
58,1802864
59,299920
60,2173952
61,2891536
62,1857984
63,1934080
64,1767888
65,2179152
66,1526976
67,2164208
68,1599824
69,1856336
70,1917696
71,2060640
72,2335584
73,2538320
74,2019984
75,1669120
76,1981120
77,2088544
78,2221328
79,2145376
80,1653504
81,964608
82,319872
83,2224704
84,1195808
85,1884304
86,1687696
87,1618704
88,1650496
89,1886624
90,1657696
91,432176
92,1961616
93,1613328
94,1814016
95,1823008
96,1976624
97,2073472
98,1992240
99,2655424
100,2211008
101,1882144
102,2462944
103,2327056
104,1784080
105,1727696
106,1893472
107,412208
108,1149472
109,1683504
110,1788816
111,1946032
112,2125328
113,330976
114,2039568
115,992576
116,2128048
117,2325488
118,2548912
119,2021024
120,1902288
121,1861344
122,315200
123,1452880
124,2005680
125,1625904
126,464240
127,2889552
128,1816032
129,284816
130,1444544
131,302784
132,1406544
133,1385648
134,1415440
135,1415200
136,1708656
137,3917168
138,1733584
139,1099520
140,1921744
141,2053760
142,486144
143,2655440
144,2097760
145,1939232
146,1881696
147,2684432
148,1985120
149,2226192
150,1807536
151,2200768
152,1625456
153,2135632
154,2143248
155,2927840
156,326784
157,2255296
158,1907616
159,3765024
160,1980832
161,314912
162,2091968
163,2249264
164,2536688
165,1767568
166,1735536
167,331248
168,2064976
169,2804224
170,1992976
171,2111040
172,1571024
173,302368
174,2727584
175,1872832
176,2146016
177,2155360
178,1534384
179,2220640
180,2600096
181,2189936
182,1954336
183,1774064
184,1650640
185,1922128
186,1811184
187,1835904
188,2105440
189,449728
190,992256
191,2192704
192,1877328
193,537568
194,2654480
195,1777664
196,1804240
197,1940368
