HICOM_PING_START run=15
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 94
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
WARNING: timeout at seq 826
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
WARNING: timeout at seq 1025
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
WARNING: timeout at seq 1901
WARNING: timeout at seq 1912
Progress: 2000/2000 (lost: 5)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
Mean:   1936.286    Std dev: 747.517
Min:     283.072    Max:     10452.224
P50:    2005.328    P95:     2925.072
P99:    3621.984    P99.9:   9401.504
Throughput: 516 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3044800
2,2004512
3,472032
4,3268672
5,2713456
6,636752
7,2913600
8,2821232
9,3559632
10,2716128
11,1349408
12,3612464
13,556192
14,3586368
15,2513120
16,3368560
17,2086096
18,1422528
19,3808304
20,2518528
21,2197536
22,2319712
23,2954496
24,1928592
25,434384
26,1537648
27,3681520
28,2049008
29,2710224
30,429840
31,2840176
32,2546592
33,2094016
34,2948144
35,2018592
36,2616720
37,2109568
38,416016
39,1075104
40,2153088
41,2653040
42,2568928
43,737984
44,2833504
45,549808
46,2943184
47,458176
48,3061808
49,580864
50,2157984
51,2386000
52,3836224
53,2856320
54,1975568
55,350720
56,2052512
57,2662608
58,2182160
59,2599872
60,449984
61,2139216
62,2557104
63,355728
64,3555072
65,3748288
66,2257504
67,2111264
68,1513280
69,1943392
70,1913824
71,1842992
72,2152576
73,1968128
74,3066128
75,1926096
76,1950016
77,322960
78,410528
79,1784336
80,1787152
81,2278352
82,2749840
83,10452224
84,2213056
85,2746240
86,355584
87,2232512
88,3197120
89,2257488
90,1106160
91,2210000
92,335264
93,2818640
94,3635392
95,1975360
96,288368
97,1949760
98,1079536
99,2113072
100,1955696
101,1773040
102,1970224
103,1562448
104,1987296
105,1724480
106,3237696
107,2195040
108,1768464
109,389776
110,1682400
111,2405344
112,2556800
113,2298976
114,2103200
115,1998800
116,1853936
117,1665312
118,2140976
119,1020224
120,2191136
121,1864576
122,1994736
123,1651872
124,2045760
125,2560016
126,2909168
127,2160448
128,2705584
129,1510176
130,1402896
131,1488848
132,1552928
133,1427248
134,1562304
135,1383920
136,2995328
137,2128288
138,1796464
139,1822192
140,343568
141,1764048
142,1688464
143,2091008
144,1162992
145,1826480
146,1818448
147,393600
148,1728784
149,2540448
150,2524768
151,2106880
152,1678096
153,2032112
154,1042160
155,1882608
156,1681200
157,1959104
158,1680576
159,696480
160,3544240
161,354784
162,2972496
163,384096
164,1686528
165,2747504
166,1890000
167,1925648
168,398256
169,3003760
170,358080
171,1694384
172,1771104
173,1661920
174,1893520
175,1795056
176,1636256
177,364080
178,2164688
179,1714336
180,2344736
181,2333024
182,1674880
183,2496000
184,2120592
185,2491712
186,1970560
187,1934560
188,1942000
189,2099824
190,1882048
191,392832
192,1694800
193,2821520
194,1959536
195,372672
196,2039648
197,2334576
198,2602032
199,2352496
200,516208
201,1672064
202,2091584
203,2136112
204,1634816
205,1953456
206,2076720
207,1629248
208,2005344
209,3033632
210,2057472
211,1848336
212,1696704
213,2055008
214,1923584
215,390560
216,2827376
217,2262800
218,1531136
219,1846768
220,1435168
221,2097344
222,1688416
223,1920544
224,1588512
225,385008
226,2021968
227,2111584
228,2209312
229,2039312
230,1324544
231,394720
232,1998272
233,2881424
234,1922592
235,2113440
236,340528
237,2002560
238,1763584
239,2069888
240,390880
241,2474336
242,2513248
243,2151264
244,1613840
245,1965664
246,1853216
247,2188304
248,1133328
249,1853520
250,1865856
251,2103472
252,2565872
253,2505728
254,384576
255,2135456
256,2219104
257,371168
258,2467808
259,2590784
260,2351760
261,1256432
262,2024752
263,337968
264,458576
265,1924640
266,327728
267,470528
268,2224976
269,1369712
270,2075776
271,1684496
272,2153776
273,1119920
274,2190768
275,1643968
276,1987216
277,1546816
278,2125600
279,1875344
280,2026624
281,2802064
282,1822144
283,1879616
284,352608
285,1677200
286,2269824
287,2499440
288,2157024
289,2069712
290,1813344
291,2165024
292,1707360
293,2067440
294,1420576
295,2047024
296,2037168
297,2093616
298,2346496
299,1941984
300,1860224
301,2043760
302,328400
303,1571952
304,2726288
305,1937664
306,2217440
307,2066992
308,2298624
309,2687568
310,2146416
311,2050320
312,432176
313,2621536
314,1980032
315,1874512
316,2031280
317,1951344
318,1895776
319,374608
320,343392
321,1927808
322,401200
323,347328
324,3882512
325,1834064
326,364560
327,2165296
328,2168880
329,2123248
330,1032352
331,2069760
332,1643248
333,2060624
334,2017248
335,2177744
336,1885232
337,2233888
338,1857312
339,1797648
340,2176784
341,973936
342,1929360
343,1827792
344,2000128
345,2011472
346,348944
347,1809824
348,1933280
349,1979616
350,2049760
351,1491856
352,1554448
353,1477936
354,1492064
355,1441568
356,283600
357,1506816
358,291392
359,3561424
360,2142720
361,2187776
362,3229824
363,2328656
364,1948944
365,1723392
366,2101248
367,2646816
368,1876848
369,2131408
370,347664
371,1548608
372,1887840
373,1788592
374,1955888
375,1990928
376,2109856
377,2709456
378,1991712
379,1983328
380,1931904
381,340384
382,1781600
383,2553888
384,1986400
385,2037248
386,346224
387,1514896
388,2033360
389,1714928
390,2085376
391,2363696
392,2618176
393,2067456
394,1996176
395,2121808
396,1079200
397,2125392
398,2460000
399,2446176
400,1634864
401,1472800
402,1988832
403,423616
404,2756576
405,1798304
406,2170576
407,439152
408,936832
409,1923312
410,335744
411,1647152
412,1975680
413,1700752
414,2005616
415,1773392
416,1957200
417,2395424
418,494128
419,1712592
420,1547680
421,2357120
422,1837152
423,1839808
424,1938112
425,1994064
426,385696
427,1985488
428,2091184
429,1797504
430,1898960
431,2180048
432,400032
433,2494272
434,2145440
435,1710368
436,2103392
437,1550848
438,1524224
439,1563648
440,1518112
441,1408192
442,337104
443,1392736
444,3752944
445,1968064
446,1940672
447,446528
448,1563456
449,420000
450,2736256
451,2306256
452,1784112
453,2047552
454,1423680
455,2134576
456,2119040
457,2013120
458,2797264
459,2033616
460,2013152
461,1506688
462,2068560
463,2196528
464,431440
465,2231264
466,1831280
467,415712
468,1019920
469,1883632
470,2089280
471,2048528
472,409552
473,302944
474,2172240
475,1015392
476,2083568
477,2570784
478,455872
479,1852848
480,1965952
481,426208
482,1639392
483,2136576
484,1012368
485,2048528
486,1852576
487,1983552
488,1516032
489,2007168
490,1702688
491,360064
492,2807616
493,1855072
494,1760352
495,2091520
496,1634480
497,1994560
498,1776112
499,2421072
500,2046208
501,1636448
502,1903184
503,1752800
504,2084896
505,1409968
506,1899904
507,1714368
508,2107104
509,1489760
510,2020480
511,349552
512,980912
513,2011744
514,1902368
515,2335296
516,875376
517,2124992
518,1770880
519,1936720
520,1882192
521,1942368
522,2003632
523,2035376
524,2515552
525,2640352
526,1549568
527,356032
528,2797712
529,2742944
530,1777888
531,2464528
532,2686032
533,1773344
534,1900336
535,2088672
536,1799968
537,2219440
538,2819920
539,1854800
540,1834192
541,2135376
542,2048000
543,1563520
544,2205808
545,296032
546,2042448
547,309808
548,1516576
549,1965872
550,1867984
551,2069024
552,2925664
553,2205920
554,2467328
555,2774432
556,2359744
557,2387712
558,2845024
559,4504384
560,1855120
561,1874816
562,1185520
563,2130992
564,1822016
565,2105360
566,1870096
567,2051760
568,989584
569,431984
570,1850192
571,1380512
572,1826128
573,386064
574,2205408
575,2648224
576,1710704
577,1983216
578,1736640
579,1726432
580,1683312
581,1949680
582,1897024
583,1752672
584,1914688
585,314112
586,2695200
587,2609840
588,2181056
589,2566880
590,2312464
591,1996048
592,1765488
593,1943728
594,1974224
595,2102560
596,1802880
597,1741008
598,3091264
599,1824064
600,3162864
601,1926512
602,1947344
603,2223792
604,2578352
605,2252032
606,1971648
607,2016912
608,1968288
609,1587056
610,1995184
611,1717040
612,380544
613,2648720
614,2076752
615,1970528
616,2122976
617,998016
618,1896512
619,1971552
620,1997280
621,1860992
622,3424144
623,1812912
624,1707856
625,1833408
626,1873344
627,1961152
628,1904080
629,2103712
630,399440
631,2508496
632,2392224
633,419360
634,1871344
635,1242928
636,2012784
637,2208736
638,1905184
639,1077216
640,331744
641,2023184
642,2524016
643,1992752
644,2047744
645,1744896
646,2198288
647,1998544
648,409504
649,2380096
650,2329936
651,1659136
652,2061920
653,2236944
654,1901536
655,1094112
656,2076016
657,2086624
658,421824
659,1673744
660,2205008
661,1493072
662,415568
663,1951184
664,2749232
665,1806704
666,2041392
667,1526960
668,283856
669,1430432
670,1489056
671,1472912
672,1426496
673,1758784
674,4807936
675,1925312
676,1894208
677,1790288
678,377888
679,1985792
680,296576
681,1029552
682,2109408
683,1748256
684,1978816
685,338080
686,2599440
687,1123488
688,2058176
689,1918016
690,2588576
691,2162064
692,1648752
693,1765040
694,335392
695,1674512
696,2048864
697,2233792
698,2624032
699,2088288
700,1808144
701,2061904
702,1616288
703,1793040
704,1735680
705,1565376
706,2357664
707,1900160
708,335824
709,1481552
710,1984160
711,4032464
712,1553408
713,2113568
714,2469776
715,2400864
716,1958576
717,3393744
718,2227456
719,2023104
720,1816144
721,349232
722,2000560
723,2383024
724,1799184
725,1921200
726,340720
727,2030480
728,2096144
729,2482944
730,366784
731,1891552
732,1991904
733,1650352
734,2281472
735,1006720
736,1861904
737,1755920
738,1744944
739,3406576
740,2645536
741,416544
742,1911968
743,2329744
744,2528416
745,2061792
746,1600704
747,2008304
748,1656128
749,2151920
750,2769520
751,2869632
752,2050512
753,1891552
754,2331104
755,1835536
756,1945984
757,1796544
758,1968992
759,2105568
760,2953472
761,1986928
762,2085408
763,2287488
764,1810336
765,1998336
766,3621984
767,2235408
768,2270432
769,1096496
770,2088480
771,316016
772,1242112
773,2371280
774,2880672
775,2190704
776,2060272
777,2980768
778,1985936
779,388848
780,2300880
781,2334992
782,1721952
783,1861296
784,2671408
785,2047296
786,3148080
787,2119648
788,2088336
789,2192192
790,1328560
791,2066688
792,1710256
793,2092432
794,2556704
795,2353840
796,2111744
797,1532752
