HICOM_PING_START run=19
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 184
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
WARNING: timeout at seq 1175
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   1841.403    Std dev: 690.118
Min:     258.576    Max:     7689.424
P50:    1896.304    P95:     2813.808
P99:    3651.744    P99.9:   7295.456
Throughput: 543 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3212032
2,2661360
3,3455088
4,1829568
5,3050080
6,2179440
7,2309104
8,2040944
9,1229312
10,2284768
11,2513184
12,2632448
13,2669712
14,2018928
15,2007808
16,2255824
17,330448
18,2076288
19,3065152
20,1522352
21,2009840
22,1648160
23,2250432
24,1816560
25,2022576
26,1914688
27,2069200
28,2450480
29,2251904
30,2115056
31,1702576
32,2340896
33,2042176
34,2095712
35,2040368
36,1653536
37,2031792
38,1592864
39,2027008
40,1495968
41,1624112
42,2425600
43,1832384
44,1948272
45,2038480
46,1838336
47,396576
48,2663376
49,1978752
50,3058000
51,2386448
52,1875472
53,470976
54,3605104
55,1624016
56,1898272
57,1695568
58,1929840
59,1684000
60,2096672
61,1975648
62,1819744
63,2439424
64,2438864
65,1840560
66,3230336
67,2866848
68,2001936
69,2602528
70,2222624
71,1816576
72,416912
73,1918544
74,1870608
75,1690352
76,2044368
77,1615696
78,2225440
79,2616064
80,2286512
81,1726416
82,2012816
83,1670384
84,1857072
85,1936384
86,1790912
87,2017568
88,1971536
89,2178336
90,974688
91,2057744
92,1660784
93,1895280
94,1874272
95,2121856
96,1778816
97,1705776
98,1683472
99,1631632
100,344960
101,2511360
102,1794736
103,1605040
104,959792
105,2327120
106,2015040
107,333520
108,2370112
109,2415040
110,1791776
111,3316384
112,1558032
113,1900192
114,1622128
115,2147456
116,1974528
117,371712
118,2713104
119,1739184
