HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 169
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
WARNING: timeout at seq 901
WARNING: timeout at seq 984
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
WARNING: timeout at seq 1105
Progress: 1200/2000 (lost: 4)
Progress: 1300/2000 (lost: 4)
Progress: 1400/2000 (lost: 4)
Progress: 1500/2000 (lost: 4)
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   1853.998    Std dev: 700.922
Min:     261.744    Max:     9994.416
P50:    1920.464    P95:     2766.592
P99:    3565.808    P99.9:   8250.832
Throughput: 539 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2484896
2,2287888
3,1414560
4,1956000
5,1813232
6,2334736
7,888416
8,1964544
9,1763232
10,2219424
11,3590736
12,2509248
13,3303184
14,2080384
15,1698096
16,2278752
17,1270160
18,2543136
19,2431392
20,4392352
21,2065376
22,2149344
23,2102496
24,2228528
25,2394256
26,2340432
27,2223984
28,352256
29,1099328
30,2229168
31,1031024
32,2464224
33,2796208
34,2376720
35,1776176
36,2052192
37,1856256
38,1862048
39,1841248
40,1618464
41,2177952
42,1006112
43,2205808
44,2984832
45,2529264
46,2177200
47,389184
48,1862144
49,1744944
50,2201936
51,1728688
52,2286672
53,2490800
54,4116992
55,2493232
56,2490384
57,2606768
58,3693120
59,1994752
60,1919472
61,445024
62,2310176
63,2593776
64,2236400
65,2311184
66,1816464
67,1983824
68,362192
69,1460432
70,2373232
71,1351376
72,2105696
73,2727872
74,2200544
75,1981968
76,1992704
77,2047648
78,1288000
79,1922016
80,1806848
81,669200
82,2355760
83,1686336
84,2461104
85,2256624
86,1027776
87,2066800
88,1789552
89,1782464
90,423136
91,945760
92,1542960
93,433776
94,2421664
95,1531664
96,2321120
97,2291456
98,2050608
99,315168
100,2911104
101,1817952
102,1811312
103,1911440
104,2181424
105,2089584
106,2350192
107,1797376
108,1985504
