HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 362
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
WARNING: timeout at seq 1350
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   1874.767    Std dev: 763.978
Min:     261.424    Max:     9789.760
P50:    1952.512    P95:     2845.536
P99:    3646.928    P99.9:   9640.192
Throughput: 533 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,428032
2,1872080
3,1837248
4,631936
5,3099712
6,1886784
7,1425392
8,1891136
9,2103872
10,358208
11,1726576
12,3388160
13,1401232
14,2010784
15,1794704
16,384224
17,2860432
18,2284752
19,2200848
20,2970960
21,2424800
22,3204928
23,5504896
24,2410608
25,2599648
26,2459936
27,2050672
28,3420752
29,375152
30,1128064
31,2104832
32,3320064
33,2009664
34,2096960
35,1581904
36,1987840
37,2049264
38,2022960
39,1058896
40,2397040
41,2393456
42,585344
43,1895712
44,395984
45,2141376
46,2192176
47,1907264
48,3702208
49,2390624
50,1085472
51,356304
52,3112784
53,2248352
54,2817040
55,2102288
56,2202976
57,3062896
58,615392
59,1191856
60,2239424
61,1216384
62,2542336
63,968352
64,2235072
65,1848272
66,1968496
67,1522448
68,2119600
69,1059840
70,2311584
71,1687280
72,2303424
73,2997760
74,1710016
75,2247648
76,1781856
77,2428528
78,2229472
79,1657808
80,2018624
81,446528
82,921200
83,2258320
84,1691136
85,2204096
86,2625904
87,2136240
88,2037392
89,1960896
90,1990352
91,2160928
92,2201424
93,2076672
94,1743968
95,1817024
96,1684240
97,2022992
98,1659680
99,380848
100,2091920
101,2630800
102,1989760
103,2075936
104,1819216
105,2254784
106,1096096
107,1885456
108,517696
109,1116720
110,1782096
111,339248
112,2247840
113,2855488
114,2151120
115,1664704
116,2000928
117,2044096
118,1783952
119,979792
120,1649328
121,2966720
122,1812704
123,1761120
124,414080
125,1888640
126,768176
127,2384736
128,2077504
129,1844080
130,1953840
131,1815024
132,2135840
133,2821120
134,1943760
135,1936320
136,2170544
137,2200288
138,1124144
139,1829056
140,3169840
141,2484960
142,2279328
143,1177536
144,2107584
145,1760448
146,1937296
147,298528
148,1179008
149,2034912
150,1690784
151,2262160
152,1028128
153,1848096
154,1721808
155,2143728
156,1968688
157,1978176
158,2566912
159,2435120
160,1722768
161,2132144
162,393808
163,2941856
164,2129600
165,2061360
166,415216
167,2353888
168,2152880
169,1925248
170,420288
171,1670112
172,2477552
173,2584576
174,1671184
175,1750944
176,2137328
177,1861216
178,2105616
179,1528400
180,2093152
181,2166144
182,579456
183,2023360
184,2004512
185,320400
186,1078144
187,1573104
188,340592
189,1871776
190,2237856
191,1009600
192,1833968
193,1606992
194,1807120
195,2848080
196,1890144
197,2563600
198,361200
199,1848720
200,418576
201,1885312
202,1654000
203,2045312
204,326960
205,2503120
206,3059616
207,1660032
208,1609184
209,1972256
210,1729584
211,2103520
212,1713456
213,1804048
214,439344
215,1990976
216,349456
217,1845552
218,1926368
219,2680896
220,382400
221,1980464
222,2191312
223,1200704
224,1979024
225,1900256
226,1851840
227,1768560
228,2012400
229,1546544
230,2469824
231,2413248
232,2356640
233,1638000
234,2682368
235,1990224
236,3418016
237,1820752
238,353168
239,1509376
240,1288752
241,2139888
242,2664416
243,2790304
244,2183600
245,389280
246,2163552
247,1849952
248,2088816
249,1673968
250,351184
251,2768288
252,2172304
253,1901632
254,1898608
255,1716864
256,1883120
257,2096560
258,446896
259,1537920
260,1970176
261,323424
262,1607424
263,1851792
264,1977872
265,2271168
266,2539904
267,2418896
268,2049184
269,1369696
270,1906352
271,329232
272,1120736
273,2180016
274,2409376
275,578544
276,1829792
277,2019888
278,334288
279,1095456
280,1780192
281,1644720
282,2234592
283,1769072
284,2017424
285,3577184
286,470160
287,2479600
288,2493936
289,443328
290,1854368
291,2078080
292,3267328
293,2388304
294,1882432
295,333936
296,2528720
297,550176
298,1846640
299,2236160
300,2657088
301,1903200
302,1833264
303,2226256
304,1030240
305,2167600
306,3898192
307,2076592
308,2058640
309,1365680
310,1591856
311,1378080
312,1415808
313,1499136
314,261424
315,1399024
316,301504
317,3497408
318,1483152
319,1428832
320,1495072
321,1364048
322,1451056
323,3428096
324,2014864
325,1648736
326,349504
327,1589712
328,2741696
329,522800
330,1900528
331,382144
332,1962304
333,915488
334,1650816
335,383168
336,1643280
337,327936
338,1936880
339,2026624
340,1620464
341,2099520
342,1639904
343,1904000
344,393360
345,1769888
346,350832
347,2255920
348,1795248
349,347904
350,1625792
351,374000
352,2701840
353,7011904
354,1033936
355,2144512
356,1539696
357,2246032
358,990864
359,1998160
360,1958000
361,1961376
362,3952832
363,1694224
364,2059504
365,1629744
366,2282000
367,1812176
368,1761328
369,1811776
370,425648
371,1877072
372,1807712
373,1824208
374,1833616
375,1778480
376,1965712
377,333120
378,2504160
379,406096
380,1847856
381,1931024
382,1629984
383,1630784
384,3478544
385,1999072
386,1805760
387,417536
388,1845840
389,1952672
390,1704240
391,1993648
392,1835712
393,1630560
394,1912480
395,2018976
396,2240080
397,1708160
398,1063600
399,2292176
400,3122336
401,1808416
402,1803200
403,2042928
404,1752064
405,2234624
406,991584
407,1835712
408,1780576
409,2200240
410,1495920
411,2059680
412,2212464
413,1954400
414,2172560
415,1778640
416,1805680
417,1868480
418,2081408
419,1764992
420,2201936
421,2598912
422,2479360
423,1686848
424,290752
425,997376
426,1784400
427,465936
428,1663040
429,1960176
430,1738432
431,2005168
432,2194784
433,1769696
434,2333280
435,2546480
436,2079840
437,2035408
438,1848304
439,2484720
440,1742000
441,1965312
442,1947920
443,1810528
444,1682112
445,1900640
446,1824864
447,2441488
448,2752624
449,316560
450,2055456
451,1824544
452,2627952
453,2320784
454,1781808
455,1866656
456,1994880
457,1784784
458,2535648
459,1275504
460,2211392
461,2708528
462,441616
463,1808624
464,1957520
465,1908512
466,1931104
467,1734016
468,2244912
469,1317360
470,2199584
471,2580400
472,2715904
473,2080624
474,961408
475,1879104
476,1919504
477,1722480
478,313584
479,1632112
480,2064192
481,1066688
482,2185680
483,1873232
484,2112864
485,2536016
486,2352944
487,2112928
488,1814128
489,2101440
490,1746576
491,415328
492,1785152
493,2667584
494,1833504
495,1933264
496,1862432
497,2274816
498,1776208
499,2445904
500,2219536
501,2371200
502,1362256
503,2103376
504,2380272
505,2401776
506,2214928
507,1903552
508,2151328
509,2552528
510,2492000
511,2148352
512,1971296
513,1547024
514,285744
515,1487936
516,3619056
517,2097376
518,490000
519,2157040
520,361312
521,2571952
522,2063616
523,1907536
524,2013312
525,400880
526,2873712
527,2235184
528,1891296
529,1881696
530,2279200
531,1795296
532,1256720
533,2263776
534,2522736
535,2553040
536,2053472
537,1746368
538,400896
539,3749520
540,1747264
541,1057296
542,1976432
543,1991648
544,1961344
545,2299216
546,2716528
547,1989216
548,1850496
549,1952512
550,344544
551,1095168
552,2092960
553,1780672
554,2331360
555,1326992
556,2409680
557,1024768
558,2657136
559,2464224
560,2891840
561,2119888
562,1990704
563,486752
564,524768
565,1730912
566,469616
567,2319424
568,2021088
569,2312480
570,2506576
571,1866416
572,2071216
573,1967104
574,1908992
575,1821712
576,1987232
577,2788208
578,466208
579,1852992
580,1802400
581,1797760
582,2194896
583,1016080
584,1913056
585,1710592
586,2059744
587,2094560
588,2180352
589,2509760
590,1871392
591,368112
592,2822912
593,2006304
594,1828944
595,1943952
596,3971872
597,2517904
598,2642160
