HICOM_PING_START run=24
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   1814.646    Std dev: 677.765
Min:     253.312    Max:     4734.656
P50:    1864.208    P95:     2870.112
P99:    3691.472    P99.9:   4693.056
Throughput: 551 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2140240
2,3904000
3,3013440
4,2536272
5,2388464
6,2504976
7,2601920
8,2187760
9,4231088
10,1984320
11,1762016
12,2013824
13,1703376
14,1874336
15,1864656
16,2085904
17,1613600
18,2123488
19,1887616
20,2095728
21,2903408
22,273936
23,2153264
24,1861504
25,976128
26,2493584
27,2834336
28,1945712
29,2354384
30,1513392
31,1986736
32,2227296
33,2760992
34,2275280
35,317328
36,2693408
37,2404192
38,2425120
39,2384128
40,1670416
41,2149360
42,2072528
43,2065280
44,2205072
45,1812576
46,2200576
47,2019360
48,478192
49,2521200
50,2122928
51,1990240
52,1988448
53,2221760
54,2282432
55,2057312
56,390080
57,2591904
58,460736
59,1963840
60,2194864
61,2806080
62,1932288
63,1983936
64,1706192
65,1791488
66,1776688
67,2065984
68,2038624
69,2076688
70,1611648
71,2155360
72,1576064
73,1907216
74,1601264
75,2259952
76,968288
77,2291776
78,1355136
79,2158272
80,1616512
81,369072
82,2014144
83,3083680
84,1902608
85,2268448
86,1087280
87,2089968
88,1388672
89,1953392
90,2253392
91,443568
92,1641600
93,1626176
94,1429360
95,1779872
96,1810464
97,1843936
98,472000
99,2249632
100,1991984
101,1788816
102,2456016
103,2467248
104,1852752
105,1652176
106,2207248
107,1538752
108,2122320
109,2652896
110,1437200
111,383248
112,2359600
113,2793248
114,3778304
115,1701488
116,1711456
117,1807536
118,1847312
119,1660944
120,1834400
121,1972208
122,1886368
123,2260480
124,2026352
125,1606592
126,375808
127,2085648
128,2147488
129,1901536
130,2158880
131,2875712
132,1890608
133,299408
134,2203776
135,2734464
136,409024
137,1832352
138,497024
139,1746704
140,1543360
141,1361440
142,1547840
143,1494544
144,1402832
145,1631312
146,3134032
147,2370192
148,1134944
149,2076896
150,1582800
151,2010240
152,1960784
153,333536
154,2514256
155,2224016
156,1587520
157,1706032
158,1871984
159,1834176
160,387232
161,1653856
162,1846560
163,2749440
164,1774688
165,397952
166,1860000
167,1702272
168,1651712
169,447104
170,2664320
171,2140432
172,2031664
173,1709520
174,1761408
175,320384
176,1629584
177,346944
178,1620208
179,1723520
180,1740752
181,1602464
182,1618144
183,1678080
184,1763008
185,2224480
186,1961792
187,359040
188,1245856
189,1905936
190,1583360
191,1807856
192,1684416
193,1969456
194,1716960
195,1736352
196,2283792
197,1986832
198,1855616
199,1938240
200,1629952
201,2627680
202,1878992
203,1983824
204,2124848
205,376320
206,1943920
207,1702608
208,2171136
209,1616160
210,1863328
211,1746496
212,2007120
213,346752
214,2375456
215,2421856
216,1647024
217,2287744
218,1978896
219,1942544
220,1957888
221,3125200
222,2285760
223,1982496
224,1812896
225,1885520
226,1625440
227,1746448
228,1665888
229,1806128
230,313696
231,1751296
232,1940896
233,1639248
234,364256
235,2231936
236,1940496
237,2853024
238,2003456
239,934880
240,1622688
241,1804784
242,2020000
243,1923632
244,1852272
245,1809648
246,1734480
247,1876160
248,326144
249,1645952
250,1705088
251,1953744
252,1683472
253,2183680
254,1309760
255,1858368
256,347280
257,1165936
258,2065280
259,454448
260,2245280
261,2463120
262,1938288
263,1848432
264,2891904
265,1870112
266,1815504
267,1926528
268,1886064
269,1930224
270,1693024
271,2001328
272,1592992
273,1939264
274,2322576
275,1988064
276,2093504
277,2525328
278,2059760
279,2064928
280,331392
281,2781600
282,1896544
283,1891648
284,2243088
285,319360
286,2790368
287,2243328
288,415760
289,2552416
290,1839280
291,1788032
292,1486816
293,2530448
294,1993968
295,2118128
296,1926096
297,2591616
298,2360352
299,2057360
300,1962896
301,2768464
302,2326320
303,2486176
304,2757568
305,2162512
306,2614176
307,2691312
308,2014368
309,2123008
310,386496
311,2423440
312,2114304
313,1861072
314,379840
315,2671728
316,2123136
317,1760912
318,1753312
319,1646416
320,2071360
321,2004304
322,1325904
323,300816
324,1732544
325,1353760
326,1468256
327,1585232
328,1362288
329,1690912
330,4008560
331,1787952
332,2453840
333,2472400
334,1989696
335,1847360
336,1926480
337,3236528
338,1410256
339,286928
340,1455488
341,1356480
342,2292928
343,1648064
344,299024
345,2139376
346,1465712
347,2141968
348,1684256
349,2341552
350,2985088
351,374640
352,1631200
353,1674208
354,1726400
355,2182672
356,2574576
357,3948816
358,1775040
359,2250800
360,325248
361,1480112
362,1991808
363,1636624
364,1727360
365,1624464
366,2339440
367,1678608
368,1780160
369,1875296
370,1759968
371,1823248
372,1756448
373,1917344
374,2206208
375,1768640
376,2005824
377,1695104
378,1989040
379,1683088
380,2012352
381,1752112
382,318304
383,1399504
384,2078048
385,1997872
386,1688288
387,2315040
388,2816928
389,1791168
390,1757344
391,1930400
392,1669488
393,1789968
394,1739824
395,1733328
396,3419328
397,1623696
398,396000
399,1690640
400,1778896
401,540512
402,1726800
403,2215264
404,2834720
405,1790240
406,2079376
407,2995120
408,1672512
409,1949344
410,1688816
411,417936
412,1965040
413,1741408
414,1776240
415,331824
416,2335040
417,2524656
418,2091312
419,1881632
420,1637136
421,1696528
422,1839392
423,2261936
424,1796720
425,1538512
426,338848
427,1650848
428,1876912
429,1903136
430,1654320
431,1863824
432,1745184
433,1911424
434,463168
435,1256016
436,1912848
437,419344
438,2324688
439,461632
440,1678912
441,1979376
442,3259104
443,2495152
444,2065504
445,1789984
446,1891328
447,1955088
448,1815456
449,1723216
450,2075808
451,3204720
452,3326096
453,3553728
454,1789248
455,1654848
456,1937344
457,1862112
458,1485568
459,1617536
460,2360096
461,1783408
462,2114624
463,1808976
464,1929776
465,1555904
466,1883968
467,1980880
468,1746848
469,1950448
470,425680
471,1926816
472,334416
473,1696608
474,1680384
475,1717520
476,2160624
477,1933920
478,1855232
479,2512000
480,338384
481,3066336
482,1635680
483,2009248
484,2012304
485,2069472
486,1751712
487,1666864
488,2374160
489,1869696
490,2618432
491,2944592
492,2908624
493,1838000
494,2051552
495,2153632
496,1822384
497,2116288
498,2532960
499,2471344
500,323264
501,1763600
502,341536
503,1954400
504,301536
505,2352704
506,3364096
507,2636064
508,1713104
509,1765008
510,2166144
511,1546064
512,1967920
513,307296
514,1902384
515,399536
516,1637600
517,2565456
518,1916160
519,1680320
520,2372416
521,1834640
522,326784
523,1547120
524,1782416
525,3569472
526,3169344
527,2216848
528,2066384
529,3422992
530,2104032
531,294144
532,2019872
533,4072560
534,2409728
535,2241552
536,1426128
537,2061392
538,1981424
539,1646096
540,1646256
541,1887152
542,1927920
543,1703680
544,2309584
545,1741616
546,1863840
547,506096
548,954880
549,2013328
550,1827104
551,1872064
552,1841536
553,1937360
554,2047104
555,2987648
556,1898000
557,4266480
558,4693056
559,2407440
560,3824352
561,1947360
562,2212192
563,1221488
564,2264512
565,1453296
566,1776288
567,1648912
568,1902832
569,1786576
570,284160
571,1841744
572,1489984
573,2236800
574,1431120
575,2164640
576,2617328
577,2424832
578,364688
579,1866832
580,292320
581,2041104
582,2212864
583,320160
584,1855648
585,2038912
586,1701568
587,502688
588,1982336
589,2367952
590,510912
591,2167616
592,1843520
593,1878016
594,1947840
595,1513776
596,1751808
597,1878432
598,396608
599,1770304
600,2861360
601,1681424
602,1990976
603,1799296
604,363760
605,2282944
606,2197616
607,1630288
608,1984528
609,1661168
610,2095616
611,1753104
612,1792864
613,1935648
614,2072144
615,355264
616,1820384
617,1701552
618,2082880
619,1805600
620,1797712
621,1799152
622,1931792
623,266384
624,1656432
625,368224
626,2162576
627,1800176
628,2008352
629,1941168
630,2164000
631,2078160
632,1041792
633,385776
634,1680688
635,1650720
636,1987872
637,2251696
638,1921696
639,1099520
640,361920
641,1710608
642,1606592
643,1934624
644,2081296
645,2012816
646,2372080
647,321696
648,1703456
649,2005520
650,2064608
651,2061632
652,2387744
653,2769952
654,2078624
655,390736
656,361408
657,1974592
658,1648624
659,2183264
660,2123648
661,1641968
662,1021472
663,1931984
664,1815184
665,2135488
666,1803248
667,2275936
668,1246848
669,2061680
670,1734464
671,398832
672,1891632
673,1980640
674,346656
675,1976240
676,1755920
677,1694336
678,452352
679,1757904
680,1013088
681,1800080
682,2177840
683,1873200
684,1861536
685,1874336
686,1679760
687,2035728
688,1565936
689,1930112
690,1549744
691,370464
692,2088928
693,2327824
694,313840
695,1582704
696,1981344
697,2189456
698,2173440
699,346608
700,2004880
701,1604240
702,2403536
703,1108896
704,2094096
705,1626576
706,1972192
707,1667152
708,1976928
709,297552
710,925776
711,1875008
712,1773856
713,332976
714,2008624
715,2612016
716,2452864
717,1898672
718,1844944
719,354672
720,1991648
721,962272
722,2385584
723,1699072
724,3226608
725,2231904
726,2209280
727,1781328
728,2580240
729,2404064
730,2134944
731,1607328
732,2354992
733,2854960
734,2102816
735,432624
736,1920864
737,2883968
738,2149536
739,1775872
740,1478560
741,1981712
742,454080
743,958960
744,2331504
745,1505040
746,2137536
747,2796272
748,1855584
749,2100672
750,1807888
751,2011632
752,427856
753,1146176
754,2025408
755,1844032
756,2407744
757,2841936
758,314240
759,2705056
760,2166656
761,2094928
762,1892496
763,439232
764,2879664
765,391008
766,2141136
767,2444896
768,2438848
769,465600
770,2610864
771,2058720
772,1433856
773,377920
774,3727216
775,2154720
776,2240768
777,3012912
778,1861984
779,1757824
780,1719424
781,2416208
782,1641536
783,2448048
784,537040
785,1551824
786,1471184
787,1503728
788,1596992
789,1472640
790,1325104
791,1334160
792,4046400
793,2138192
794,2856240
795,2063520
796,2176992
797,2724736
798,1871152
799,1967744
800,1951392
801,1922096
802,1614448
803,1928336
804,1753840
805,2034528
806,1690992
807,2005408
808,2662816
809,396624
810,1854464
811,1851264
812,1647936
813,1933584
814,1897232
815,1802128
816,1794592
817,1682080
818,2229504
819,2030912
820,2388848
821,2541632
822,1987504
823,1655584
824,1903040
825,2095888
826,2341360
827,2369200
828,2487984
829,2045248
830,1822432
831,1951664
832,1769120
833,1926960
834,1722000
835,474528
836,3238880
837,2078624
838,2489744
839,2526112
840,405664
841,2948944
842,1758368
843,328400
844,2722624
845,2638224
846,342448
847,1937248
848,2198992
849,1963280
850,2440304
851,2588160
852,1838992
853,2084992
854,1648144
855,1938528
856,2193792
857,2259504
858,1308848
859,2029488
860,2361712
861,1947008
862,2100704
863,1509168
864,304080
865,2719648
866,2794448
867,2403840
