HICOM_PING_START run=26
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 164
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
WARNING: timeout at seq 988
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   1895.431    Std dev: 728.040
Min:     271.392    Max:     9404.704
P50:    1958.816    P95:     2956.320
P99:    3744.288    P99.9:   7642.768
Throughput: 528 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1849632
2,2135296
3,3506640
4,584736
5,356992
6,2341472
7,992528
8,2124560
9,1810064
10,5890432
11,3323552
12,4533584
13,529648
14,3554192
15,4111840
16,3717456
17,2136768
18,1771632
19,3778176
20,2824448
21,1893728
22,314480
23,1936176
24,2496848
25,2938256
26,4082352
27,2665552
28,2171760
29,2528640
30,319872
31,1872544
32,1960816
33,2170192
34,1999408
35,1796672
36,2101648
37,1977216
38,2457072
39,2082784
40,2102176
41,2546960
42,2196816
43,1751184
44,2123408
45,2198288
46,1812000
47,2913312
48,2200384
49,2606192
50,2909792
51,2141664
52,1842576
53,1932176
54,349216
55,1651376
56,2319040
57,355952
58,1794944
59,2107312
60,2265008
61,1812560
62,2365072
63,988848
64,2100688
65,1871744
66,2282864
67,2349504
68,650592
69,2103392
70,2017856
71,1759808
72,2362128
73,3653424
74,2502064
75,3632800
76,1736304
77,1652976
78,1839136
79,1535152
80,1809360
81,2073440
82,1781920
83,2235760
84,1900208
85,2244496
86,2521280
87,455888
88,2052736
89,1862064
90,2768208
91,2407488
92,1769984
93,1793344
94,1941152
95,2984704
96,476576
97,1909856
98,326192
99,1776384
100,1984128
101,1926912
102,1975312
103,1963680
104,1768352
105,1826416
106,2267888
107,1838480
108,2621424
109,2464256
110,1876960
111,1867008
112,2300976
113,1115136
114,2006608
115,1782368
116,2076960
117,337648
118,2025888
119,2246288
120,1965040
121,1348768
122,2130400
123,1680624
124,1955584
125,1784992
126,1843760
127,1696240
128,1921136
129,1777312
130,1733440
131,1973344
132,1895760
133,1621696
134,2197328
135,3030720
136,1981008
137,440608
138,1814432
139,1064528
140,1722688
141,396640
142,1900080
143,3310944
144,2122864
145,1668336
146,1977872
147,1756160
148,2411728
149,2947872
150,1934848
151,4041648
152,2174064
153,3148800
154,1957552
155,1835904
156,1778720
157,2133760
158,1238496
159,3915056
160,3721168
161,2072240
162,391696
163,1265856
164,2146704
165,1658832
166,343568
167,1451568
168,1473776
169,1751632
170,3265648
171,1931968
172,2402464
173,2535152
174,1936464
175,1679008
176,1966448
177,2057488
178,1959744
179,434672
180,2154592
181,458480
182,1160592
183,2599344
184,2083104
185,2187568
186,1947760
187,1883184
188,2031824
189,1005056
190,2460144
191,3116848
192,1874848
193,1835872
194,2117568
195,2103344
196,1795888
197,2139648
198,1190864
199,1909056
200,358928
201,1049616
202,2136384
203,1706704
204,1907168
205,500688
206,2874720
207,1851152
208,2362960
209,1512336
210,2199936
211,1374880
212,2151920
213,1753680
214,341232
215,2611216
216,2028816
217,1995056
218,2182432
219,1102832
220,1922384
221,416688
222,1151696
223,2003568
224,1744816
225,2070736
226,4014272
227,1930224
228,1733456
229,2048688
230,1651488
231,2032320
232,1749120
233,457216
234,1858720
235,1083648
236,2292080
237,3162992
238,2043408
239,2149424
240,1058336
241,2183456
242,1634016
243,2231392
244,1122672
245,2278912
246,1729616
247,1839168
248,1545184
249,2396752
250,974960
251,1981936
252,346944
253,2662096
254,2859488
255,2001264
256,2861648
257,338848
258,1606384
259,430576
260,2842736
261,2218864
262,3199408
263,1944560
264,1636464
265,447568
266,1875696
267,2096384
268,2513664
269,1912096
270,2013664
271,1696368
272,2039888
273,2173968
274,1856544
275,3515264
