HICOM_PING_START run=29
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
WARNING: timeout at seq 1058
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   1915.846    Std dev: 750.889
Min:     261.696    Max:     8978.240
P50:    1965.008    P95:     3077.600
P99:    3875.600    P99.9:   6832.272
Throughput: 522 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2213552
2,2574704
3,2536784
4,3347296
5,3588240
6,2079392
7,2352656
8,1206704
9,1937488
10,1135888
11,2505888
12,3137232
13,2487872
14,2117744
15,2612192
16,1357008
17,2568768
18,2585184
19,1311760
20,2355552
21,1252592
22,2434640
23,3911952
24,2520464
25,471808
26,2168448
27,4052048
28,740528
29,2475696
30,2475808
31,3508848
32,2776016
33,474400
34,1758800
35,762736
36,3476000
37,643104
38,1983952
39,3909472
40,2411888
41,3262544
42,3542816
43,2149024
44,530704
45,2804400
46,3456272
47,2574544
48,2229264
49,2311968
50,3250352
51,2169936
52,1242656
53,2538480
54,1318128
55,533680
56,2778368
57,2187008
58,1210624
59,2120688
60,3319584
61,2112448
62,3209056
63,2052896
64,2177536
65,738880
66,2017456
67,2492384
68,477872
69,3426960
70,2716960
71,2211104
72,2763120
73,2033440
74,2022480
75,2136208
76,2214688
77,2087632
78,2059888
79,1877392
80,2827536
81,454048
82,1774624
83,1931920
84,1828032
85,2013552
86,1149104
87,2163792
88,1235008
89,2382976
90,1463680
91,504336
92,3026528
93,531136
94,2976032
95,3331824
96,2272320
97,3119120
98,2222352
99,2117664
100,1184976
101,2143568
102,2942912
103,2232944
104,2339824
105,3192976
106,2088512
107,2224784
108,2168480
109,2652512
110,516688
111,2849264
112,2874992
113,2119424
114,2921584
115,2162096
116,2479520
117,1313328
118,459392
119,2979472
120,450656
121,2851328
122,381008
123,2091632
124,2420480
125,2728304
126,438832
127,2103104
128,638032
129,2793888
130,552096
131,2466160
132,2152768
133,1265408
134,2329536
135,1104736
136,2458992
137,2860544
138,2113552
139,418784
140,3041648
141,2141024
142,1291488
143,2274944
144,3015536
145,2187056
146,448064
147,2585792
148,2374496
149,3122464
150,2044768
151,1977744
152,2433440
153,3403984
154,3533808
155,2301104
156,2638160
157,3479840
158,2571408
159,2215248
160,2766448
161,3276320
162,2081648
163,2822160
164,2239504
165,2152640
166,2113952
167,454944
168,1888640
169,1301456
170,2111712
171,1323088
172,1895872
173,2917328
174,2142208
175,2084480
176,367568
177,2305792
178,2013184
179,2243664
180,2242416
181,481872
182,509440
183,2245600
184,2250688
185,2097488
186,613552
187,3989904
188,2297936
189,2553216
190,1283600
191,2130400
192,2742224
193,1897568
194,2271088
195,488880
196,2969616
197,2123776
198,2034640
199,1337840
200,2497520
201,1395680
202,2356624
203,1345408
204,2351184
205,2469456
206,3203952
207,1916928
208,494880
209,1882560
210,2026416
211,2068768
212,2292544
213,3130976
214,415600
215,1256528
216,2242080
217,1095664
218,2193296
219,2773024
220,2652560
221,2302176
222,1958384
223,2203296
224,2009872
225,2821312
226,469152
227,2928080
228,2526432
229,558688
230,2830000
231,2326800
232,1306560
233,3413456
234,2095792
235,2972032
236,2526960
237,3196944
238,2096816
239,1980704
240,528256
241,2905424
242,2417904
243,3111488
244,2047456
245,550192
246,2401456
247,2192496
248,1827520
249,421264
250,2022336
251,2015264
252,353984
253,2027152
254,2204320
255,3317632
256,1998704
257,2189392
258,2221584
259,2199648
260,2198256
261,1928656
262,1159056
263,2363984
264,1350304
265,2116400
266,1303360
267,2081968
268,2710736
269,439504
270,1921744
271,2234416
272,2521040
273,2918272
274,412080
275,1906784
276,2108416
277,3073632
278,1909344
279,2324192
280,3441456
281,2285568
282,2177696
283,2139104
284,2909840
285,2303296
286,2180848
287,1701568
288,1727776
289,1903232
290,508944
291,1847744
292,2324016
293,2039056
294,2083296
295,2055392
296,2245264
297,2053456
298,1206000
299,2467712
300,1174496
301,1859168
302,364000
303,2365040
304,2694304
305,2143360
306,2745776
