HICOM_PING_START run=8
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 352
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
WARNING: timeout at seq 837
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
WARNING: timeout at seq 1400
Progress: 1500/2000 (lost: 3)
WARNING: timeout at seq 1510
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2100.640    Std dev: 960.136
Min:     283.328    Max:     9405.936
P50:    2041.520    P95:     3576.208
P99:    5194.816    P99.9:   7975.056
Throughput: 476 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2660240
2,4321056
3,2652752
4,4474080
5,738848
6,672928
7,2334512
8,2830528
9,3313968
10,610592
11,2634752
12,2256608
13,2632112
14,3505632
15,5864416
16,3486800
17,2068896
18,6575248
19,2452752
20,1864464
21,5192976
22,2384272
23,737664
24,3020592
25,2081472
26,1404720
27,2406144
28,2111632
29,3282944
30,2370656
31,784576
32,2807328
33,768096
34,2964448
35,3410976
36,2823312
37,2413056
38,5194816
39,4770224
40,3536800
41,3164512
42,2219904
43,5911584
44,586768
45,2245136
46,3440928
47,2304688
48,1426352
49,3500720
50,2342704
51,1383600
52,2298512
53,2411664
54,3185200
55,2029680
56,2277136
57,1661584
58,1994464
59,3061808
60,2085952
61,1423536
62,348048
63,1611776
64,433328
65,1924560
66,2847152
67,2052624
68,2316976
69,1337408
70,2070336
71,1151328
72,1834960
73,2083264
74,2248256
75,1944032
76,286112
77,2977504
78,2815936
79,2086880
80,2031136
81,2938128
82,2352768
83,1865536
84,1971888
85,2060080
86,1647680
87,1859776
88,2040336
89,361040
90,2100688
91,2423472
92,1975792
93,2292192
94,2929376
95,2295312
96,1786496
97,1721264
98,1896816
99,2070096
100,2264064
101,1763040
102,3292608
103,2461792
104,1130352
105,1745728
106,368288
107,2723296
108,1972768
109,2279104
110,1855168
111,1783872
112,1871184
113,2824112
114,1053072
115,3660912
116,288016
117,5034880
118,4193792
119,4797664
120,723904
121,3937792
122,393584
123,3313168
124,3797840
125,1796064
126,368048
127,2260832
128,2375808
129,3278992
130,2950560
131,2418368
132,2161728
133,1265472
134,2320096
135,2270352
136,2810736
137,2483280
138,1711664
139,386048
140,1595168
141,2307392
142,3455104
143,1961728
144,1723616
145,2303744
146,1774496
147,3084368
148,3620912
149,2230720
150,3069872
151,2141120
152,620400
153,2303728
154,2388208
155,3287792
156,2018864
157,2272832
158,3027568
159,1954192
160,1787856
161,1659152
162,2230416
163,408080
164,2658176
165,1909072
166,2047824
167,1934368
168,1989600
169,2936880
170,2676272
171,1806544
172,2722752
173,1995088
174,2030896
175,1923776
176,2091696
177,481904
178,2462512
179,2626144
180,1820416
181,442336
182,3510240
183,2561136
184,3305200
185,3010144
186,1934480
187,1998144
188,1974784
189,349296
190,2052592
191,1851216
192,2125728
193,412752
194,430464
195,2008000
196,1487312
197,1971216
198,2207568
199,1745696
200,1105264
201,1833936
202,2882336
203,2002912
204,1944864
205,2053936
206,1885328
207,1679120
208,1821568
209,1878768
210,2136032
211,3160032
212,1963104
213,2037168
214,1761696
215,2015104
216,1618256
217,2092288
218,2583824
219,2729232
220,2044464
221,1237040
222,3591792
223,2041104
224,2208800
225,1951936
226,3220832
227,380032
228,2875792
229,1920480
230,1827408
231,1881408
232,2185392
233,1648576
234,1995200
235,1982224
236,1769392
237,1108208
238,1941472
239,2345808
240,2071136
241,2091696
242,1851216
243,2149120
244,1865792
245,2150304
246,1055824
247,1933104
248,1914000
249,1924096
250,1687792
251,1867552
252,1590672
253,464080
254,1872000
255,2220304
256,2025504
257,1987168
258,1405312
259,1832544
260,1965296
261,1913360
262,2043728
263,375568
264,2655680
265,2181088
266,1697968
267,1835392
268,1195136
269,2129920
270,1879072
271,2343536
272,2087872
273,1930272
274,2093488
275,1948944
276,2015968
277,1147936
278,2063952
279,3034864
280,1776704
281,425984
282,1629888
283,368704
284,1022592
285,2016272
286,2711232
287,2686512
288,1996592
289,1958000
290,2028672
291,1694176
292,1997088
293,471232
294,2076176
295,1959072
296,2091328
297,2956848
298,2042624
299,2138640
300,1861392
301,2005088
302,1184064
303,1866848
304,1965104
305,398352
306,1745520
307,2939840
308,1964304
309,1818096
310,364128
311,2623968
312,1987824
313,4014688
314,2109168
315,2058640
316,1943904
317,2964240
318,1905248
319,1728704
320,1801584
321,2001424
322,419136
323,1030736
324,2197280
325,3001904
326,2048720
327,324560
328,1790096
329,3383520
330,1844496
331,480000
332,1963776
333,2263104
334,2519424
335,330400
336,2481872
337,2122576
338,2907488
339,1877760
340,1930704
341,1974400
342,1998928
343,2107952
344,1863984
345,1173088
346,2201072
347,1750928
348,2120592
349,1730864
350,1333536
351,284400
352,3933600
353,7859408
354,2704768
355,1831968
356,2665424
357,4145392
358,707536
359,1509952
360,2153984
361,1132272
362,1991904
363,2111344
364,1987520
365,2176672
366,1872976
367,592368
368,1694208
369,1421792
370,1903184
371,1199088
372,2011648
373,3298528
374,1888944
375,1846944
376,1889152
377,2007152
378,3016816
379,440320
380,1907504
381,438144
382,2285824
383,1972496
384,2073648
385,1944848
386,565808
387,457072
388,1658400
389,412784
390,1730496
391,1985776
392,1632848
393,2000624
394,1802896
395,2089648
396,1691264
397,423952
398,1021504
399,2207984
400,2660016
401,2364288
402,2207728
403,2552656
404,2555680
405,1909440
406,1869680
407,1799712
408,2474032
409,1807472
410,2743808
411,1979856
412,2019568
413,2767136
414,3042304
415,581808
416,3521968
417,2651808
418,2041216
419,2183504
420,2040288
421,2918400
422,293824
423,1876224
424,382224
425,2932432
426,2057472
427,1327424
428,1970816
429,1396560
430,2041744
431,2467648
432,369136
433,2083472
434,1900416
435,1932592
436,320528
437,1786912
438,2702976
439,1982320
440,2032960
441,2054704
442,1972352
443,2786320
444,380560
445,2450784
446,1736464
447,1175888
448,2193248
449,2842608
450,1888000
451,1776592
452,1922864
453,1783008
454,1899168
455,1650272
456,1889040
457,3734752
458,1901504
459,420752
460,1403120
461,1882928
462,405936
463,2046208
464,3114432
465,2169616
466,2217568
467,2725104
468,1664656
469,285584
470,1727840
471,3629184
472,2944160
473,2299952
474,2728608
475,3809728
476,2115568
477,1850240
478,1899712
479,572672
480,1974432
481,2993952
482,2035632
483,2121344
484,1133616
485,1653072
486,2150496
487,2168464
488,2496752
489,2640288
490,2174432
491,1832688
492,2172928
493,2009760
494,2285280
495,3240560
496,2110816
497,2501776
498,1778224
499,1346672
500,2247312
501,3118368
502,456576
503,2816272
504,2160384
505,2165600
506,2991904
507,3765312
508,1884736
509,2040272
510,1853456
511,1996320
512,3027040
513,1494528
514,1490144
515,1417328
516,312048
517,1771776
518,1402224
519,1418976
520,4213248
521,1953312
522,3137680
523,3425008
524,372080
