HICOM_PING_START run=14
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 309
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   1912.830    Std dev: 843.462
Min:     262.592    Max:     8448.528
P50:    1875.168    P95:     3385.584
P99:    4687.632    P99.9:   8205.280
Throughput: 523 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2344112
2,4942432
3,1725664
4,1787632
5,1875168
6,447712
7,1920816
8,2895088
9,1939680
10,1792736
11,1661648
12,1833968
13,2346320
14,1762080
15,3781440
16,4005024
17,2299152
18,1376480
19,4751376
20,2276848
21,1966976
22,3490368
23,3577856
24,3433008
25,1431536
26,1147184
27,2004688
28,1991168
29,2123536
30,1035280
31,2132304
32,1687120
33,2344496
34,1055296
35,1968400
36,1955440
37,1566256
38,1842048
39,1646112
40,404960
41,2181296
42,3401488
43,1685504
44,2165952
45,1681472
46,2846944
47,2971040
48,1849024
49,1965664
50,1841232
51,1701088
52,3147856
53,437552
54,1856384
55,1769616
56,1668592
57,1807872
58,2271712
59,1982720
60,1873808
61,1922016
62,963856
63,1816560
64,321360
65,1697792
66,2412832
67,3212896
68,1563600
69,2036992
70,1553824
71,1869792
72,1658080
73,2243216
74,1824560
75,1827696
76,1645808
77,299504
78,1667728
79,584768
80,2159376
81,1701072
82,4041824
83,1801120
84,1604464
85,1430336
86,2081424
87,1850320
88,1620560
89,1553360
90,383568
91,1764112
92,497920
93,5344912
94,1871520
95,1912816
96,3028464
97,1679184
98,1838752
99,320208
100,1808336
101,2787936
102,1652432
103,1872384
