HICOM_PING_START run=18
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 5
Progress: 100/2000 (lost: 1)
WARNING: timeout at seq 141
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2030.890    Std dev: 791.405
Min:     292.496    Max:     8830.592
P50:    2030.176    P95:     3195.024
P99:    3897.328    P99.9:   7937.152
Throughput: 492 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,8830592
2,2776032
3,2863008
4,7937152
5,1486960
6,5855488
7,3453904
8,4360640
9,3576192
10,3336240
11,2583120
12,2581312
13,4418160
14,3362320
15,3611824
16,3583808
17,664064
18,3934656
19,3897328
20,2466768
21,582736
22,2641296
23,3326656
24,2261840
25,2052528
26,2248640
27,2087616
28,2379552
29,2856448
30,373984
31,2309840
32,2018240
33,2401344
34,1293968
35,2417840
36,485760
37,2034320
38,1505744
39,2276704
40,2404080
41,1284704
42,572896
43,3998352
44,3078656
45,1939504
46,2116192
47,2383120
48,3634944
49,514032
50,3168560
51,3107360
52,2098448
53,1242688
54,2441536
55,2994832
56,525376
57,1454720
58,2124064
59,3440096
60,1982624
61,4634128
62,4775296
63,1892976
64,545696
65,2206848
66,488624
67,1659856
68,2624464
69,3174352
70,1963632
71,3075424
72,1789520
73,2253952
74,1549168
75,2211856
76,4129824
77,2193200
78,2019632
79,2067088
80,376512
81,4952176
82,2887696
83,1769728
84,1945568
85,1854640
86,380112
87,2571424
88,2051072
89,2080256
90,2174272
91,3008368
92,2160464
93,2393328
94,1669440
95,1334368
96,2241488
97,2863648
98,1935552
99,2080368
100,3599600
101,1746368
102,2205408
103,2806368
104,3830544
105,2359536
106,1921344
107,355568
108,3186176
109,372304
110,1212784
111,2131152
112,1090816
113,2205152
114,1821600
115,1400640
116,1858128
117,2184000
118,3264128
119,2020608
120,2144176
121,1420224
122,1842144
123,1801232
124,2033712
125,1373168
126,2125824
127,2838576
128,384896
129,2628368
130,2739424
131,1469696
132,1854976
133,2300464
134,3770176
135,2220176
136,1950688
137,2209648
138,1848336
139,3702944
140,1750608
141,5421392
142,575856
143,3195232
144,3416176
145,3414688
146,4983616
147,3411776
148,2845776
149,4207072
150,3710672
151,3784672
152,3623056
153,2906800
154,1953248
155,2146064
156,1826880
157,3356896
158,1882064
159,2346432
160,4013056
161,2903456
162,312752
163,1628496
164,1863632
165,2787328
166,2320640
167,2089472
168,2125664
169,1880352
170,3058720
171,462144
172,3098320
173,2173808
174,2265776
175,3827680
176,2864512
177,2236784
178,2165680
179,1173248
180,1809072
181,1877888
182,1839216
183,2082816
184,1927632
185,1474416
186,2059520
187,3959024
188,3083520
189,518896
190,3489328
191,3315968
192,2526464
193,3058864
194,2324656
195,1518624
196,2175616
197,1271568
198,2202176
199,3088448
200,2335296
201,463456
202,592304
203,3271520
204,1995600
205,1349616
206,1964320
207,2777264
208,2165344
209,2438336
210,1245072
211,1985152
212,2965216
213,2717184
214,2073280
215,2668096
216,1355488
217,1926192
218,3013840
219,1890912
220,2547552
221,1348320
222,1993968
223,2516832
224,2870752
225,2065264
226,712496
227,1956896
228,731072
229,2063344
230,2199824
231,2807744
232,406624
233,2016688
234,2334048
235,2329088
236,2007104
237,1891312
238,1514288
239,1938672
240,1089984
241,2011088
242,1962320
243,2182096
244,1209872
245,2584352
246,2298592
247,2651552
248,530640
249,2054304
250,1963296
251,2007184
252,495872
253,2706864
254,1926416
255,1286480
256,2353792
257,1965280
258,394720
259,3107408
260,400128
261,1863040
262,1981424
263,1380688
264,2267760
265,2008048
266,375888
267,2856144
268,2636000
269,2036800
270,3400864
271,1247104
272,2073440
273,3325552
274,1955120
275,2281120
276,1241360
277,2180192
278,1185440
279,2249200
280,1381920
281,2379344
282,2445408
283,2028672
284,2049520
285,551216
286,2220448
287,1244112
288,1875296
289,2918544
290,2118048
291,2162384
292,3391968
293,2273488
294,3253680
295,2124544
296,1967024
297,355952
298,2776736
299,2995984
300,523408
301,1429152
302,2250720
303,2905264
304,2137952
305,485488
306,2711088
307,444528
308,2191024
309,1963264
310,2030064
311,2208960
312,1483536
313,2166656
314,2272464
315,2495168
316,1847616
317,2411344
318,3258496
319,2390640
320,431312
321,2636048
322,2186496
323,2865296
324,1067648
325,2312736
326,2044752
327,446256
328,2752016
329,2101200
330,2567600
331,1323040
332,2170048
333,1273024
334,2010720
335,3153072
336,2563968
337,381216
338,2516832
339,2338192
340,2149024
341,2394880
342,432784
343,2332368
344,2398320
345,3138640
346,2445712
347,2244832
348,2045424
349,2282880
350,2205120
351,2733792
352,1284400
353,1884896
354,2792576
355,2536240
356,1976352
357,1318400
358,2018032
359,3153936
360,426000
