HICOM_PING_START run=25
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 120
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
WARNING: timeout at seq 955
WARNING: timeout at seq 959
Progress: 1000/2000 (lost: 3)
WARNING: timeout at seq 1072
Progress: 1100/2000 (lost: 4)
Progress: 1200/2000 (lost: 4)
Progress: 1300/2000 (lost: 4)
Progress: 1400/2000 (lost: 4)
Progress: 1500/2000 (lost: 4)
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
WARNING: timeout at seq 1788
Progress: 1800/2000 (lost: 5)
Progress: 1900/2000 (lost: 5)
WARNING: timeout at seq 1913
Progress: 2000/2000 (lost: 6)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
Mean:   2094.568    Std dev: 955.437
Min:     267.104    Max:     11037.712
P50:    2000.288    P95:     3648.272
P99:    5179.328    P99.9:   8712.224
Throughput: 477 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1933696
2,2052096
3,5170416
4,2077504
5,2125824
6,913600
7,7047360
8,3996912
9,3171920
10,4239376
11,3129616
12,8442768
13,729184
14,5903728
15,3230224
16,3552944
17,4003312
18,4029152
19,1539232
20,4181760
21,1779984
22,2369392
23,2800544
24,3282096
25,334000
26,450720
27,2264544
28,4864368
29,1951168
30,2195552
31,2116944
32,2919552
33,3205744
34,1691664
35,413360
36,1542032
37,2466016
38,4062656
39,2430912
40,2902464
41,5179328
42,631008
43,1928080
44,2055552
45,1791136
46,1940608
47,3046496
48,3507152
49,1751680
50,1947456
51,1845104
52,2049456
53,524064
54,1708160
55,1867984
56,2113504
57,1944288
58,1908144
59,5548464
60,2003248
61,2767456
62,1913264
63,1855536
64,2277264
65,1844640
66,2512480
67,2670320
68,1835568
69,1866304
70,1960144
71,1828304
72,423824
73,1695520
74,907280
75,1805456
76,486208
77,2508064
78,4313952
79,332528
80,2893216
81,2510832
82,1847568
83,1946832
84,1960208
85,334768
86,1719184
87,1787600
88,2028656
89,1935904
90,1849328
91,1620608
92,2040800
93,1696160
94,1823504
95,422720
96,2874480
97,3456752
98,2223488
99,421872
100,1869312
101,1834400
102,1731104
103,2014336
104,2174464
105,2007360
106,2640096
107,2340272
108,3494496
109,1981296
110,2019136
111,1695456
112,1923280
113,1840160
114,1873248
115,1861888
116,2131056
117,1887808
118,1069264
119,1698464
120,1953232
121,1542448
122,1514384
123,2225152
124,509184
125,2580336
126,4413536
127,3840336
128,2811360
129,3344720
130,2006640
131,2007920
132,418832
133,2879056
134,2053488
135,1481520
136,420448
137,2535712
138,532608
139,3505568
140,2030544
141,3487248
142,3048928
143,2330720
144,3765536
145,2427344
146,2309648
147,2552352
148,2845808
149,4882608
150,2813664
151,5396368
152,3890288
153,2420320
154,2995296
155,2663680
156,3214512
157,1889168
158,1509728
159,2123520
160,1320624
161,2005632
162,3054352
163,353216
164,2130544
165,2989408
166,438752
167,2101328
168,699360
169,3061168
170,372496
171,2227184
172,4243792
173,2333456
174,1900768
175,1936800
176,2476288
177,2225936
178,2531248
179,390320
180,2212080
181,559984
182,2969264
183,1935840
184,525328
185,2055952
186,526128
187,3043888
188,2537680
189,3597632
190,3901520
191,2970592
192,2491792
193,2915072
194,514464
195,2053184
196,3228000
197,570688
198,2888784
199,2166480
200,457280
201,3028464
202,2017984
203,2642992
204,2957584
205,2637872
206,2856608
207,2076704
208,3638000
209,1868976
210,2220192
211,3088256
212,2442352
213,554336
214,2181472
215,2110992
216,3817120
