HICOM_PING_START run=1
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 176
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
WARNING: timeout at seq 609
WARNING: timeout at seq 616
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
WARNING: timeout at seq 1189
Progress: 1200/2000 (lost: 4)
Progress: 1300/2000 (lost: 4)
Progress: 1400/2000 (lost: 4)
WARNING: timeout at seq 1400
Progress: 1500/2000 (lost: 5)
Progress: 1600/2000 (lost: 5)
Progress: 1700/2000 (lost: 5)
Progress: 1800/2000 (lost: 5)
Progress: 1900/2000 (lost: 5)
Progress: 2000/2000 (lost: 5)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
Mean:   2215.253    Std dev: 912.220
Min:     331.392    Max:     10049.088
P50:    2262.272    P95:     3484.960
P99:    4171.408    P99.9:   8998.448
Throughput: 451 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5867104
2,3196992
3,2083552
4,2362864
5,2273024
6,2604368
7,4337344
8,2048256
9,2450320
10,1986352
11,1765184
12,532864
13,3129104
14,2049456
15,3046704
16,2675904
17,2187632
18,472960
19,2251072
20,2354480
21,3137408
22,2102832
23,530160
24,2282768
25,2310928
26,1337264
27,2486512
28,1278928
29,3384624
30,1992608
31,1850944
32,4151824
33,536672
34,2183504
35,2261264
36,547888
37,2508000
38,3542624
39,1846592
40,2265616
41,3349584
42,3577248
43,2257616
44,630528
45,1978224
46,2786816
47,3313312
48,3392272
49,2842256
50,2513040
51,1130160
52,2363056
53,2770912
54,2348160
55,2208656
56,448672
57,2118944
58,1134736
59,2143520
60,2931872
61,2150752
62,2025472
63,1986608
64,3168080
65,2217488
66,2740048
67,5117584
68,1266448
69,3596576
70,3438080
71,2322320
72,1500864
73,2174272
74,3467744
75,400960
76,444064
77,2285280
78,2438640
79,1157744
80,2224368
81,1677296
82,2189040
83,1303744
84,2362544
85,2374032
86,2098224
87,2303440
88,2080624
89,3379184
90,2633360
91,3331344
92,2163200
93,416272
94,3166272
95,2288352
96,2843216
97,2263904
98,1889488
99,2463920
100,544336
101,1914176
102,2057296
103,582160
104,2543088
105,2177200
106,1203632
107,2296608
108,2503984
109,2968704
110,2168512
111,1194080
112,1940576
113,1921888
114,3286384
115,2503952
116,2449424
117,2735088
118,4038800
119,2125504
120,2174880
121,1338960
122,2415472
123,1289328
124,2279952
125,2914848
126,1997536
127,2107824
128,3465344
129,2340624
130,824096
131,2136368
132,2113136
133,3373152
134,2289040
135,2176560
136,2651136
137,3847040
138,3397088
139,3562816
140,376912
141,2546816
142,1907488
143,2254048
144,2578992
145,1319328
146,2087056
147,1094128
148,2392528
149,3780912
150,2975744
151,2213184
152,463568
153,1728944
154,2679520
155,2828944
156,2123840
157,2128720
158,395408
159,2250304
160,3329216
161,2055904
162,2221408
163,3459776
164,3024832
165,2106688
166,2260256
167,3111232
168,1997008
169,1942256
170,368464
171,2998960
172,1999792
173,3586784
174,2235696
175,1102080
176,2032224
177,2277888
178,2420848
179,2940752
180,2051456
181,657072
182,2892512
183,2270560
184,3059584
185,2183968
186,566208
187,2391616
188,2109952
189,2140832
190,632128
191,2721792
192,1956512
193,3097056
194,2397072
195,2366752
196,2237184
197,1276288
198,2322368
199,2878928
200,3159872
201,2064448
202,2343024
203,2454944
204,1867056
205,461920
206,2460592
207,2289984
208,3696672
209,2502960
210,2648608
211,2412480
212,1195616
213,2290480
214,2642752
215,423408
216,2315040
217,1990848
218,2313568
219,505760
220,2344656
221,2332800
222,3644160
223,536752
224,2197920
225,2767040
226,3445392
227,1187984
228,2149232
229,2821200
230,4034112
231,1821632
232,2212400
233,2423920
234,455168
235,2084720
236,1915408
237,1743328
238,2547216
239,1829280
240,1938000
241,497600
242,2636992
243,2165488
244,452624
245,2075824
246,379824
247,3219504
248,2483168
249,3102528
250,2054816
251,1790416
252,2032880
253,2622592
254,2584864
255,4034416
256,711424
257,3896128
258,2013808
259,2072640
260,3035200
261,2097840
262,2374288
263,3615968
264,3457408
265,3319680
