HICOM_PING_START run=7
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 676
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2021.452    Std dev: 785.708
Min:     264.576    Max:     6859.040
P50:    2074.816    P95:     3203.216
P99:    3832.240    P99.9:   6305.056
Throughput: 495 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2495600
2,2097536
3,293984
4,3025440
5,4037856
6,3333216
7,716256
8,2497008
9,2304208
10,1360784
11,2529168
12,463632
13,3739904
14,3798432
15,433312
16,2342480
17,2224064
18,1279024
19,388256
20,4513232
21,696112
22,1524224
23,2113792
24,1711360
25,2184240
26,5196528
27,817680
28,2730784
29,615712
30,2177408
31,699760
32,3039632
33,4046784
34,3329776
35,2409456
36,1998048
37,2140176
38,2468512
39,2360848
40,1707760
41,3508208
42,827600
43,2181904
44,2366448
45,1357920
46,2072352
47,2947760
48,2666688
49,3348576
50,2512656
51,2255280
52,2023392
53,2003344
54,1222480
55,2339216
56,1450400
57,2405536
58,2316128
59,2105680
60,375264
61,3045248
62,2404432
63,2429296
64,2142400
65,2295760
66,2268032
67,444128
68,2293472
69,2671552
70,2991200
71,2094432
72,2249056
73,2906064
74,2318720
75,2043392
76,3832240
77,1986336
78,1504880
79,3477488
80,1936272
81,2053536
82,512992
83,2864144
84,2155776
85,1134336
86,2177632
87,1486576
88,2195424
89,2690224
90,353104
91,1468176
92,2054416
93,1635952
94,3448464
95,2357312
96,2895568
97,2223488
98,2276272
99,1312320
100,2333232
101,1256192
