HICOM_PING_START run=8
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
WARNING: timeout at seq 755
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2098.396    Std dev: 995.390
Min:     287.904    Max:     21334.224
P50:    2124.048    P95:     3345.680
P99:    4265.376    P99.9:   12218.128
Throughput: 477 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2569664
2,2447536
3,287904
4,2472944
5,4205296
6,2477888
7,2297408
8,3481696
9,1689232
10,2381488
11,2582512
12,4466224
13,3816800
14,3497168
15,4428624
16,4357136
17,1910176
18,3968080
19,648064
20,2731440
21,3419120
22,2730288
23,2065552
24,2220304
25,2111744
26,2165872
27,2069536
28,3546336
29,2041888
30,3463344
31,2035792
32,698464
33,2789216
34,2084400
35,3178176
36,1985072
37,2271696
38,2188464
39,2859648
40,2243312
41,1401344
42,2226384
43,1515200
44,2353808
45,2234864
46,3559168
47,434288
48,3482400
49,3229168
50,2334112
51,2983680
52,2116192
53,2108080
54,2042000
55,358816
56,3151136
57,2022800
58,1907536
59,2143104
60,1196528
61,345696
62,1876704
63,1291584
64,3422784
65,2136688
66,2931152
67,2482464
68,2313840
69,2575376
70,1355360
71,2180048
72,1414752
73,2177456
74,3080512
75,2265808
76,494816
77,3454688
78,3147472
79,2356448
80,2090560
81,2066192
82,3087264
83,2216480
84,2800304
85,2139008
86,2526272
87,3177456
88,2746592
89,2779056
90,2064384
91,3135376
92,375408
93,1276464
94,2326208
95,1329456
96,2241824
97,1100752
98,2177936
99,1361040
100,2112224
101,2398624
102,1570480
103,2095104
104,1334816
105,2306464
106,1327856
107,458208
108,3168688
109,2082976
110,2822192
111,2773520
112,2550624
113,585552
114,2844544
115,2470992
116,2404400
117,1437088
118,1995152
119,1740352
120,2270768
121,2394224
122,2205968
123,3342192
124,2004656
125,1295840
126,2153376
127,1522272
128,482288
129,3065584
130,613792
131,2811152
132,2204496
133,1411472
134,2200416
135,1375600
136,2408976
137,2179360
138,2019056
139,2007072
140,2782560
141,2223920
142,2136496
143,1247312
144,444208
145,3279712
146,2230944
147,1372000
148,411488
149,2991216
150,525280
151,2974848
152,1789264
153,2029776
154,2247232
155,2959584
156,2668000
157,2096576
158,2077920
159,2020608
160,3445520
161,409552
162,3298624
163,2232656
164,2306544
165,437008
166,2742880
167,3305536
168,2056352
169,604032
170,2270288
171,2258512
172,2083120
173,2275824
174,2260928
175,1087408
176,2495984
177,1265184
178,367648
179,2901888
180,2549168
181,3140096
182,2145904
183,582704
184,2486352
185,2085872
186,1562688
187,2397776
188,2450064
189,2833200
190,2097200
191,2212960
192,2697104
193,3481888
194,4265376
195,518784
196,2897584
197,575456
198,2684672
199,511520
200,2034688
201,3059232
202,445824
203,3679920
204,1315456
