HICOM_PING_START run=20
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
WARNING: timeout at seq 1438
Progress: 1500/2000 (lost: 1)
WARNING: timeout at seq 1519
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2173.516    Std dev: 924.026
Min:     271.056    Max:     13043.168
P50:    2176.544    P95:     3508.512
P99:    4194.704    P99.9:   10304.656
Throughput: 460 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2440064
2,3302096
3,3803568
4,5111408
5,2933744
6,3269280
7,3720320
8,3396672
9,2748688
10,2442176
11,1722320
12,2334560
13,4412480
14,2197296
15,2632368
16,2700432
17,655136
18,2557760
19,1944848
20,2487728
21,560528
22,1870512
23,2637360
24,1748912
25,2096864
26,1328496
27,2116832
28,2850032
29,1933232
30,2403040
31,2679744
32,3143744
33,3173936
34,1805728
35,1889488
36,2098320
37,3423024
38,3411792
39,2061152
40,2041536
41,1100656
42,2219728
43,1362784
44,3945152
45,2446800
46,2498176
47,1929936
48,472464
49,2933808
50,2025488
51,2019408
52,3509728
53,2014848
54,2561264
55,2847088
56,3453664
57,359136
58,1941824
59,1601120
60,2204720
61,2637520
62,2406480
63,3593744
64,2441392
65,3076576
66,483168
67,1903792
68,2318112
69,1363328
70,2401584
71,2193488
72,2001024
73,2021744
74,2694336
75,449008
76,1637792
77,334128
78,1889120
79,348608
80,2004608
81,1953232
82,2070656
83,406128
84,3139232
85,534864
86,2428912
87,2669984
88,2740176
89,1993072
90,2699792
91,433216
92,2976384
93,1743968
94,2141024
95,3361648
96,419920
97,2464992
98,2613872
99,2616272
100,1984736
101,2128432
102,3040672
103,316256
104,2481760
105,2068176
106,2243088
107,1710592
108,2294128
109,2234592
110,3019776
111,2621872
112,2167472
113,1894288
114,2010496
115,1816096
116,387504
117,1820336
118,3472288
119,1552448
120,2326576
121,3417488
122,2070128
123,3136336
124,500880
125,2167472
126,1139888
127,2213520
128,2900304
129,2022416
130,2003424
131,416016
132,1123584
133,2122480
134,389200
135,416544
136,1856784
137,1916000
138,1738352
139,1934128
140,1963840
141,2840176
142,2242384
143,1943888
144,324640
145,2496576
146,2651504
147,2216752
148,1136000
149,2046192
150,1732928
151,1923728
152,2170352
153,440304
154,2887056
155,2192304
156,1138960
157,2178128
158,1634336
159,2675840
160,1992688
161,1748896
162,2077248
163,1891984
164,2001744
165,2150880
166,2743744
167,1858064
168,271056
169,2835264
170,3177344
171,1670784
172,2560784
173,2401472
174,2058416
175,3069856
176,3470512
177,479632
178,2098512
179,1759152
180,2682544
181,2665952
182,2110160
183,2617856
184,2902080
185,1952816
186,2697104
187,2157296
188,2044704
189,2153520
190,2044528
191,1160320
192,2301392
193,1583952
194,2137664
195,1587056
196,2219888
197,1014704
198,1983648
199,1921680
200,2284992
201,2366304
202,2042832
203,423728
204,960784
205,1917552
206,327344
207,1729824
208,1747472
209,304576
210,1203184
211,2048512
212,350784
213,2000896
214,2018336
215,1880064
216,306720
217,1279328
218,1903200
219,1869936
220,542032
221,2656400
222,2141488
223,1860688
224,1932448
225,2721728
226,2599408
227,1748688
228,2010336
229,539136
230,2938240
231,424128
232,2972768
233,2177984
234,1720448
235,2130928
236,2640672
237,2514752
238,2161824
239,1424144
240,2031584
241,1620608
242,2134336
243,1108272
244,414336
245,2014048
246,2717680
247,1991424
248,405712
249,1796128
250,1881616
251,2131744
252,1078672
253,1946576
254,1829424
255,2100960
256,2156864
257,2004448
258,1219552
259,2577104
260,2192816
261,317536
262,1166432
263,1746256
264,2086816
265,2594528
266,1977440
267,2271104
268,2163168
269,2561184
270,471280
271,1989488
272,3442128
273,3665104
274,3090416
275,2561664
276,2455936
277,2767248
278,1388256
279,2196704
280,3429920
281,435424
282,3005952
283,2098544
284,532144
285,2715168
286,2169200
287,2913280
288,455152
289,1892080
290,540000
291,3080832
292,3176976
293,2199072
294,2589472
295,2668288
296,2550256
297,3592256
298,1321104
299,2691776
300,2195040
301,2772400
302,479520
303,2351600
304,2515200
305,1394320
306,503440
307,3138864
308,3406448
309,2387936
310,3453024
311,1766464
312,2182224
313,1704528
314,3453936
315,2324576
316,1974944
317,2666896
318,2967280
319,1957616
320,3205600
321,2303728
322,3906336
323,2072032
324,1281984
325,2687504
326,2388448
327,1678512
328,2222416
329,2803536
330,2062448
331,376336
332,2028736
333,2631568
334,3423968
335,1526784
336,2357392
337,3512128
338,1259712
339,2107856
340,3434704
341,2112784
342,491968
343,3019680
344,516432
345,2434832
346,2627824
347,1438032
348,2420464
349,1328128
350,2510512
351,2020864
352,2402272
353,377104
354,2164352
355,3436096
356,2207744
357,2056464
358,2736096
