HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 452
WARNING: timeout at seq 460
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
WARNING: timeout at seq 1251
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
WARNING: timeout at seq 1729
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2123.956    Std dev: 845.147
Min:     276.368    Max:     10079.472
P50:    2129.616    P95:     3365.632
P99:    4254.240    P99.9:   7207.296
Throughput: 471 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2441488
2,2870096
3,2540112
4,2664656
5,3317168
6,3086336
7,2137168
8,493488
9,3067664
10,691696
11,3626672
12,2970288
13,2499056
14,2832208
15,2156432
16,1292544
17,2171888
18,1477040
19,455984
20,3015456
21,2458064
22,3268064
23,1795056
24,3578432
25,2364224
26,3226560
27,2713584
28,596608
29,2134224
30,687872
31,6366128
32,4049936
33,5518992
34,437952
35,1205792
36,2336400
37,3369760
38,1488432
39,2426096
40,3671264
41,1239904
42,2491088
43,2957520
44,1650304
45,2033200
46,2437888
47,3685152
48,3195120
49,2511440
50,2094896
51,2680624
52,2934448
53,562864
54,2841776
55,2351792
56,2203232
57,1997072
58,2417552
59,2280560
60,3552368
61,433488
62,2147792
63,2019296
64,579520
65,2874592
66,513872
67,2908896
68,2027712
69,1304864
70,2164096
71,2978784
72,2188688
73,2389040
74,3347280
75,440848
76,2693056
77,2634208
78,607776
79,1994016
80,3059984
81,2083376
82,443680
83,3195664
84,2011184
85,2184000
86,3300560
87,2733600
88,4111344
89,2138864
90,1743904
91,404928
92,2142352
93,2021792
94,3193584
95,2315296
96,1146368
97,2391584
98,1534896
99,2126704
100,1479936
101,2140736
102,2132480
103,684448
104,2907344
105,544160
106,2791792
107,1961840
108,1475024
109,2471440
110,2452032
111,1276592
112,2212624
113,1405232
114,2532000
115,493680
116,2233088
117,2155424
118,466880
119,2603168
120,1417008
121,2235168
122,3021408
123,434544
124,1391072
125,2225328
126,2619440
127,2222320
128,2101984
129,2658224
130,3207824
131,2017184
132,504656
133,2016848
134,1352048
135,1986752
136,1499728
137,2263792
138,1206016
139,2230384
140,3309184
141,2001248
142,2417040
143,2977872
144,1987792
145,2200352
146,1233456
147,1924208
148,2971360
149,2536000
150,2357168
151,1191856
152,2336048
153,2903248
154,2010896
155,3796624
156,2355488
157,3102096
158,2015936
159,2309952
160,3341584
161,3032496
162,2212032
163,342160
164,2104288
165,2204032
166,2885680
167,2173248
168,1998976
169,2384048
170,2160656
171,2040000
172,464080
173,2185984
174,1794880
175,2418944
176,541056
177,2654256
178,2373936
179,1187904
180,2440048
181,1286352
182,1982528
183,1263648
184,2418128
185,3578800
186,3166176
187,2069456
188,563664
189,2688000
190,1027568
191,2823168
192,3208608
193,3446976
194,2345520
195,1057584
196,2063600
197,2651360
198,2596704
199,2305360
200,2884528
201,1958992
202,2953040
203,2423328
204,3021024
205,2217264
206,2776096
207,2091856
208,469760
209,2206224
210,2453680
211,1433392
212,2083280
213,1286720
214,2028800
215,2085888
216,1986576
217,2536224
218,2607424
219,2293200
220,1425680
221,2156368
222,3152352
223,2527680
224,3016976
225,2126448
226,1293808
227,2172704
228,2829152
229,2223120
230,415376
231,2955552
232,2080704
233,1192800
234,2170336
235,3365632
236,1859344
237,2085600
238,334160
239,504128
240,2438704
241,2303936
242,2210368
243,2923296
244,2248768
245,2871120
246,2205472
247,2235424
248,461232
249,2360992
250,1913216
251,622864
252,3057856
253,3571360
254,1900032
255,2077008
256,3107856
257,2165904
258,3686384
259,1515008
260,2357456
261,1429056
262,2120480
263,2867776
264,1906896
265,2281824
266,2065632
267,508400
268,3243024
269,3366832
270,2170912
271,2822832
272,2025504
273,2339072
274,3254176
275,488544
276,2177392
277,1999200
278,554496
279,2871232
280,1863584
281,1223392
282,2529040
283,3034464
284,2010704
285,2293504
286,3290384
287,1979952
288,2373312
289,1985648
290,2119392
291,594000
292,2853584
293,432784
294,1912576
295,2043744
296,2525776
297,2850768
298,2431376
299,2742528
300,2362528
301,1389504
302,2526352
303,751616
304,1998336
305,2161024
306,2015248
307,521504
308,2583360
309,2460512
310,3897136
311,2959680
312,452640
313,3247264
314,453536
315,2340288
316,2160304
317,3117856
318,2082016
319,2913472
320,2686800
321,2412880
322,1928400
