HICOM_PING_START run=25
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 438
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
WARNING: timeout at seq 1654
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   1991.455    Std dev: 802.235
Min:     265.072    Max:     8802.208
P50:    2034.784    P95:     3167.520
P99:    4010.992    P99.9:   8668.816
Throughput: 502 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4603168
2,1589488
3,2286800
4,1999504
5,2112864
6,3419760
7,4505520
8,4792544
9,2247584
10,1832896
11,1755328
12,301280
13,3204640
14,3363728
15,2226384
16,1760544
17,1190240
18,2136512
19,1841456
20,2075008
21,2278464
22,1847760
23,2767392
24,1856736
25,1690544
26,2217472
27,1596672
28,350384
29,2381696
30,1757968
31,362768
32,1904928
33,1981856
34,1872048
35,1814464
36,436912
37,2984496
38,1916192
39,1936560
40,483456
41,2650304
42,2272704
43,2198448
44,1730736
45,2784128
46,2398272
47,1893664
48,1820928
49,1956304
50,393040
51,511072
52,1766144
53,1957264
54,2404000
55,2221936
56,1957568
57,1762176
58,1848464
59,361040
60,2576496
61,2550944
62,2236768
63,1098400
64,2222256
65,3197968
66,2238256
67,2189616
68,2641008
69,4079280
70,2121200
71,2320672
72,1244944
73,2141312
74,2031696
75,2226464
76,2182048
77,1704480
78,2171504
79,1830432
80,3618816
81,2365088
82,2566880
83,1830272
84,1962592
85,2122368
86,2222416
87,441408
88,1750688
89,2116928
90,2076768
91,369680
92,3157472
93,2035824
94,1796208
95,2087040
96,1784032
97,1825888
98,1969008
99,1081648
100,1823232
101,2037920
102,1787248
103,1935952
104,2557840
105,2320064
106,1897792
107,1670368
108,2038576
109,1781136
110,1856496
111,1659264
112,2049056
113,2391712
114,1787328
115,2822688
116,3154016
117,345920
118,1969952
119,1556064
120,1634096
121,1898320
122,2072480
123,2008240
124,3453744
125,3620128
126,1828368
127,2126448
128,1979968
129,2427936
130,2640176
131,409120
132,1873664
133,2074960
134,1507520
135,2130896
136,362656
137,516960
138,1755408
139,438592
140,2645168
141,2122464
142,1868720
143,1825472
144,340352
145,2064832
146,1696128
147,1739472
148,2333344
149,1938512
150,1729120
151,2494304
152,397600
153,2205680
154,2210000
155,448496
156,2517408
157,2000544
158,2076288
159,1879968
160,1937376
161,2188416
162,2397408
163,2645248
164,2686080
165,1976560
166,1967632
167,2290192
168,1789632
169,1624032
170,2356304
171,364288
172,418960
173,1984128
174,2996448
175,2095712
176,2187984
177,2297280
178,2794464
179,2037952
180,2057584
181,2006864
182,1046624
183,3006816
184,2049216
185,1768912
186,2390032
187,1189920
188,2121152
189,2634016
190,637472
191,2038592
192,575920
193,2453920
194,2412800
195,1729440
196,3468720
197,366384
198,3078368
199,2197632
200,322016
201,2037296
202,3213968
203,2023616
204,2273344
205,1291936
206,2327648
207,3011600
208,1765152
209,2364992
210,2711440
211,1937296
212,2064512
213,2008944
214,2264544
215,1163088
216,2108528
217,3225200
218,2011216
219,1965392
220,2307344
221,2916768
222,2007952
223,2766448
224,2468336
225,372544
226,2063472
227,2394400
228,2361488
229,3193520
230,1994608
231,2962416
232,1807504
233,2112848
234,2415536
235,3075568
236,2322128
237,1124512
238,1986480
239,2162928
240,2113376
241,2294304
242,1957088
243,2291936
244,2500464
245,354576
246,1834352
247,2062832
248,423808
249,394144
250,2368416
251,2028672
252,336992
253,2723152
254,4367056
255,1991728
256,2089664
257,2782192
258,1857024
259,422672
260,2072448
261,1346256
262,2078800
263,1691024
264,4179904
265,4707424
266,2290128
267,3596192
268,2247536
269,1977440
270,2163280
271,2811424
272,1944304
273,2147072
274,3016432
275,1744992
276,2025232
277,1964448
278,2050176
279,1657984
280,419824
281,2786304
282,2010848
283,2028704
284,305936
285,2816528
286,2099872
287,1731552
288,2116080
289,2997792
290,2062128
291,1725952
292,336064
293,2811760
294,2008496
295,1844048
296,394496
297,1340384
298,2357632
299,1293504
300,2331920
301,484400
302,2183360
303,2065808
304,363664
305,1383104
306,1892224
307,1760656
308,449664
309,1729776
310,2509616
311,1895680
312,1992576
313,1848624
314,2116208
315,364592
316,2367696
317,2185776
318,415696
319,1897392
320,2239776
321,1952736
322,2053952
323,1892224
324,2448384
325,1189920
326,2070128
327,339072
328,1830352
329,343616
330,2964416
331,2029024
332,2196480
333,2158528
334,2239776
335,2539904
336,461520
337,1899856
338,504144
339,2593536
340,1816752
341,1884176
342,2767520
343,1083264
344,479120
345,3084928
346,2226256
347,1105632
348,1800016
349,1972160
350,2191776
351,1377904
352,1822336
353,1644992
354,1963072
355,1870592
356,2333504
357,2725168
358,1960928
359,1971120
360,2125376
361,1775552
362,2755104
363,2847408
364,1758640
365,1602640
366,1920464
367,2198688
368,569360
369,2836816
370,1996704
371,2839200
372,2180416
373,1555888
374,1927264
375,2132640
376,2015056
377,445552
378,2758480
379,2168288
380,1812928
381,408000
382,2510048
383,1945520
384,1982464
385,1757536
386,2136944
387,1867312
388,3382768
389,2009696
390,1770224
391,1942192
392,1853328
393,418160
394,367168
395,2088048
396,1105184
397,2067664
398,325584
399,2154192
400,1866608
401,3708544
402,2076288
403,2518752
404,2036816
405,2043184
406,2026784
407,2108592
408,2830928
409,2126128
410,1759520
411,1814640
412,1907280
413,2003712
414,2402208
415,2619712
416,2119696
417,2355520
418,370128
419,3370576
420,1779040
421,1909456
422,2694912
423,3153856
424,2042816
425,2523664
426,1919536
427,1648288
428,350736
429,1655536
430,1982400
431,2124272
432,2220352
433,1263104
434,2132912
435,2589152
436,2363600
437,1997040
438,1929136
439,6127984
440,2039792
441,2444048
442,1985520
443,1781808
444,3428816
445,1809056
446,2168192
447,414032
448,1963504
449,494400
450,2431856
451,3035344
452,1652880
453,2166544
454,2104720
455,2083488
456,2545152
457,1975968
458,2234080
459,1911872
460,1948176
461,1230816
462,457056
463,1888544
464,1194160
465,2515728
466,547472
467,2236048
468,1201536
469,2092192
470,1763408
471,2155824
472,2646432
473,2359344
474,2455136
475,1093344
476,2353504
