HICOM_PING_START run=3
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
WARNING: timeout at seq 1911
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2007.327    Std dev: 857.745
Min:     297.232    Max:     10881.568
P50:    1961.744    P95:     3225.232
P99:    4079.104    P99.9:   8903.840
Throughput: 498 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2047392
2,1740976
3,2554032
4,3241584
5,409600
6,3105040
7,3009472
8,1736448
9,6927552
10,1878176
11,2190976
12,422048
13,2506576
14,1418032
15,2269344
16,1779536
17,2107808
18,2123888
19,710480
20,10881568
21,3943344
22,3369296
23,2480272
24,2712912
25,2534144
26,2349104
27,2029648
28,2160320
29,1758176
30,2285440
31,1019952
32,2228480
33,2389104
34,2862192
35,2031632
36,330640
37,2772576
38,2268672
39,2172016
40,1216032
41,1823648
42,1909264
43,1751120
44,1748992
45,2052304
46,1444944
47,1999184
48,1696720
49,2095472
50,3125888
51,2539728
52,502480
53,2565168
54,2108288
55,2517088
56,372704
57,2667888
58,2131760
59,1208496
60,2031664
61,2546784
62,617648
63,2190288
64,2527280
65,536720
66,1848320
67,3225216
68,366432
69,3007152
70,1827104
71,1846512
72,3471264
73,1795360
74,1924432
75,313424
76,1856800
77,1757040
78,384848
79,2289488
80,3519120
81,1666048
82,2007616
83,1716288
84,1997440
85,1664000
86,2246720
87,374192
88,3116224
89,336768
90,2024032
91,1576416
92,317440
93,531408
94,1581936
95,1897616
96,1691072
97,1638080
98,1772896
99,2846048
100,2484160
101,2118928
102,1921872
103,1865424
104,1575872
105,1746720
106,1993664
107,2119488
108,364624
109,446160
110,1826784
111,2900480
112,1846960
113,2127680
114,1889664
115,1850256
116,1776464
117,2358096
118,2765232
119,1708784
120,1987296
121,1765376
122,1942160
123,2000784
124,1938560
125,2390992
126,2115328
127,1959952
128,3778288
129,1946144
130,2010896
131,1981600
132,1862592
133,2488288
134,2264640
135,2034112
136,1678832
137,1957872
138,1983072
139,1849280
140,2359728
141,1646944
142,2648368
143,2205520
144,1997328
145,1670032
146,1954592
147,1668416
148,1937728
149,3412384
150,3322160
151,1767968
152,597888
153,1911584
154,1216064
155,2204576
156,3133744
157,404544
158,3075936
159,3905552
160,1892400
161,2029104
162,2092880
163,1623072
164,2932864
165,1634416
166,1988896
167,2128720
168,2068480
169,380048
170,2012672
171,345552
172,2549328
173,442544
174,1799952
175,2023216
176,1835728
177,1970944
178,1951920
179,2012224
180,1564448
181,1722944
182,2165472
183,1775664
184,2774848
185,2374704
186,2137712
187,1801600
188,1973072
189,2802944
190,2091424
191,1852048
192,1928560
193,2443136
194,1778560
195,2358192
196,1872832
197,1574624
198,1824896
199,1809360
200,2057648
201,4051664
202,3788528
203,6208688
204,3339792
205,1756752
206,392800
207,2098272
208,2817776
209,8713152
210,4008816
211,2435632
212,1981920
213,1272384
214,1337840
215,8122064
216,2194688
217,3620448
218,3660288
219,2013984
220,2305024
221,2627424
222,1991120
223,1903856
224,3069504
225,1752704
226,2080000
227,378064
228,3067136
229,1644128
230,2121568
231,3803024
232,2190768
233,2058880
234,3064864
235,1748432
236,2024240
237,425968
238,2788096
239,1883248
240,2208672
241,1858560
242,2223184
243,1954176
244,2083408
245,2379632
246,2276304
247,1853072
248,995296
249,1928912
250,488704
251,2952112
252,1648288
253,2270272
254,1648080
255,1761552
256,1983264
257,1856352
258,2898832
259,2003344
260,2377696
261,1087808
262,510176
263,1767120
264,3391904
265,2027872
266,2005472
267,1148336
268,2201040
269,339280
270,729968
271,1561504
272,379248
273,850736
274,2413360
275,2003616
276,1987584
277,2102608
278,2647936
279,3225232
280,1970704
281,2374272
282,2906576
283,2108144
284,2379952
285,371424
286,1770048
287,2271696
288,1716800
289,509456
290,2605728
291,2639712
292,420432
293,2749680
294,446224
295,1885936
296,425440
297,1792752
298,3160896
299,3719440
300,1719232
301,2138992
302,1659392
303,474304
304,3566016
305,495408
306,1983104
307,2125888
