HICOM_PING_START run=10
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   1912.241    Std dev: 691.231
Min:     263.312    Max:     6943.984
P50:    1919.264    P95:     3042.832
P99:    3671.088    P99.9:   6329.024
Throughput: 523 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3671088
2,1926272
3,656960
4,3158080
5,2214160
6,4934240
7,2147536
8,2762928
9,4207344
10,1658416
11,3811312
12,1942464
13,1894144
14,2073648
15,3563712
16,2076272
17,1813936
18,2646656
19,1620928
20,1980880
21,1810688
22,2428800
23,335936
24,2144400
25,1728176
26,1941584
27,2470832
28,2745872
29,1680032
30,1606672
31,2061472
32,1662976
33,1917504
34,423392
35,1725936
36,2051232
37,1601088
38,1859712
39,3550208
40,1721472
41,1806640
42,1716048
43,1986512
44,3532720
45,2922688
46,1669216
47,1571648
48,2031312
49,1524528
50,1771600
51,1946704
52,1801056
53,2206384
54,1664768
55,1553696
56,1611536
57,1746704
58,1608352
59,427440
60,2751024
61,2408848
62,1901744
63,2099040
64,1801760
65,2134016
66,1600992
67,1318736
68,1937248
69,1610608
70,1951392
71,1644736
72,1734400
73,287072
74,2350144
75,1584784
76,2503696
77,2217696
78,1994496
79,1829952
80,414896
81,1732032
82,2673216
83,2059760
84,2237264
85,1920944
86,1704384
87,3346144
88,1790384
89,4195680
90,1756384
91,1771440
92,1927968
93,1569664
94,1973264
95,316096
96,318864
97,1683456
98,1762304
99,1844032
100,3319024
101,2098816
102,1749920
103,2814928
104,1857808
105,1778160
106,1651360
107,2356128
108,1699984
109,1760368
110,1682480
111,1840048
112,376752
113,1735216
114,2377760
115,1801488
116,368592
117,2749680
118,1763056
119,1802960
120,2113776
121,1970160
122,1526704
123,1817216
124,1755680
125,2034016
126,1623888
127,2059280
128,1987808
129,1915504
130,1614240
131,1768256
132,1670000
133,2167872
134,1700816
135,538608
136,1964528
137,1658384
138,1730944
139,1885664
140,2035904
141,1277920
142,1887136
143,1823392
144,1738896
145,1832400
146,1838336
147,1797696
148,1872944
149,349536
150,2050464
151,1639456
152,420304
153,1992496
154,1794464
155,1830048
156,1820064
157,1949504
158,2449232
159,2417552
160,1980912
161,1747712
162,2017344
163,321936
164,2748880
165,1770176
166,1852544
167,2975312
168,1582048
169,1865552
170,1697168
171,1674592
172,1974400
173,1909200
174,1816928
175,1803776
176,1895664
177,2809472
178,307776
179,3279776
180,2192128
181,1790800
182,1594464
183,1684000
184,2161408
185,1892896
186,1842416
187,1851360
188,1685376
189,1736400
190,2328752
191,2148032
192,2020800
193,1878272
194,3008512
195,2190000
196,1855136
197,395264
198,2582160
199,2408752
200,1579152
201,305968
202,1810176
203,289392
204,1027920
205,2005184
206,1659984
207,1962832
208,1677568
209,1664000
210,1701184
211,1920528
212,1544928
213,2226464
214,1664288
215,2005568
216,1892384
217,1846880
218,1578864
219,1792336
220,1905568
221,1721936
222,1898096
223,2088992
224,3316192
225,1678896
226,1855664
227,1580416
228,443472
229,1896128
230,2186624
231,3621744
232,1731536
233,1968848
234,1667424
235,3007232
236,2849568
237,1730048
238,296320
239,1848576
240,1582688
241,2057040
242,1703248
243,1706496
244,1925072
245,1521072
246,1605072
247,2204080
248,2013264
249,1803456
250,367776
251,945152
252,1866464
253,2353936
254,2304816
255,1866016
256,3145888
257,2175024
258,2111232
259,2283696
260,2014048
