HICOM_PING_START run=16
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 288
WARNING: timeout at seq 292
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2124.909    Std dev: 863.233
Min:     310.176    Max:     8876.864
P50:    2159.344    P95:     3312.656
P99:    3820.544    P99.9:   7468.272
Throughput: 471 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4375104
2,482528
3,3638800
4,3329664
5,551408
6,687680
7,3195488
8,2311840
9,3208496
10,2375296
11,2722880
12,545168
13,3271568
14,2308784
15,2312064
16,2448224
17,693328
18,2587312
19,692048
20,2257632
21,2196816
22,1447936
23,2180720
24,2594304
25,3160016
26,600128
27,1430160
28,482256
29,2255296
30,2309936
31,390112
32,2391376
33,1791216
34,596336
35,2428896
36,2401696
37,1410240
38,2223824
39,3603920
40,1318496
41,1843280
42,3252848
43,2477824
44,488752
45,2997968
46,3260288
47,3781456
48,2070240
49,2759424
50,488848
51,3150256
52,2551792
53,1935920
54,3152672
55,3571136
56,2366592
57,2035936
58,1755088
59,2025008
60,543104
61,1825904
62,2221312
63,2208544
64,505824
65,2965312
66,2010080
67,3469504
68,2166528
69,2258544
70,3188320
71,2161440
72,2022240
73,404304
74,3861792
75,2322704
76,1141680
77,1855456
78,506592
79,2264176
80,2139280
81,3249456
82,2130544
83,3179392
84,2413200
85,3315072
86,2377776
87,2606160
88,1170480
89,2076192
90,2131328
91,573440
92,2073424
93,2273440
94,2979696
95,2155184
96,2382144
97,1499072
98,2086288
99,3211616
100,2710128
101,2454768
102,491920
103,2241216
104,1989200
105,2786400
106,2550112
107,2084336
108,3067696
109,2597600
110,2116208
111,2191824
112,3287344
113,2918864
114,2938064
115,1906032
116,2000560
117,515616
118,3123152
119,1848352
120,1678960
121,537360
122,2251216
123,2408624
124,1530560
125,2176304
126,3613200
127,3066272
128,2163344
129,2183040
130,2330080
131,1677904
132,2093568
133,2941360
134,2266528
