HICOM_PING_START run=23
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 14
WARNING: timeout at seq 15
Progress: 100/2000 (lost: 2)
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
WARNING: timeout at seq 1835
WARNING: timeout at seq 1848
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   1925.270    Std dev: 830.979
Min:     271.456    Max:     16832.160
P50:    1946.640    P95:     3053.984
P99:    3703.520    P99.9:   9765.232
Throughput: 519 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7760208
2,578032
3,2117248
4,843552
5,6270352
6,914080
7,2844912
8,3026304
9,2149840
10,2701360
11,1769152
12,3278512
13,2322016
14,3922768
15,2520864
16,3004720
17,2217712
18,651696
19,3537936
20,633824
21,2443872
22,783744
23,2520944
24,654608
25,3052288
26,2076240
27,3570032
28,1178192
29,2248416
30,2925680
31,2308976
32,607520
33,2637936
34,2093024
35,1955840
36,576192
37,2474064
38,468352
39,2732416
40,651040
41,1819072
42,2095008
43,2120448
44,2241088
45,3182224
46,378208
47,2693984
48,2119360
49,1999696
50,1833984
51,2193248
52,2271440
53,1948512
54,519760
55,4047552
56,2636800
57,1978704
58,2874368
59,2241232
60,1979920
61,1059600
62,2352528
63,3191888
64,2283616
65,1970352
66,2822592
67,2283200
68,1908400
69,334288
70,2308320
71,2901392
72,1898432
73,2160992
74,2002352
75,2081712
76,1178736
77,2001008
78,3195392
79,1979344
80,2137408
81,3286112
82,434816
83,2856960
84,490544
85,2655584
86,2038048
87,2574848
88,3294352
89,547008
90,1414064
91,1934432
92,1185648
93,2268992
94,2978400
95,470144
96,3142896
97,492432
98,2908160
99,2677312
100,1991248
101,1484544
102,374176
103,2680800
104,2311056
105,1296560
106,2058624
107,2934080
108,2165888
109,569312
110,2994848
111,1899840
112,3038640
113,2352064
114,2007728
115,1381920
116,2055040
117,3094800
118,2140720
119,2081456
120,1134816
121,742112
122,483872
123,2555616
124,513600
125,2712512
126,2538496
127,2708080
128,1239664
129,2310528
130,1162368
131,629424
132,2980080
133,2146032
134,2731520
135,1066752
136,524592
137,2979776
138,1969696
139,1833216
140,1765776
141,1055360
142,1993248
143,1863488
144,1934368
145,1376240
146,1843232
147,1240848
148,2335280
149,1186912
150,1806000
151,2840160
152,2564144
153,3540064
154,1903840
155,2378208
156,2915712
157,2164752
158,3361776
159,2169120
160,2232576
161,2259280
162,2990720
163,2230688
164,1929232
165,1785056
166,561760
167,2990064
168,2034512
169,2897568
170,2178240
171,2293520
172,1142384
173,2009184
174,3049360
175,2522128
176,1914656
177,1403936
178,1866128
179,1172768
180,553728
181,1903296
182,2452208
183,1183456
184,1899440
185,1929280
186,1687776
187,2980144
188,2456160
189,1690976
190,3190432
191,2030944
192,657088
193,2924304
194,2307664
195,3336416
196,1429120
197,2100576
198,1168624
199,2521264
200,2297328
201,2063008
202,445408
203,2818992
204,1999424
205,338944
206,2165152
207,426976
208,2274256
209,2156272
210,498624
211,2755664
212,1966528
213,1059920
214,2432128
215,1333136
216,2181808
217,1122928
218,1977696
219,2917168
220,2032752
221,2310096
222,1972688
223,1794000
224,1140352
225,2120464
226,2023712
227,414016
228,2186944
229,2252816
230,2773632
231,2919264
232,1880912
233,1845696
234,2059456
235,2840208
236,2067920
237,1926464
238,1289728
239,2268576
240,2571680
241,2097984
242,2366464
243,3148144
244,2333616
245,404192
246,2604160
247,1980000
248,2715360
249,2895408
250,1970464
251,1959424
252,578576
253,2315424
254,2066592
255,1636944
256,652528
257,2876272
258,2438880
259,2691904
260,3192384
261,509408
262,1334160
263,2244240
264,2395680
265,1083760
266,622640
267,2960864
268,616608
269,2595648
270,2262064
271,1219664
272,1958896
273,9765232
274,2411472
275,2075056
276,2450160
277,1813424
278,3233168
279,439088
280,1321008
281,512624
282,2671376
283,2281984
284,2885984
285,474096
286,2012160
287,1931360
288,1350736
289,2197104
290,1196960
291,617584
292,2870432
293,2312416
294,2806976
295,2882080
296,1884944
297,1085008
298,656192
299,2640160
300,2159760
301,2979088
302,2383360
303,2210912
304,2778176
305,2080864
306,2435056
307,1235216
308,2299552
309,2891952
310,2666288
311,443520
312,2220624
313,662320
314,1978000
315,3142736
316,2789696
317,2794416
318,2118976
319,1446240
320,2015424
321,3089152
322,2038688
323,1927616
324,1194768
325,2027120
326,1905888
327,380944
328,2661744
329,561952
330,2980192
331,731904
332,2487072
333,568160
334,3225152
335,1791312
336,1406336
337,504880
338,2942896
339,1978928
340,3166496
341,2177952
342,2230928
343,2666880
344,4095008
345,2458512
346,1733168
347,538992
348,3011024
349,2138400
350,490400
351,2205136
352,4288304
353,3428288
354,2183488
355,3151680
356,3113712
357,351744
358,2374128
359,2068624
360,2530352
361,2003040
362,1836560
363,1192208
364,2126208
365,2849264
366,356832
367,3061568
368,3069824
369,2967152
370,2358880
