HICOM_PING_START run=17
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 552
WARNING: timeout at seq 558
WARNING: timeout at seq 560
WARNING: timeout at seq 574
Progress: 600/2000 (lost: 4)
Progress: 700/2000 (lost: 4)
WARNING: timeout at seq 707
Progress: 800/2000 (lost: 5)
Progress: 900/2000 (lost: 5)
Progress: 1000/2000 (lost: 5)
Progress: 1100/2000 (lost: 5)
Progress: 1200/2000 (lost: 5)
Progress: 1300/2000 (lost: 5)
Progress: 1400/2000 (lost: 5)
WARNING: timeout at seq 1413
WARNING: timeout at seq 1425
Progress: 1500/2000 (lost: 7)
Progress: 1600/2000 (lost: 7)
Progress: 1700/2000 (lost: 7)
Progress: 1800/2000 (lost: 7)
Progress: 1900/2000 (lost: 7)
Progress: 2000/2000 (lost: 7)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    7 (0.350%)
RTL (us):
Mean:   2025.133    Std dev: 872.039
Min:     263.184    Max:     14197.024
P50:    2068.080    P95:     3130.192
P99:    4290.560    P99.9:   9392.848
Throughput: 494 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2769776
2,2140128
3,1652928
4,869536
5,2014816
6,2373776
7,2884368
8,3477120
9,3573328
10,2886288
11,4257984
12,409824
13,3427088
14,3013072
15,2010272
16,1429552
17,1967168
18,1798256
19,3241040
20,2340320
21,1685808
22,4097888
23,2385760
24,2599328
25,2752032
26,1975200
27,1992160
28,2067008
29,3643440
30,363168
31,2228064
32,2382464
33,1957088
34,1621104
35,1469648
36,1840864
37,387888
38,2660912
39,2460528
40,2172080
41,1545536
42,2209520
43,3049856
44,2174864
45,2131984
46,2714160
47,2348160
48,372336
49,3248896
50,4016624
51,2346864
52,2526816
53,2631584
54,2101456
55,1214752
56,2044800
57,461184
58,1709552
59,1785440
60,1960752
61,2026416
62,2215280
63,2688816
64,2523600
65,2414960
66,2883568
67,1813184
68,2148976
69,2687008
70,1931584
71,1832208
72,2625952
73,2367504
74,1079632
75,1717824
76,3479920
77,1974320
78,2142752
79,1618576
80,2507360
81,1234160
82,2359968
83,986768
84,2192320
85,1669616
86,1982832
87,2145072
88,3058336
89,1861456
90,2004432
91,2503792
92,1868576
93,512720
94,1666624
95,263184
96,3321664
97,3693504
98,1968928
99,1976448
100,2012752
101,386416
102,2748768
103,2314592
104,2734496
105,2078640
106,2224720
107,2074368
108,1679024
109,345792
110,3268544
111,1860992
112,2317136
113,2304880
114,2765536
115,2529440
116,5141552
117,2838880
118,2501424
119,3064304
120,1824400
121,2358608
122,2644304
123,1973792
124,1928192
125,348720
126,1858672
127,2237904
128,1300064
129,2179840
130,2764288
131,2498656
132,2010192
133,1713344
134,2133312
135,2952096
136,573280
137,2688048
138,2135440
139,2610960
140,453600
141,1730688
142,1779168
143,1840896
144,1688784
145,1933584
146,1829920
147,2324704
148,2463856
149,2666592
150,2508544
151,1198736
152,2364032
153,2777056
154,2167824
155,2453616
156,2630016
157,1894592
158,2186576
159,1867584
160,2083472
161,1126704
162,2226672
163,1808896
164,2045504
165,3466480
166,4547936
167,2053184
168,344016
169,2740496
170,2361888
171,2618704
172,2322512
173,1992624
174,1881456
175,1872288
176,3389344
177,2342288
178,389344
179,2190256
180,384096
181,2805728
182,1686448
183,2379664
184,1870928
185,363216
186,3040112
187,1942384
188,1721328
189,2001872
190,2842992
191,2349312
192,2485696
193,1176032
194,2096800
195,1784160
196,1819712
197,354640
198,1153200
199,2241968
200,2829376
201,2328256
202,2508816
203,2535728
204,1945168
205,336448
206,1021664
207,1934304
208,1604864
209,1922848
210,1664080
211,2041376
212,1913200
213,432176
214,2793200
215,2155776
216,2330752
217,3295184
218,2022064
219,2898048
220,1889520
221,2158544
222,1971920
223,2622688
224,2190864
225,2247008
226,2157584
227,2416192
228,360256
229,342976
230,1886704
231,407568
232,385280
233,2009440
234,2540720
235,2035072
236,2325664
237,2175104
238,3068336
239,1854272
240,1852608
241,2052672
242,1772848
243,2125744
244,1919856
245,293568
246,2650688
247,2099232
248,1886960
249,3238080
250,1874064
251,1789872
252,2491216
253,298592
254,2042208
255,1995680
256,2178800
257,1397632
258,2563056
259,1718944
260,2465136
261,2170992
262,2843280
263,3669504
264,1800672
265,1928528
266,2125216
267,2061920
268,316928
269,2394368
270,314576
271,1181136
272,2150576
273,1835904
274,2285552
275,1338256
276,2320896
277,3071456
278,1870464
279,2408032
280,2827376
281,542608
282,1719712
283,2263344
284,2678224
285,1735952
286,2014080
287,1943072
288,2053280
289,1978192
290,2025120
291,1114256
292,2292208
293,1821936
294,2135056
295,1087984
296,2248496
297,1978624
298,2281536
299,2141856
300,2006720
301,1732816
302,324672
303,2209200
304,2700368
305,1903344
306,2198720
307,2006160
308,2173184
309,2824512
310,339840
311,1474608
312,2564256
313,2365248
314,1755376
315,2449440
316,3155360
317,1679408
318,1895760
319,348800
320,2990960
321,1625488
322,1665280
323,2348480
324,2179024
325,1317792
326,2186240
327,1480512
328,1842736
329,1840720
330,2336928
331,2605664
332,2088912
333,1793328
334,1875408
335,2512496
336,325056
337,1194320
338,1820448
339,364752
340,1012448
