HICOM_PING_START run=18
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 115
WARNING: timeout at seq 118
WARNING: timeout at seq 139
Progress: 200/2000 (lost: 3)
WARNING: timeout at seq 263
Progress: 300/2000 (lost: 4)
Progress: 400/2000 (lost: 4)
Progress: 500/2000 (lost: 4)
Progress: 600/2000 (lost: 4)
Progress: 700/2000 (lost: 4)
Progress: 800/2000 (lost: 4)
Progress: 900/2000 (lost: 4)
Progress: 1000/2000 (lost: 4)
WARNING: timeout at seq 1035
Progress: 1100/2000 (lost: 5)
Progress: 1200/2000 (lost: 5)
Progress: 1300/2000 (lost: 5)
Progress: 1400/2000 (lost: 5)
Progress: 1500/2000 (lost: 5)
Progress: 1600/2000 (lost: 5)
Progress: 1700/2000 (lost: 5)
Progress: 1800/2000 (lost: 5)
Progress: 1900/2000 (lost: 5)
WARNING: timeout at seq 1935
WARNING: timeout at seq 1945
Progress: 2000/2000 (lost: 7)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    7 (0.350%)
RTL (us):
Mean:   1930.025    Std dev: 799.972
Min:     260.016    Max:     11099.408
P50:    1960.640    P95:     2947.344
P99:    4447.632    P99.9:   8490.688
Throughput: 518 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2398032
2,2702704
3,3112272
4,3148400
5,2329664
6,3003712
7,2384064
8,1978816
9,1621504
10,2390992
11,4238272
12,1901568
13,5526736
14,2547904
15,3126208
16,2034192
17,1801968
18,1780464
19,2252272
20,1182448
21,2029696
22,349152
23,1259872
24,2061488
25,3285600
26,1801456
27,5996944
28,1580912
29,2150304
30,4213680
31,3719472
32,466512
33,1956512
34,2427248
35,2277744
36,2357920
37,1955648
38,2032832
39,3028912
40,2142688
41,2417344
42,2686288
43,2302048
44,2062864
45,2038224
46,2181072
47,526064
48,2305008
49,3520384
50,2190768
51,2867152
52,5851056
53,381904
54,2518160
55,2263632
56,2027520
57,1734960
58,2343200
59,2677152
60,2114400
61,309520
62,1702944
63,1463472
64,2224672
65,1667424
66,343264
67,2125088
68,2152672
69,1572864
70,1822144
71,1863392
72,1779776
73,1723728
74,1995296
75,422512
76,1547968
77,2089232
78,1718544
79,1940720
80,299520
81,400320
82,3960736
83,2080768
84,3007776
85,1646160
86,1741664
87,1964592
88,1566656
89,474336
90,1480048
91,2100320
92,2338416
93,1945744
94,2653536
95,1937344
96,2221936
97,2069328
98,3027072
99,1789232
100,1756848
101,464480
102,2534080
103,2029088
104,1721312
105,2250064
106,2128576
107,2660880
108,1892384
109,1846752
110,2042128
111,1833536
112,1699072
113,1664336
114,1922272
115,293488
116,1785776
117,3213568
118,1136608
119,1873296
120,1633408
121,1704144
122,4087696
123,2077536
124,3389712
125,1520000
126,2021808
127,4266976
128,1720752
129,6573680
130,323456
131,2529728
132,3046096
133,3273248
134,2302208
135,2963376
136,3275488
137,2342064
138,2564224
139,1873152
140,289360
141,537840
142,1788080
143,2032128
144,2068480
145,1125168
146,2075488
147,1637072
148,2388608
149,2446400
150,2478528
151,1812560
152,1715056
153,2402656
154,358544
155,1806192
156,1724880
157,1985936
158,1358656
159,1966656
160,2025632
161,1687888
162,2558768
163,2525856
164,1905728
165,1801920
166,3414896
167,1897552
168,1762496
169,349952
170,2113472
171,1677648
172,432736
173,2248720
174,1859632
175,1785776
176,1771168
177,2162288
178,1736992
179,328144
180,2655616
181,2298448
182,2395168
183,1602096
184,2377504
185,2681776
186,1806128
187,1829024
188,1854704
189,407712
190,2193696
191,953696
192,1652064
193,2107616
194,2096592
