HICOM_PING_START run=23
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
WARNING: timeout at seq 843
WARNING: timeout at seq 855
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
WARNING: timeout at seq 1742
WARNING: timeout at seq 1755
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   1918.677    Std dev: 717.996
Min:     260.304    Max:     6204.240
P50:    1975.184    P95:     2952.480
P99:    3773.360    P99.9:   6124.064
Throughput: 521 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2670656
2,452656
3,1819952
4,1838448
5,2329344
6,2232064
7,3858512
8,1626736
9,1911504
10,1666160
11,2096592
12,1785408
13,1980816
14,1298096
15,2222016
16,294624
17,434544
18,1978096
19,291488
20,2339168
21,1790768
22,1864192
23,1838048
24,2083424
25,2294848
26,2780096
27,1949456
28,1891152
29,2198800
30,1828688
31,3466032
32,2036480
33,319664
34,2360928
35,2294352
36,1927856
37,1115408
38,2013152
39,358128
40,1042192
41,2183600
42,2651264
43,1434992
44,450400
45,1980800
46,1430000
47,2280384
48,2639568
49,2214768
50,1949440
51,1441600
52,1576752
53,2466848
54,1884928
55,276448
56,1640000
57,2039280
58,1378144
59,1621152
60,2215296
61,3098256
62,2069728
63,1873856
64,2181056
65,1542144
66,2223824
67,1037264
68,1856544
69,285408
70,1045680
71,2089696
72,1803168
73,2319760
74,2014384
75,1237936
76,2471088
77,2956880
78,1803456
79,3598688
80,1642320
81,2343360
82,2278272
83,1298688
84,2193600
85,2343760
86,2923280
87,2312176
88,2560128
89,2418832
90,1980624
91,1739008
92,293872
93,2232736
94,1858960
95,1735168
96,2188624
97,1741840
98,1746192
99,1659408
100,2057136
101,1845712
102,1924032
103,2226576
104,5403696
105,1915984
106,2074720
107,1204896
108,2364464
109,2709168
110,2454672
111,2329376
112,1065440
113,2212480
114,1835072
115,2035536
116,287280
117,1727184
118,2338624
119,1790208
120,2229376
121,2034032
122,2620912
123,2510464
124,2237600
125,2755472
126,2011056
127,2024272
