HICOM_PING_START run=30
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 509
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
WARNING: timeout at seq 1370
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2055.533    Std dev: 870.357
Min:     260.320    Max:     13785.760
P50:    2078.432    P95:     3369.536
P99:    4365.056    P99.9:   6210.688
Throughput: 486 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3439952
2,3331888
3,2661904
4,3228304
5,2406848
6,3041776
7,2269248
8,3080560
9,4077600
10,1731728
11,1925952
12,1652192
13,3874192
14,2347856
15,2231520
16,2809936
17,500384
18,2378336
19,2952304
20,2056048
21,1516480
22,5000096
23,2711744
24,3517760
25,2134768
26,1419728
27,6210688
28,2294656
29,2465536
30,2327968
31,1885488
32,2269664
33,559072
34,1988976
35,1073120
36,2388208
37,2618992
38,324112
39,2163040
40,2186064
41,3173168
42,2054192
43,1898320
44,316352
45,445344
46,2050320
47,3175120
48,3360192
49,1949600
50,416560
51,2035200
52,336720
53,2301184
54,1933872
55,3681024
56,1732736
57,1516272
58,2301968
59,3124992
60,2109296
61,4977264
62,2804192
63,2230896
64,3146528
65,3370480
66,1884640
67,2085104
68,4017632
69,367824
70,2528944
71,2180592
72,2290944
73,2029280
74,2113344
75,2612080
76,527200
77,1761296
78,354720
79,3253312
80,2357776
81,2519776
82,1853824
83,1469312
84,2717872
85,1916160
86,1925600
87,2431696
88,2511216
89,2592576
90,2525360
91,2217696
92,304064
93,389248
94,1872208
95,2896192
96,3874064
97,3708576
98,2756992
99,1823696
100,1840544
101,1940480
102,1919680
103,1798272
104,1740720
105,2532816
106,2409216
107,2497008
108,2035056
109,1822368
110,1935632
111,352064
112,1972560
113,3162320
114,2407584
115,2252208
116,2278496
117,3235408
118,3266240
119,399552
120,2185408
121,1897376
122,2029904
123,2688144
124,3520912
125,3310624
126,3550608
127,3022512
128,1913888
129,336208
130,498560
131,2282880
132,2113376
133,1974080
134,2014224
135,1084640
136,1877280
137,1848144
138,1878320
139,1792544
140,1889760
141,325040
142,2566912
143,2255408
144,2066928
145,1791120
146,2324320
147,2449824
148,379168
149,2117792
150,2306400
151,2734864
152,2133152
153,2128160
154,2224832
155,3044880
156,2379856
157,362480
158,2284272
159,1913936
160,5467408
161,3342736
162,2030320
163,2439968
164,1732976
165,2028096
166,1928672
167,312480
168,3008208
169,2118256
170,966592
171,2251056
172,320432
173,2805248
174,3132016
175,2710432
176,1948624
177,2027360
178,1732992
179,1901648
180,2163376
181,2174400
182,2560416
183,1908832
184,372288
185,2499600
186,3148544
187,2072592
188,2900160
189,2616288
190,1861024
191,2077120
192,1845264
193,2153088
194,1784608
195,2074096
196,298096
197,1100160
198,2162592
199,1039328
200,2223552
201,636896
202,2033344
203,2328816
204,2111072
205,557280
206,2655520
207,2358512
208,2710480
209,2007168
210,2151856
211,1955936
212,2307392
213,2871312
214,2189776
215,371344
216,2069392
217,2374752
218,1924864
219,1908944
220,2399984
221,3167104
222,1721712
223,2286416
224,334960
225,2043280
226,1811280
227,2101376
228,1291392
229,2215648
230,293008
231,1794160
232,2609856
233,1718384
234,1810288
235,2164144
236,2559824
237,2542576
238,2150384
239,2560912
240,2718112
241,1825696
242,1875696
243,2164016
244,1659632
245,1957712
246,1779280
247,2371872
248,1959120
249,1823920
250,2088032
251,2777856
252,3060128
253,3149680
254,4084464
255,3586656
256,2454032
257,1257248
258,2125584
259,2977888
260,1746608
261,1765824
262,3863344
263,497312
264,1732896
265,3313216
266,2138336
267,1689904
268,2075216
269,311936
270,2790976
271,2106496
272,1997296
273,299936
274,2638912
275,2050304
276,2310304
277,1736064
278,1994576
279,2108144
280,624720
281,2210624
282,2288080
283,1685456
284,1930224
285,1883376
286,1995552
287,3678352
288,1873552
289,1839136
290,2078656
291,2054512
292,2498384
293,1794848
294,1882544
295,1917664
296,2075424
297,327184
298,2759648
299,2491424
300,2104736
301,2195424
302,1883792
303,1900272
304,1694640
305,2301808
306,1220368
307,2004096
308,3775392
309,1805376
310,2410320
311,2730720
312,2171504
313,2349536
314,2195104
315,2664624
316,2312640
317,2853680
318,1830112
319,2135776
320,1803776
321,2555520
322,436816
323,2141760
324,2638032
325,510256
326,2252512
327,2125744
328,2201328
329,1783152
330,2312768
331,2732752
332,1925488
333,2072768
334,318864
335,2555664
336,2658320
337,2329072
338,2756864
339,2383024
340,2029088
341,1766032
342,2253408
343,2831280
344,1923600
345,2563680
346,2682592
347,1985392
348,475280
349,2030384
350,3308112
351,1831392
352,2267808
353,2632208
354,1883136
355,1989088
356,2629088
357,1912688
358,1900784
359,2225168
360,375968
361,2184288
362,1820752
363,3408560
364,2078288
365,2072864
366,1914112
367,2246160
368,1676912
369,2172960
370,2419520
371,2479648
372,1777056
373,3054560
374,2380496
375,1967904
376,1819552
377,2359072
378,2665360
379,1942288
380,2078928
381,1838144
382,2015552
383,1845280
384,2380144
385,1093392
386,1825312
387,1869312
388,2041424
389,1766320
390,2014704
391,2803872
392,1948960
393,1864112
394,1827328
395,2205488
396,1695840
397,1706160
398,1915312
399,2140080
400,2442848
401,900576
402,2188144
403,335424
404,2728176
405,1886048
406,2435872
407,308224
408,3659376
409,2779952
410,1912176
411,439280
412,2158128
413,1032768
414,2097968
415,1968704
416,1868432
417,3079280
418,2147664
419,1992832
420,1744960
421,2332112
422,2956496
423,1966688
424,2114720
425,1844608
426,1920768
427,337744
428,463152
429,2135088
430,1208000
431,2132016
432,2209168
433,460288
434,2556352
435,2394240
436,2259888
437,2260880
438,434528
439,2264832
440,3308672
441,1985664
442,2377792
443,2833504
444,3934416
445,1847248
446,2164624
447,2151824
448,479760
449,3202416
450,2638256
451,2049552
452,1811872
453,1961952
454,1738448
455,1988016
456,2700400
457,4699488
458,1868864
459,2047248
460,2289488
461,1750224
462,1906832
463,1908272
464,2234624
465,3645904
466,1757392
467,2298608
468,2769152
469,3619632
470,2375888
471,2096128
472,2221760
473,1954416
474,2260224
475,1908272
476,2118816
477,2993152
478,3587552
479,2566000
480,2156528
481,2587456
482,2652208
483,2064992
484,1910480
485,2148512
486,2879120
487,1839664
488,2240224
489,1864096
490,1798480
491,323488
492,472768
493,2080816
494,349024
495,449904
496,2067152
497,1266512
498,2158576
499,331376
500,1810864
501,1854544
502,2507536
503,1984624
504,2461568
505,573120
506,2161088
507,1903456
508,1837152
509,2166304
510,2164992
511,1785248
512,3558400
513,2945632
514,2078928
515,3138016
516,1623824
517,2505552
518,2661008
519,2837616
520,2087088
521,3014224
522,1612144
523,1875376
524,3762256
525,1701712
526,2186176
527,420512
528,448192
529,2151376
530,3000224
531,2085904
532,2367488
533,2872640
534,3507760
535,2807712
536,3678608
537,2155232
538,3509008
539,1946816
