HICOM_PING_START run=12
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
WARNING: timeout at seq 795
Progress: 800/2000 (lost: 1)
WARNING: timeout at seq 801
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
WARNING: timeout at seq 1572
WARNING: timeout at seq 1580
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2156.789    Std dev: 892.016
Min:     291.600    Max:     7965.840
P50:    2102.768    P95:     3438.784
P99:    4717.168    P99.9:   7948.496
Throughput: 464 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7965840
2,3051232
3,7948496
4,4744288
5,2196112
6,5022304
7,3139840
8,5016976
9,7061024
10,2249488
11,4591808
12,6300336
13,4472464
14,3332992
15,2044352
16,1692432
17,2179952
18,2277904
19,1465504
20,2208160
21,2197776
22,3106544
23,2340592
24,2137472
25,1587760
26,1976560
27,1478656
28,2059952
29,3431824
30,3181440
31,2522016
32,2208752
33,2334432
34,1829696
35,2145312
36,2431152
37,1528400
38,3596928
39,2116336
40,1672160
41,3492752
42,2091008
43,3304240
44,2274880
45,3547488
46,1924832
47,1601184
48,1955120
49,3192032
50,3266816
51,2371008
52,349600
53,3201088
54,466240
55,2534576
56,1833552
57,2424016
58,1858512
59,1589136
60,2172480
61,2994144
62,2256064
63,422272
64,3061328
65,1947552
66,3282768
67,3086576
68,3070544
69,2811904
70,1875760
71,630736
72,1990576
73,3203088
74,2425184
75,2310064
76,2272128
77,1462720
78,2109184
79,3483520
80,1454912
81,366720
82,3372048
83,1978464
84,1628832
85,2114720
86,2110672
87,2527936
88,466800
89,2515952
90,1982704
91,1853712
92,1978592
93,2173856
94,3070000
95,2292896
96,2116656
97,1636080
98,3446816
99,1902960
100,3519856
101,3090192
102,2431776
103,3463376
104,1836944
105,1526224
106,1901392
107,1565232
