HICOM_PING_START run=29
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 200
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2227.217    Std dev: 897.183
Min:     274.864    Max:     8510.816
P50:    2213.456    P95:     3521.504
P99:    4435.216    P99.9:   8479.264
Throughput: 449 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4547712
2,3684768
3,3371152
4,2420928
5,3761216
6,3681632
7,2797088
8,3542144
9,4218448
10,1916720
11,1524000
12,2058992
13,2158848
14,1669600
15,2328928
16,476064
17,2101760
18,2718304
19,1892736
20,2491040
21,546304
22,2375456
23,2003440
24,1658992
25,424816
26,2810544
27,2184944
28,2989696
29,2331456
30,512096
31,3468896
32,421536
33,3088496
34,408112
35,2523824
36,2567552
37,1579440
38,2113072
39,2019488
40,2627536
41,3273408
42,1942496
43,1491296
44,3461072
45,2552016
46,3166928
47,3488048
48,552160
49,1746128
50,428528
51,2591552
52,2115376
53,1562704
54,2262768
55,2316208
56,2967024
57,2201632
58,2184176
59,385456
60,1951120
61,1594320
62,3574368
63,2221760
64,1275216
65,3515728
66,2492240
67,3281680
68,1834640
69,2388496
70,2451664
71,2251808
72,1392544
73,3567264
74,2329072
75,1602960
76,2222144
77,2343776
78,3199440
79,2436000
80,491280
81,3012112
82,2065968
83,2203568
84,2124688
85,2762512
86,2287152
87,3376192
88,3308784
89,469664
90,581776
91,3169248
92,2015552
93,3079440
94,3162112
95,452144
96,2720464
97,3009696
98,2452992
99,3008304
100,2288176
101,3115360
102,3235808
103,3484672
104,2079120
105,2015696
106,550496
107,629456
108,3447408
109,2194672
110,2235376
111,1368272
112,2188752
113,1944432
114,685024
115,523392
116,3082320
117,2426048
118,3153168
119,2340480
120,2033248
121,2964048
122,2254528
123,2387872
124,2964144
125,513568
126,1894816
127,444928
128,2698352
129,2342080
130,2327584
131,2562416
132,3275648
133,1635696
134,2284736
135,1307904
136,2280208
137,3103680
138,3404288
139,2608336
140,442096
141,2646752
142,1848176
143,1634176
144,2362448
145,2324608
146,1736816
147,3749328
148,3271568
149,2335312
150,2270976
151,3323552
152,2561856
153,2604576
154,2093376
155,4775664
156,2589424
157,1462576
158,3574448
159,2339440
160,2098288
161,1568400
162,3822672
163,2283856
164,2580400
165,1595584
166,3210000
167,2369568
168,2906176
169,2666768
170,537600
171,3135920
172,493232
173,2540368
174,2212176
175,3196032
176,2030448
177,503824
178,3104000
179,420560
180,3297616
181,3147920
182,2294352
183,3119856
184,3071264
185,2511216
186,3633248
187,2325056
188,2314496
189,1765664
190,3238512
191,2019424
192,2419488
193,438464
194,2424288
195,1943472
196,1333120
197,2444992
198,3360848
199,3026208
200,2228304
201,1563360
202,2235824
203,3542640
204,2620864
205,3191904
206,2035632
207,1999696
208,3434912
209,624832
210,2325024
211,3372816
212,3459328
213,603488
214,2735504
215,2356768
216,1420688
217,2127648
218,2149584
219,3348512
220,2596320
221,2087312
222,2056736
223,3176656
224,2627552
225,407888
226,2910048
227,3357376
228,2323456
229,1648912
230,2011696
231,2051376
232,3129312
233,2266576
234,2252432
235,2304816
236,3222704
237,2667744
238,2790592
239,1860960
240,2215168
241,1857728
242,3214848
243,3103824
244,2710464
245,1829184
246,3076720
247,3553168
248,595088
249,1518320
250,2203312
251,2692976
252,2379440
253,1546480
254,2295040
255,1989552
256,1661488
257,406848
258,2592528
259,2404080
260,1421056
261,2063440
262,1727760
263,367136
264,2386080
265,2099248
266,3266928
267,2472800
268,2203424
269,2198896
270,1646656
271,2184320
272,2621552
273,2300992
274,1636480
275,2048160
276,3542144
277,3010416
278,2279936
279,2193536
280,2138688
281,3373888
282,2975728
283,2577408
284,2520976
285,1490176
286,2186192
287,2087152
288,1608688
289,2072288
290,3244256
291,3069872
292,2363104
293,2322640
294,2261216
295,1426272
296,2276864
297,3411120
298,1825744
299,2129952
300,408208
301,2533184
302,2138480
303,1990848
304,2431856
305,434464
306,2516080
307,1899440
308,2420848
309,3444320
310,479456
311,2567968
312,2143632
313,3514800
314,460464
315,3216672
316,3355632
317,472480
318,1669632
319,2135808
320,2115088
321,3182384
322,2883328
323,550848
324,2498896
325,2312496
326,2362976
327,1479264
328,2244240
329,2527040
330,1664432
331,2225760
332,1964448
333,3501104
334,631984
335,2591072
336,2109136
337,3179936
338,2687312
339,3132032
340,2197888
341,1659392
342,2014048
343,2998016
344,3256400
345,2586384
346,2264416
347,3371408
348,3388336
349,2363792
350,3124400
351,1884352
352,1502032
353,2231760
354,2784496
355,2482096
356,2293984
357,2467392
358,1702896
359,3373568
360,2359920
361,1601776
362,2044480
363,1930800
364,3134560
365,2679152
366,1937760
367,3106128
368,3615024
369,2477328
370,2233664
371,2290448
372,1692960
373,2275632
374,2276736
375,1637728
376,2041232
377,1660352
378,2142560
379,2285200
380,1546080
381,3633088
382,2322960
383,484016
384,3302192
385,2137488
386,1531376
387,2050912
388,2882960
389,2698768
390,448640
391,3157280
392,3219520
393,2084160
394,3368080
395,1777072
396,2277136
397,1961248
398,2631408
399,537440
400,2100656
401,3266480
402,2361040
403,2280064
404,479616
405,3574368
406,1943344
407,2046752
408,1501168
409,2261952
410,533376
411,3249904
412,2112912
413,3230944
414,1604096
415,1991984
416,3069904
417,2587168
418,3637376
419,2159184
420,1929392
421,3268896
422,3011264
423,516384
424,2506608
425,2403840
426,2527552
427,1609360
428,2319264
429,2385600
430,1659776
431,2053984
432,452944
433,1939888
434,2747584
435,1993360
436,2414656
437,3128624
438,3822944
439,2421968
440,2160896
441,3211664
442,2338336
443,3521504
444,2485152
445,2293632
446,1475056
447,1885312
448,3215584
449,2577280
450,3329056
451,2071536
452,1445504
453,2081456
454,1415408
455,2186144
456,402608
457,2403664
458,2220048
459,3058144
460,2421072
461,418144
462,3223824
463,3584656
464,2462576
465,2424432
466,3175008
467,2399184
468,2172640
469,2021216
470,2812208
471,2349312
472,2363760
473,2202992
474,1536224
475,2234432
476,2544624
477,2077904
478,470272
479,3207872
480,3179472
481,2623616
482,2009872
483,1810928
484,2467760
485,559824
486,2462672
487,1791968
488,2180384
489,3230608
490,1949376
491,422624
492,2035296
493,374128
494,1180592
495,2655680
496,1837280
497,2261360
498,444528
499,2972816
500,3326832
501,3585024
502,5837136
503,2659280
504,2045680
505,3098480
506,2293872
507,1842272
508,1715600
509,3636480
510,3601824
511,2178560
512,3220336
513,2737280
514,3532240
515,3400672
516,2100896
517,1663456
518,2097232
519,2281760
520,1745136
521,2145808
522,2114080
523,3757040
524,3252848
525,2660912
526,3469328
527,426064
528,2457984
529,2096208
530,3359760
531,2483760
532,1814816
533,1761360
534,3300496
535,2416896
536,2186656
537,3158112
538,2489600
539,1894688
540,1276832
541,1933952
542,3014128
543,2392288
544,1791424
545,1765984
546,2171648
547,2143888
548,2262448
549,2001744
550,2581312
551,2936192
552,2459712
553,523840
554,2535456
555,2321792
556,3633936
557,3401504
558,1517952
559,2107360
560,2023408
561,2403120
562,370736
563,2371104
564,2277728
565,1586720
566,2393040
567,592080
568,3168384
569,1876416
570,3105184
571,2325088
572,2135696
573,3837056
574,3086144
575,523568
576,2289760
577,1743440
578,1982464
579,1993872
580,449488
581,1430544
582,2277216
583,2221216
584,3182400
585,2534672
586,2010352
587,3187888
588,2058496
589,451072
590,3253248
591,536976
592,2400304
593,1915264
594,3659168
595,451136
596,2022992
597,619504
598,2283312
599,3239072
600,2520848
601,2175424
602,1637408
603,3232672
604,2398224
605,518400
606,2126144
607,1975792
608,689568
609,2398848
610,2027232
611,2493024
612,3349008
613,1939936
614,2492736
615,3238480
616,2460032
617,1989936
618,3362416
619,2606016
620,3203024
621,2323456
622,3122320
623,574656
624,2657200
625,2385360
626,1351472
627,2008080
628,3218384
629,2891760
630,2355808
631,1993200
632,3933776
633,2330992
634,3459424
635,1916448
636,3345632
637,1535184
638,2378928
639,2072032
640,3477904
641,2564624
642,2005392
643,2194432
644,2961872
645,2499360
646,2008864
647,1509232
648,2070784
649,3054448
650,437936
651,2627040
652,2287296
653,2053824
654,3345744
655,1829616
656,2266544
657,451760
658,2932336
659,2044672
660,1618032
661,2158544
662,2017168
663,2981184
664,2527664
665,2399360
666,1968944
667,552176
668,1588464
669,1988672
670,3093600
671,2426192
672,532944
673,2715776
674,3086032
675,1896912
676,2316000
677,2152176
678,2062912
679,3377120
680,2437488
681,2235920
682,2371904
683,1478544
684,2229584
685,2173248
686,2949600
687,2694688
688,465136
689,2320784
690,2092416
691,526224
692,553136
693,2064656
694,1956848
695,2474704
696,531184
697,2778000
698,2131200
699,3524704
700,3006832
701,2556656
702,2050576
703,610272
704,3551168
705,1790560
706,3012304
707,2780912
708,484656
709,2471008
710,2143728
711,3111008
712,500240
713,1983056
714,2802112
715,2964928
716,2428672
717,511200
718,2126800
719,2288336
720,1419648
721,2342192
722,1785856
723,3311008
724,423792
725,2736368
726,1765200
727,2535008
728,3576576
729,2159248
730,1990704
731,2322368
732,2105168
733,2194128
734,1609312
735,1996416
736,1585968
737,3917840
738,3388992
739,397920
740,3117984
741,2004960
742,1388464
743,2074048
744,1577056
745,1918048
746,3085952
747,2578240
748,3220688
749,2181440
750,3250688
751,1541680
752,2205632
753,3041664
754,2545232
755,553536
756,2347600
757,2293616
758,2040944
759,642320
760,3211584
761,3207856
762,2375536
763,2322608
764,2124000
765,1401056
766,1940272
767,1523056
768,2231216
769,3200096
770,3324192
771,2728048
772,3197088
773,2183024
774,3719056
775,2002288
776,2459520
777,3099120
778,2039424
779,3087088
780,2556400
781,416000
782,2457152
783,2206608
784,2198336
785,368256
786,2391984
787,1999360
788,3409456
789,2468384
790,3431040
791,2199568
792,1577136
793,2296176
794,543600
795,517728
796,2409872
797,1996656
798,1697456
799,1923968
800,580496
801,2412368
802,1877408
803,521024
804,1468064
805,457744
806,3005680
807,2505696
808,2179200
809,2807120
810,2438784
811,421008
812,2947360
813,1882736
814,2783136
815,3138544
816,2227312
817,2020272
818,623120
819,2391216
820,2640736
821,2558976
822,2172688
823,2326544
824,1468400
825,2097824
826,1475024
827,2180656
828,2291792
829,1478768
830,3430576
831,2230096
832,1497632
833,2081760
834,3234336
835,3241408
836,2936192
837,3277632
838,2102416
839,2890096
840,2207120
841,3518544
842,2213456
843,1528176
844,2153344
845,3052944
846,2965296
847,3162832
848,3458288
849,2078208
850,3645008
851,1361152
852,2094672
853,3315104
854,3198176
855,2591600
856,2177648
857,1839856
858,2556720
859,1938416
860,2926032
861,2534848
862,2145504
863,521536
864,3302400
865,3749840
866,1899808
867,1512576
868,2264832
869,2156880
870,1372704
871,2096848
872,1687296
873,2275408
874,1762720
875,2417232
876,2184560
877,2670256
878,3099488
879,3000336
880,2252832
881,1984544
882,568560
883,2340816
884,1699616
885,1866480
886,1570672
887,1992816
888,3121216
889,3382048
890,2300432
891,2180864
892,2145792
893,1487616
894,578528
895,2605776
896,2071696
897,3571280
898,711328
899,3585744
900,3224288
901,519472
902,2763488
903,2406928
904,2282640
905,1710512
906,2750672
907,1894368
908,2484448
909,2036080
910,2122240
911,3165504
912,2333856
913,2052224
914,3172528
915,526224
916,479296
917,2294816
918,1918720
919,2197760
920,2155856
921,2538240
922,1513504
923,2137696
924,2017104
925,2391872
926,449936
927,3210608
928,2125392
929,2498800
930,2928336
931,566224
932,386656
933,2387392
934,431936
935,2872656
936,1862528
937,3562400
938,2906496
939,3291264
940,1857760
941,1581344
942,2257248
943,2160496
944,1470768
945,2229008
946,1733600
947,3227584
948,2427216
949,2126688
950,2760880
951,2238240
952,3030928
953,2376224
954,2137216
955,2082384
956,1444208
957,3492624
958,2465520
959,2401488
960,1416000
961,2055152
962,1665280
963,2123440
964,2582720
965,1450800
966,2160528
967,1909056
968,634864
969,1975152
970,2507552
971,547168
972,2740656
973,3300864
974,2224720
975,2871504
976,2356576
977,1982592
978,1544592
979,2299600
980,2098624
981,1678992
982,3515728
983,2002496
984,1824016
985,1767552
986,1508016
987,2171696
988,2815984
989,2258272
990,2018704
991,1408976
992,1975424
993,3087392
994,2492864
995,2209104
996,2240048
997,3267232
998,2358112
999,3203072
1000,3069104
1001,1928816
1002,2014352
1003,1752704
1004,371344
1005,3233360
1006,2378416
1007,2045744
1008,3067680
1009,2474704
1010,2127008
1011,3612992
1012,1586016
1013,2254320
1014,1988320
1015,3089296
1016,2662240
1017,1714752
1018,1801216
1019,1983600
1020,2589600
1021,1472800
1022,3576896
1023,1845488
1024,3312752
1025,527280
1026,1685872
1027,1808752
1028,2850288
1029,494640
1030,1584928
1031,2025840
1032,1703008
1033,2043920
1034,505696
1035,3126048
1036,2161824
1037,1685968
1038,1781280
1039,2978160
1040,487776
1041,3165200
1042,2609104
1043,301408
1044,3279520
1045,502672
1046,2771552
1047,2258672
1048,3120208
1049,3198704
1050,2508416
1051,2132448
1052,2424976
1053,3169088
1054,625904
1055,438912
1056,2032992
1057,2209232
1058,1586112
1059,3625824
1060,2398128
1061,2011600
1062,2456480
1063,3549856
1064,540384
1065,2437568
1066,2009904
1067,2455024
1068,2904656
1069,2297376
1070,3414688
1071,3170048
1072,2434608
1073,2355136
1074,2045536
1075,1757200
1076,2268864
1077,1924416
1078,710048
1079,2170880
1080,3190768
1081,2526176
1082,1980320
1083,1522112
1084,2349136
1085,1977216
1086,2113696
1087,2094096
1088,1197888
1089,2165440
1090,3306768
1091,1456176
1092,2094000
1093,3350320
1094,2378720
1095,3667232
1096,2013792
1097,3094368
1098,514432
1099,1647728
1100,3199520
1101,2130960
1102,2705232
1103,2377984
1104,2531840
1105,2298768
1106,1418896
1107,2056352
1108,1327264
1109,2371552
1110,2367968
1111,2970048
1112,2805824
1113,380576
1114,2439792
1115,2269056
1116,1399664
1117,2249392
1118,2154336
1119,3351040
1120,3464304
1121,2230496
1122,2486096
1123,3177904
1124,3425024
1125,2358208
1126,2324928
1127,2295184
1128,1562320
1129,2080784
1130,2166944
1131,3320416
1132,2183712
1133,3411104
1134,1890144
1135,2965600
1136,3232576
1137,3268288
1138,2068416
1139,2854464
1140,2584624
1141,3293424
1142,1884336
1143,3519712
1144,3369584
1145,2373488
1146,2238064
1147,2331280
1148,1448960
1149,2373200
1150,1820752
1151,2717408
1152,485840
1153,2337920
1154,2231424
1155,2103968
1156,3292320
1157,2152528
1158,2483632
1159,3224016
1160,2192800
1161,2063360
1162,1929280
1163,2561120
1164,499088
1165,2708960
1166,3484336
1167,2029984
1168,1627232
1169,3371792
1170,2849968
1171,2578800
1172,1938896
1173,3107744
1174,2474320
1175,428720
1176,2380352
1177,2220288
1178,3169504
1179,2435200
1180,3736864
1181,641360
1182,4540576
1183,3313664
1184,508608
1185,1683280
1186,437552
1187,3150240
1188,2366720
1189,1964592
1190,1981472
1191,2951280
1192,2278304
1193,1638016
1194,2154720
1195,3171056
1196,3026080
1197,2564352
1198,2159600
1199,1498480
1200,3308848
1201,2427888
1202,2052096
1203,3177376
1204,2583248
1205,2330128
1206,2377872
1207,2328816
1208,1583248
1209,2305424
1210,2581296
1211,1626032
1212,1920400
1213,3125632
1214,2337008
1215,3507248
1216,2135248
1217,1965872
1218,648208
1219,2149328
1220,3403488
1221,2283168
1222,2196176
1223,3228928
1224,3219792
1225,2268176
1226,2354064
1227,2462608
1228,2074832
1229,2977824
1230,2577984
1231,360688
1232,2943632
1233,1912512
1234,2823424
1235,2543392
1236,1867936
1237,2463216
1238,385552
1239,2255824
1240,2096848
1241,2366064
1242,490624
1243,3009424
1244,412112
1245,2402208
1246,1934672
1247,3473152
1248,2462384
1249,2089552
1250,1815904
1251,2086800
1252,493360
1253,3553040
1254,383920
1255,3899488
1256,2632336
1257,2296112
1258,2081824
1259,3499376
1260,2814720
1261,4046752
1262,2726464
1263,406256
1264,3768352
1265,3137888
1266,371632
1267,3001936
1268,2263968
1269,2326384
1270,2258720
1271,1486880
1272,2341168
1273,2526768
1274,3803920
1275,2604720
1276,691024
1277,3153792
1278,2431072
1279,2228368
1280,1475600
1281,2204160
1282,2164080
1283,3130464
1284,2721760
1285,3523184
1286,3174512
1287,2285328
1288,1538528
1289,2103728
1290,2941968
1291,485264
1292,1462448
1293,2227696
1294,2146992
1295,1760224
1296,2161728
1297,2053840
1298,3020944
1299,2160672
1300,512688
1301,2125280
1302,2161472
1303,1778880
1304,2276176
1305,2156320
1306,3111648
1307,2579328
1308,2166064
1309,570816
1310,2006448
1311,2008448
1312,2634624
1313,531264
1314,2168960
1315,462752
1316,3183680
1317,2148336
1318,3134672
1319,3198016
1320,2622848
1321,1941312
1322,1437680
1323,2451392
1324,2040000
1325,3347840
1326,3169472
1327,3174864
1328,3200704
1329,2275696
1330,1907328
1331,2693360
1332,403472
1333,2294784
1334,2665776
1335,2111280
1336,2952496
1337,2681472
1338,2094736
1339,3015440
1340,2521200
1341,3175584
1342,2075920
1343,1474560
1344,2241920
1345,1993792
1346,2980208
1347,2405264
1348,2288800
1349,1464608
1350,3336592
1351,2073344
1352,622096
1353,2415168
1354,3548400
1355,1127552
1356,2311696
1357,1493248
1358,1964384
1359,1234192
1360,1968064
1361,2972896
1362,557632
1363,3217824
1364,474560
1365,1658112
1366,363008
1367,3355552
1368,2285984
1369,440704
1370,2209824
1371,1952352
1372,3497952
1373,2681360
1374,438160
1375,2323312
1376,1912864
1377,2964288
1378,2951424
1379,1876464
1380,1852224
1381,3490048
1382,2153808
1383,2947024
1384,490496
1385,1689552
1386,3265056
1387,2415392
1388,1223264
1389,2056816
1390,1626688
1391,414432
1392,2440000
1393,2511248
1394,3039600
1395,2499456
1396,2025776
1397,1564112
1398,2134640
1399,2260800
1400,3241456
1401,2310144
1402,2147552
1403,2876944
1404,2453728
1405,2102064
1406,1802544
1407,2161488
1408,2572464
1409,2227936
1410,1673968
1411,1885728
1412,1378688
1413,2196864
1414,2804224
1415,521456
1416,1551680
1417,2068256
1418,1629760
1419,2185040
1420,2433856
1421,1633184
1422,2245424
1423,1868352
1424,2443952
1425,1915696
1426,2226112
1427,2207056
1428,381472
1429,2879168
1430,2216624
1431,1608992
1432,1968672
1433,2028224
1434,2503824
1435,3013104
1436,488704
1437,3598784
1438,3504064
1439,2085680
1440,1549920
1441,1954944
1442,3066768
1443,2582192
1444,1606624
1445,3219280
1446,3146400
1447,2342976
1448,4632656
1449,3071120
1450,2066528
1451,706032
1452,2884560
1453,2075728
1454,3098224
1455,2642176
1456,478432
1457,2933616
1458,2205392
1459,2233200
1460,1596576
1461,433808
1462,2672528
1463,2378672
1464,1595520
1465,2247792
1466,2019648
1467,3139600
1468,2613264
1469,2100912
1470,3081232
1471,560320
1472,440976
1473,3242992
1474,376288
1475,3124528
1476,2181488
1477,3055968
1478,2683392
1479,486864
1480,2365664
1481,2380016
1482,440928
1483,1855408
1484,1411104
1485,2038528
1486,1704448
1487,1907888
1488,2062656
1489,644720
1490,2438448
1491,3255984
1492,2379344
1493,2192016
1494,2061056
1495,2679568
1496,402096
1497,2668960
1498,3518112
1499,373040
1500,2375792
1501,2331520
1502,2787952
1503,2684432
1504,1942048
1505,3218880
1506,3031536
1507,2468704
1508,2318880
1509,2138944
1510,2886480
1511,2771408
1512,2169776
1513,642352
1514,3811920
1515,3854880
1516,3315872
1517,414672
1518,2773920
1519,2052368
1520,1838256
1521,2289136
1522,2483792
1523,2307696
1524,1744768
1525,2267168
1526,1572608
1527,3184672
1528,2574160
1529,3221760
1530,3226096
1531,452960
1532,1409152
1533,2391920
1534,2483568
1535,2961168
1536,2300144
1537,2324096
1538,3094032
1539,3250992
1540,2604112
1541,2108592
1542,3167264
1543,2227968
1544,3733152
1545,3422640
1546,2087632
1547,391200
1548,2492736
1549,441200
1550,3376240
1551,2266688
1552,1967120
1553,2155632
1554,2029312
1555,1858688
1556,3019632
1557,2648016
1558,2281568
1559,2300416
1560,1439600
1561,2168000
1562,1452512
1563,2354080
1564,2428400
1565,1512416
1566,2193792
1567,2654144
1568,2544928
1569,1933232
1570,558096
1571,3557024
1572,1639600
1573,2019504
1574,1357888
1575,1973952
1576,3117024
1577,501680
1578,1435696
1579,2121728
1580,5063856
1581,2490080
1582,2151968
1583,2384816
1584,3384384
1585,1787552
1586,2983008
1587,2179520
1588,2056304
1589,1560528
1590,2396928
1591,2081136
1592,4134608
1593,2862672
1594,2316944
1595,1537520
1596,2160208
1597,1977600
1598,2560192
1599,1745824
1600,2027152
1601,412336
1602,328928
1603,2300624
1604,1887808
1605,2101296
1606,1899440
1607,2131984
1608,1794576
1609,2768240
1610,366592
1611,2991600
1612,1883952
1613,2136448
1614,332272
1615,2041712
1616,464992
1617,2892192
1618,1814240
1619,2915760
1620,2854512
1621,1673056
1622,591904
1623,2105472
1624,2152400
1625,1905696
1626,2714576
1627,3555136
1628,3203088
1629,1625152
1630,1542160
1631,1902784
1632,1787056
1633,2105776
1634,1986656
1635,1287888
1636,1695440
1637,1732416
1638,1556800
1639,2116752
1640,3342784
1641,1707824
1642,2175568
1643,1762864
1644,2653888
1645,2356544
1646,431712
1647,2005008
1648,1251456
1649,2067296
1650,1525232
1651,1944672
1652,1772752
1653,2099488
1654,535968
1655,3421632
1656,1875696
1657,1401456
1658,1889504
1659,373264
1660,1693872
1661,2415936
1662,1772336
1663,2463584
1664,1837552
1665,2651184
1666,2485984
1667,389440
1668,3121456
1669,2011344
1670,2896976
1671,311680
1672,2301760
1673,1797632
1674,2604240
1675,1996400
1676,1738032
1677,2244080
1678,1650608
1679,1952896
1680,1809808
1681,2103920
1682,1852128
1683,496656
1684,376240
1685,1766160
1686,2937280
1687,2322688
1688,1940496
1689,3280144
1690,3785184
1691,2271072
1692,1818032
1693,2200048
1694,2019760
1695,3270944
1696,2141824
1697,1912096
1698,2396896
1699,1672256
1700,1638672
1701,2222064
1702,1966848
1703,2846672
1704,3924928
1705,2386336
1706,1733360
1707,681600
1708,386448
