HICOM_PING_START run=8
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
WARNING: timeout at seq 371
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2496.239    Std dev: 955.873
Min:     296.064    Max:     9466.544
P50:    2403.360    P95:     3879.840
P99:    4685.056    P99.9:   6856.496
Throughput: 401 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3769312
2,5250128
3,4923648
4,3748880
5,3307248
6,4361536
7,3436880
8,872416
9,3173136
10,2296928
11,2550752
12,3578864
13,3226080
14,2122176
15,3131376
16,2489776
17,3250704
18,2564880
19,2972192
20,1911776
21,3183568
22,2427840
23,635840
24,2393568
25,3805632
26,3701152
27,3637504
28,2385296
29,2930496
30,2641360
31,2570720
32,2341840
33,1755904
34,3580480
35,2333728
36,2581792
37,3585824
38,3836176
39,3495888
40,2429424
41,2492928
42,3811712
43,1756192
44,3457424
45,2366528
46,4223648
47,3876336
48,712704
49,2882144
50,3229776
51,2599920
52,3843200
53,3675408
54,760448
55,2988352
56,3750240
57,3590112
58,3701072
59,3296656
60,688848
61,2648144
62,2268400
63,1585072
64,3241248
65,2497664
66,1407136
67,2512528
68,2853456
69,4062688
70,3344800
71,4054944
72,3086032
73,2321920
74,2366000
75,2673216
76,3413904
77,3103728
78,611520
79,3906512
80,3227616
81,3340736
82,3446224
83,2360432
84,2541088
85,3931280
86,2194384
87,3397136
88,2314112
89,3382432
90,2226272
91,2306208
92,3097792
93,2403056
94,3654640
95,3042992
96,2390944
97,1714160
98,3145696
99,2385232
100,2542992
101,3987264
102,3666688
103,3470160
104,643312
105,2615040
106,2295408
107,1712176
108,512592
109,3123472
110,3567728
111,3702640
112,3501744
113,3282944
114,2606464
115,1531520
116,3372464
117,2444864
118,2303520
119,1666688
120,3395856
121,2028736
122,2158800
123,3442576
124,473520
125,3189984
126,3732048
127,2898880
128,2557440
129,1829520
130,3803504
131,3579888
132,2203024
133,2267728
134,1503760
135,2154128
136,3548528
137,1456512
138,1930704
139,3238432
140,2362576
141,484688
142,2607232
143,4147760
144,2016272
145,2716992
146,1759888
147,3600288
148,2274704
149,2291264
150,1558256
151,3477744
152,2307872
153,2722352
154,1715872
155,2238544
156,2480560
157,1662752
158,3932720
159,592832
160,2504912
161,2475184
162,2697440
163,2412720
164,3919200
165,2588880
166,3610144
167,3804944
168,3452768
169,2528816
170,3408608
171,596352
172,4524960
173,3241424
174,464672
175,3633792
176,1883328
177,2124864
178,2340448
179,2662512
180,3498256
181,1840416
182,3914768
183,492576
184,2361472
185,2307120
186,2308928
187,3518160
188,2238384
189,3185152
190,2220112
191,3745616
192,1652592
193,3673248
194,2223536
195,3721184
196,2336080
197,3408912
198,3286384
199,2519104
200,2569600
201,3004000
202,2065264
203,1864448
204,3948208
205,3782432
206,2979216
207,532256
208,2700736
209,3672512
210,3855520
211,3319920
212,412816
213,3124272
214,3503504
215,4422304
216,2870288
217,478992
218,2579888
219,2716528
220,2394080
221,3628192
222,3492320
223,3941936
224,3669648
225,1631744
226,3663408
227,2342560
228,2172608
229,3899392
230,4112240
