HICOM_PING_START run=13
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 291
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
WARNING: timeout at seq 1904
WARNING: timeout at seq 1916
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2474.647    Std dev: 1007.456
Min:     302.128    Max:     8711.184
P50:    2375.264    P95:     3883.728
P99:    5300.832    P99.9:   8166.144
Throughput: 404 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3502912
2,3573104
3,2363296
4,2549424
5,2915760
6,2233312
7,3893184
8,2968672
9,2463184
10,3519680
11,2100192
12,496096
13,2698000
14,2172912
15,1174480
16,2223968
17,3326592
18,2262752
19,1899936
20,1964160
21,3023168
22,2562416
23,624208
24,3161232
25,2059936
26,3352864
27,2263888
28,3165520
29,2053296
30,1400512
31,2170000
32,2999376
33,2135264
34,2050896
35,1142976
36,2483712
37,1664576
38,3772448
39,3726752
40,3797568
41,607792
42,2351664
43,4325840
44,460336
45,2487392
46,3333488
47,1952992
48,2863376
49,4596848
50,1256544
51,2374592
52,2989632
53,2108064
54,2055536
55,1137056
56,2420944
57,3302960
58,2295984
59,688048
60,2471040
61,2482016
62,2160032
63,2287744
64,2173072
65,2308176
66,1948896
67,484160
68,2596656
69,2650992
70,492144
71,2287680
72,542512
73,3549648
74,2158000
75,3330048
76,437888
77,655008
78,1509984
79,3639952
80,3453376
81,547616
82,2271200
83,2709600
84,1749952
85,3582832
86,3676960
87,2145504
88,606304
89,3638352
90,448752
91,2583712
92,2562624
93,1951344
94,481952
95,2214384
96,1573008
97,2443520
98,2251792
99,1391312
100,2417296
101,2561024
102,486112
103,4538624
104,3162112
105,7182592
106,3824064
107,2504640
108,2170608
109,1329616
110,2062752
111,2654848
112,3601680
113,2657872
114,2086512
115,2597616
116,3067040
117,486000
118,2587392
119,3902944
120,1957168
121,3143376
122,2110624
123,3912928
124,1995840
125,1570608
126,3264384
127,2354672
128,3276416
129,2311760
130,499840
131,3093216
132,2186736
133,2660608
134,2526080
135,3160832
136,2913744
137,3026240
138,1920096
139,1491664
140,2281712
141,2370208
142,2148896
143,2058384
144,3826704
145,3625424
146,1452688
147,2494224
148,2242400
149,3697952
150,1459856
151,608160
152,3259552
153,2092544
154,2398656
155,3829440
156,1782080
157,3298416
158,2090112
159,3485504
160,2157104
161,373312
162,2420768
163,2342240
164,3339904
165,2411632
166,1882800
167,3711120
168,3575680
169,2864752
170,2152480
171,2135760
172,2878032
173,2306848
174,2269872
175,2169712
176,1868016
177,2834736
178,2620992
179,4521952
180,2527200
181,2249120
182,1408336
183,3367712
184,2176960
185,3057488
186,506448
187,2448352
188,1988480
189,2610752
190,2573552
191,3563360
192,1443088
193,2209456
194,1364688
195,3351904
196,2690336
197,3897808
198,2136848
199,3243840
200,3424240
201,4233728
202,2558272
203,2160832
204,1516976
205,2094624
206,3594240
207,3449248
208,390976
209,3070400
210,2462432
211,3505936
212,2227856
213,3891808
214,2301936
215,2271568
216,2075472
217,2787952
218,2275104
219,591824
220,2629680
221,603792
222,2165696
223,456672
224,3611120
225,2153216
226,2289536
227,3275280
228,2987600
229,2486656
230,1973584
231,382976
232,2074880
233,2893088
234,2821520
235,1929552
236,3520064
237,2331392
238,1934720
239,2156288
240,2761328
241,3250144
242,3610080
243,2201008
244,5374400
245,2855136
246,2517152
247,2976208
248,2283440
249,2066672
250,2802880
251,2777664
252,2016720
253,3618208
254,1155456
255,1964768
256,3359904
257,5747984
258,5300832
259,712528
260,1209312
261,1655488
262,5580192
263,2753840
264,3883312
265,2774160
266,7300336
267,370240
268,2051584
269,3302160
270,4065232
271,3829200
272,3912480
273,2473472
274,3784448
275,3053696
276,372032
277,4814512
278,1517360
279,5073008
280,5637776
281,4324560
282,489024
283,2757360
284,2068416
285,1251232
286,1941552
287,348176
288,3841984
