HICOM_PING_START run=15
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 176
WARNING: timeout at seq 188
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
WARNING: timeout at seq 368
Progress: 400/2000 (lost: 3)
Progress: 500/2000 (lost: 3)
Progress: 600/2000 (lost: 3)
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2577.753    Std dev: 1090.329
Min:     307.088    Max:     9181.552
P50:    2475.840    P95:     4036.736
P99:    5838.624    P99.9:   8603.328
Throughput: 388 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2390176
2,2304672
3,1345328
4,3847824
5,4425936
6,506640
7,2645808
8,3409312
9,3170688
10,3792416
11,2061152
12,2031872
13,792640
14,2991152
15,4279776
16,482128
17,3632912
18,399600
19,4526704
20,3918624
21,2914176
22,4098208
23,3891248
24,3327024
25,607424
26,2959744
27,3093088
28,3910832
29,9181552
30,4595680
31,3345376
32,3802736
33,544704
34,3408416
35,5570000
36,2435360
37,2440224
38,3648016
39,3307280
40,2313728
41,542544
42,3274064
43,3186688
44,2344320
45,2475840
46,3173776
47,1869904
48,1979904
49,1643168
50,3245232
51,2139184
52,3204992
53,2808864
54,545744
55,2574992
56,3789104
57,625520
58,3011664
59,3157680
60,421584
61,2907248
62,3530048
63,2264480
64,3511744
65,3149520
66,2628640
67,3071408
68,2496128
69,2788688
70,1497264
71,2178016
72,2721856
73,3814384
74,3413296
75,2290000
76,3647136
77,2835888
78,2541968
79,2206368
80,1715776
81,3757616
82,3664576
83,3464352
84,2209520
85,2132992
86,3488032
87,2229344
88,3742384
89,4109664
90,3321312
91,3515760
92,549200
93,2691184
94,2437792
95,3352272
96,3124880
97,2484496
98,3435792
99,2421824
100,3363376
101,2541568
102,530480
103,2651216
104,2317104
105,2080624
106,1646672
107,2040128
108,3157776
109,2327360
110,2511872
111,2742272
112,1541632
113,2191424
114,3852032
115,2109808
116,3177856
117,587456
118,2857696
119,2220768
120,396240
121,566160
122,4025056
123,3625760
124,2071088
125,2529648
126,3017056
127,2656208
128,577824
129,2693664
130,3998544
131,663728
132,2373216
133,2077088
134,1641216
135,2181520
136,2526896
137,1447216
138,2156816
139,3133408
140,2386480
141,3269664
142,2213392
143,2706688
144,3489616
145,1728944
146,4517200
147,2683792
148,3779168
149,2266160
150,2193808
151,1516096
152,563664
153,2441760
154,498752
155,2802048
156,1985696
157,3093360
158,4585968
159,1890272
160,3093712
161,2474480
162,1872192
163,3322432
164,3594784
165,2472240
166,3549504
167,1466512
168,2209792
169,3896144
170,2509392
171,1528432
172,608880
173,2641888
174,3545616
175,2292880
176,1718016
177,1996144
178,2165952
179,1093168
180,3455824
181,2532912
182,2425872
183,5481360
184,3221056
185,2277872
186,368720
187,2275184
188,1827600
189,4992048
190,2266112
191,407984
192,4667456
193,5151936
194,2966512
195,2713504
196,3380672
197,3526928
198,3579776
199,3647440
200,3910416
201,3703504
202,3678064
203,651776
204,2325312
205,3748912
206,3494736
207,2126832
208,2279712
209,1432528
210,3658784
211,2465728
212,2772160
213,3736016
214,755872
215,649328
216,2727904
217,2700048
218,4034672
219,2521088
220,2314256
221,4048240
222,2529072
223,1598944
224,3183376
225,582432
226,3424608
227,576928
228,2895856
229,806544
230,3555088
231,3061024
232,2609616
233,2375632
234,2433584
235,1555824
236,622624
237,2807136
238,3421072
239,2665312
240,2656768
241,3479776
242,3514352
243,1555648
244,3496208
245,3903904
246,2222384
247,2656432
248,3933088
249,2324144
250,3612544
251,1463616
252,2313152
253,651824
254,3158128
255,4027728
256,3633952
257,3356256
258,3802096
259,3511200
260,3993968
261,3133440
262,712592
263,2695536
264,3865760
265,2495968
266,2403632
267,4360352
268,3826752
269,631504
270,5024112
271,3879152
272,499744
273,4347760
274,2846624
275,3701568
276,3414928
277,515392
278,2660128
279,461936
280,3388240
281,482048
282,2589120
283,2485728
284,2356016
285,2697280
286,2609248
287,2603904
288,1434736
289,494704
290,2909312
291,2304336
292,549280
293,2778704
294,3852480
295,3409632
296,3684400
297,505824
298,3361760
299,1561072
300,4017232
301,3366192
302,4072544
303,3894000
304,529344
305,2757440
306,427440
307,2786304
308,461056
309,2990912
310,2488800
311,2344992
312,1504672
313,2213504
314,3617520
315,2000560
316,2888000
317,2620240
318,3683584
319,4069056
320,2507248
321,2695888
322,1659936
323,3508624
324,531728
325,3189776
326,3225952
327,3598240
328,419504
329,2822992
330,2524544
331,2991552
332,2950848
333,1934512
334,616160
335,1953632
336,5566736
337,5521792
338,5407792
339,4558896
340,4014944
341,6328768
342,2494384
343,1081168
344,5422224
345,553472
346,7302032
347,4719040
348,2702240
349,4566496
350,2501264
351,1099248
352,5091184
353,2480928
354,4933856
355,1159072
356,3131088
357,4016608
358,5975392
359,3747424
360,3297088
361,4003920
362,4186608
363,4555616
364,2488704
365,5256624
366,7511472
367,2570960
368,3166256
369,8234864
370,3720048
371,5417408
372,2238896
373,1422928
374,3611648
375,1889120
376,3450192
377,3533952
378,6467152
379,4679008
380,3497136
381,2185600
382,521568
383,2006624
384,1646112
385,2218160
386,384688
387,3418480
388,2381616
389,2526368
390,2978528
391,2132192
392,1252608
393,2480208
394,3053760
395,519184
396,2474144
397,2798336
398,3541184
399,1937328
400,3137136
401,2631392
402,1996368
403,3206384
404,1967408
405,3370608
406,2085200
407,3162112
408,2358992
409,536288
410,2251584
411,2053008
412,2675216
413,3001696
414,1964864
415,2932784
416,2403888
417,473968
418,3006512
419,2277344
420,3373552
421,2310736
422,3324800
423,2266320
424,3253936
425,2982912
426,2394000
427,2422208
428,3699456
429,1239376
430,2121984
431,2107792
432,1740832
433,1466016
434,1987712
435,3182752
436,2512704
437,3389616
438,2138640
439,3224080
440,532336
441,2244400
442,2295200
443,2015536
444,691136
445,2706832
446,2252352
447,1789120
448,2394800
449,2890144
450,3921440
451,2864048
452,2482896
453,423904
454,3129072
455,2239824
456,2663744
457,2114976
458,2418144
459,3404256
460,356528
461,3348640
462,2509392
463,1834464
464,2137168
465,2038400
466,3467936
467,3310896
468,2097216
469,2073360
470,3362048
471,2353712
472,3074240
473,2330464
474,3331872
475,2364640
476,2280400
477,1546384
478,2171408
479,1579808
480,2282976
481,2409392
482,2772496
483,468400
484,2451184
485,509936
486,2948240
487,2023216
488,1601056
489,2004512
490,2893328
491,2388048
492,1948688
493,1282480
494,2202768
495,2907456
496,2028224
497,2504944
498,3055440
499,1982032
500,1986400
501,2068672
502,1823264
503,2300528
504,2144304
505,2000272
506,3212992
507,2237008
508,2218592
509,1444832
510,2143840
511,3335280
512,2150944
513,2225888
514,2699504
515,1084432
516,2963776
517,2016736
518,1431696
519,2283824
520,2349232
521,2095392
522,2083264
523,2307696
524,1294224
525,2247792
