HICOM_PING_START run=20
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 154
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2558.861    Std dev: 1099.690
Min:     284.768    Max:     19224.720
P50:    2466.960    P95:     4010.864
P99:    5481.232    P99.9:   10203.376
Throughput: 391 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2296704
2,1617152
3,3913760
4,4058080
5,3794896
6,589456
7,4592912
8,2276016
9,4000800
10,3951072
11,357856
12,3576080
13,3551312
14,7355568
15,2983984
16,5740432
17,466800
18,2988992
19,3813776
20,4014864
21,3754576
22,1913408
23,710720
24,3822256
25,2095952
26,2373584
27,3552480
28,2844448
29,2518704
30,2306208
31,3428992
32,1548704
33,2337920
34,3165216
35,2504096
36,584160
37,2588528
38,618112
39,2812480
40,3600240
41,507024
42,2676448
43,3502784
44,5048016
45,2345072
46,2252752
47,2238976
48,1534704
49,3707616
50,3881104
51,3374880
52,3771760
53,3692624
54,2259696
55,2817136
56,2683536
57,612528
58,3545392
59,2913680
60,2140576
61,1906512
62,3931472
63,3480576
64,4775504
65,2695120
66,2285984
67,2797456
68,2335856
69,3791760
70,4207520
71,474224
72,2603344
73,4096688
74,4485840
75,3407856
76,670544
77,3351808
78,3097600
79,3269104
80,3339472
81,3862016
82,3707248
83,3476720
84,3491296
85,2378800
86,2686896
87,4039360
88,3458032
89,4039024
90,4311584
91,2523776
92,2309344
93,3551104
94,1857712
95,617648
96,2478832
97,3525200
98,507936
99,3622512
100,3959584
101,3391552
102,546192
103,3374528
104,2995520
105,2714608
106,2706000
107,3178832
108,558384
109,2696352
110,3945104
111,2876864
112,540384
113,3870256
114,2710912
115,2583328
116,4894608
117,642672
118,2941248
119,516320
120,2713632
121,3897072
122,3427248
123,4266512
124,3579184
125,4107088
126,2699952
127,3419760
128,3969088
129,3388416
130,4114384
131,2309584
132,4563776
133,3522640
134,3511344
135,3360064
136,4276064
137,5321264
138,3599344
139,1577360
140,2384160
141,2721552
142,2123024
143,1765216
144,3240256
145,3483904
146,4026208
147,3210016
148,2528896
149,3422112
150,3772192
151,1361360
152,2203216
153,3526528
154,2475024
155,2608992
156,2631056
157,3250944
158,4760768
159,2935616
160,2049856
161,19224720
162,2716640
163,2643216
164,2670480
165,1365120
166,2263392
167,3571984
168,1354432
169,2303136
170,2328656
171,380832
172,2283440
173,1321056
174,2117552
175,1298448
176,2256624
177,3489728
178,2043536
179,1738976
180,3195616
181,2329792
182,2258064
183,2662704
184,2472304
185,3271216
186,2532144
187,3319952
188,2234704
189,3386480
190,1981104
191,3331216
192,2838080
193,3490992
194,2157168
195,2878928
196,3061456
197,3369632
198,2610768
199,2562832
200,2292592
201,2024704
202,1296032
203,2375824
204,3699856
205,3448544
206,1566928
207,2033696
208,3286000
209,2223008
210,3212304
211,1991296
212,2253968
213,2180736
214,2156432
215,2417904
216,2888592
217,2279616
218,3145088
219,519456
220,1768784
221,3195008
222,3998848
223,2462480
224,2678784
225,3466112
226,3283808
227,2310592
228,3493888
229,2140368
230,3153056
231,417744
232,3390336
233,2265584
234,354576
235,2336352
236,2757520
237,2179856
238,2851520
239,2173664
240,2353648
241,3364656
242,2238944
243,406448
244,2354192
245,2742816
246,1451408
247,2560880
248,3778112
249,3310448
250,2247632
251,1963168
252,3189344
253,2308368
254,2561968
255,3069824
256,2668704
257,3292720
258,2488240
259,525552
260,3676720
261,1884000
262,3602976
263,3102416
264,2114304
265,3520256
266,4168432
267,2083680
268,2419872
269,1228640
270,2038336
271,3129376
272,2665296
273,3098224
274,527920
275,3353280
276,2169376
277,1213280
278,573872
279,3284720
280,3550464
281,2039968
282,1486000
283,2317344
284,2284192
285,1484944
286,2545232
287,2382688
288,1396016
289,2548608
290,1866320
291,2339056
292,3468064
293,2109744
294,3344560
295,1745136
296,1827520
297,1385744
298,2700272
299,3400640
300,2496800
301,1243136
302,1820496
303,2379440
304,4086640
305,2834016
306,2368832
307,2825648
308,409328
309,2228192
310,2045744
311,3070160
312,2719104
313,645504
314,2296416
315,2149328
316,2430912
317,1429376
318,2377568
319,2234592
320,2023744
321,2456880
322,1986544
323,3572896
324,2695760
325,1575840
326,2482688
327,2777168
328,3428496
329,589504
330,2434304
331,2295168
332,2955184
333,2218624
334,2119728
335,3127248
336,2638624
337,3101168
338,2134800
339,387648
340,1925664
341,2489488
342,3000144
343,2410480
344,1568880
345,3440224
346,2779088
347,2723600
348,2212000
349,812400
350,2530208
351,2702368
352,505792
353,3221456
354,503408
355,2081360
356,3798032
357,1909472
358,1683920
359,2333392
360,2146336
361,1795888
362,2242768
363,3140000
364,2320768
365,2028896
366,2232752
367,407408
368,2159344
369,2503248
370,3046096
371,2476896
372,1665616
373,3205248
374,2385248
375,1388064
376,3510224
377,2311040
378,1179600
379,2527264
380,2502128
381,1086544
382,2137792
383,3222304
384,2494272
385,2137072
386,3002800
387,2680304
388,2036560
389,648912
390,2614448
391,2072592
392,2287952
393,2162192
394,2249664
395,2493152
396,3307008
397,2275120
398,2316960
399,2300480
400,2279568
401,1928480
402,1571312
403,3874192
404,3006160
405,2250800
406,1556144
407,2130720
408,1874224
409,3146800
410,3961616
411,1942528
412,1579008
413,2091088
414,2095168
415,2052320
416,3451312
417,2677824
418,395968
419,3375536
420,1969616
421,3409248
422,2425120
423,3176512
424,2098224
425,1511120
426,2260704
427,2084048
428,2104000
429,2459456
430,2607536
431,3416368
432,2703712
433,2611616
434,2328320
435,1503264
436,2242880
437,1478624
438,3221216
439,426432
440,2159312
441,593888
442,2033472
443,1329312
444,2528704
445,2389088
446,3555472
447,1935888
448,1480128
449,2957872
450,2588512
