HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 100
Progress: 200/2000 (lost: 1)
WARNING: timeout at seq 292
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
WARNING: timeout at seq 1696
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2359.251    Std dev: 947.197
Min:     285.728    Max:     9335.968
P50:    2273.408    P95:     3811.456
P99:    4864.416    P99.9:   7808.480
Throughput: 424 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4324688
2,2263600
3,7808480
4,3779184
5,4223168
6,1918080
7,2265664
8,1691264
9,1979072
10,3638560
11,5749984
12,4391392
13,2877552
14,646320
15,2981600
16,3474416
17,2312672
18,2147200
19,3292064
20,3345408
21,518080
22,3243328
23,2095504
24,2043856
25,3168736
26,2150800
27,2545088
28,3565968
29,3536080
30,2850800
31,3648432
32,3815168
33,2772000
34,452624
35,3148368
36,2153616
37,1686880
38,1935696
39,3262944
40,3527328
41,542336
42,3197536
43,3176976
44,4172848
45,2498672
46,3200480
47,1992080
48,2704288
49,2993888
50,3866304
51,3548544
52,1842208
53,1792688
54,2206576
55,492256
56,3374464
57,2211328
58,3318112
59,610800
60,2343968
61,2423616
62,3038672
63,1814944
64,1238528
65,2144736
66,1670144
67,2185872
68,3018624
69,3983232
70,3471136
71,2213312
72,2027120
73,3442336
74,2454864
75,2914368
76,2217840
77,2688704
78,2259360
79,2103776
80,2115600
81,1705360
82,2272064
83,2960608
84,2468192
85,1118224
86,2235248
87,1350400
88,1859952
89,2357584
90,592992
91,2219776
92,2374432
93,3170304
94,2548864
95,2101216
96,3275648
97,2029792
98,1960016
99,2981904
100,4048560
101,5287712
102,7627152
103,1722928
104,3812416
105,4246048
106,2105440
107,3680256
108,3513104
109,3456416
110,496848
111,3030192
112,2177408
113,2242640
114,454768
115,3399472
116,2079920
117,3052608
118,443360
119,2209968
120,3081216
121,2497920
122,2313360
123,2938912
124,2820272
125,4480240
126,516384
127,3952672
128,489536
129,2249104
130,331184
131,3212992
132,308224
133,2766864
134,418448
135,2126384
136,2314784
137,1996064
138,3118432
139,2704512
140,2205920
141,1927248
142,2302224
143,2145168
144,3333584
145,2307440
146,2694272
147,2340992
148,2377120
149,2419456
150,2428448
151,1946560
152,2046864
153,1103072
154,2169760
155,2717488
156,5068416
157,3195152
158,447632
159,2888096
160,2223824
161,2253456
162,551232
163,2118736
164,2281328
165,2811840
166,2404320
167,4323744
168,2094080
169,2005216
170,2408064
171,3129312
172,1907584
173,3276384
174,359616
175,2684864
176,285728
177,2491984
178,1904960
179,2696656
180,4015312
181,2067392
182,2309616
183,339024
184,4973968
185,428400
186,1833504
187,416736
188,3657024
189,3352672
190,554832
191,3289728
192,3306624
193,2062576
194,2118640
195,509824
196,2327776
197,2339200
198,2642272
199,392608
200,2633216
201,3832160
202,2372896
203,1933136
204,3059664
205,2295968
206,3165936
207,3737056
208,2261600
209,2038816
210,2107504
211,2859008
212,3573952
213,561424
214,1794080
215,1980608
216,2166864
217,3123696
218,2283536
219,3001584
220,2371600
221,530960
222,4406720
223,1981296
224,2232512
225,3001216
226,2164752
227,1776624
228,498416
229,2353264
230,2393504
231,2666256
232,1985392
233,3757296
234,569840
235,2464448
236,2334928
237,2609744
238,2452512
239,2004240
240,2149728
241,3408224
242,2314608
243,2960912
244,2414960
245,487808
246,2552240
247,3824112
248,2448304
249,3209680
250,2230336
251,2114448
252,1986224
253,2569440
254,3035920
255,2066784
256,1305840
257,2302944
258,3005968
259,2217424
260,1980768
261,2798080
262,3112416
263,517552
264,2130016
265,2480128
266,1024208
267,1714288
268,2400720
269,1970496
270,2817776
271,500688
272,2106768
273,2347152
274,2328304
275,2220528
276,1664032
277,3389696
278,2277776
279,3143680
280,2040416
281,1986704
282,1605184
283,2396448
284,1996160
285,482048
286,3568240
287,2269072
288,2640400
289,4336864
290,7116960
291,2229008
292,2922448
293,3692368
294,3858224
295,4215680
296,3997728
297,3305936
298,2023376
299,3277840
300,2208944
301,2746416
302,1930160
303,5550176
304,1857616
305,1999968
306,463008
307,1829440
308,2673632
309,1989504
310,2620992
311,1086320
312,1869776
313,2141440
314,1995696
315,2635328
316,2616784
317,2004000
318,2826960
319,2134240
320,2067040
321,1986144
322,2431152
323,2067712
324,2370720
325,2977312
326,4116304
327,2017328
328,1554432
329,1863232
330,3224128
331,2483632
332,2107936
333,3572528
334,3249328
335,2076704
336,2221248
337,2098304
338,2493904
339,2218224
340,3282128
341,586944
342,1901568
343,2893504
344,2412896
345,2585696
346,2021616
347,3302928
348,2354640
349,3588640
350,1874256
351,3204896
352,2389472
353,2083056
354,2680720
355,2020896
356,2780240
357,1885376
358,2510208
359,1863728
360,3050688
361,2335376
362,3649648
363,2138880
364,1664864
365,2118176
366,2219168
367,2174192
368,3405584
369,2485120
370,2574304
371,497376
372,2015072
373,3473104
374,2220992
375,1253824
376,2326832
377,2784944
378,2137056
379,1958416
380,1782208
381,1785424
382,2082512
383,537680
384,2761936
385,3628288
386,3648528
387,2317440
388,3398080
389,1855344
390,2054592
391,2720560
392,2341632
393,2398784
394,2999984
395,2478240
396,1814352
397,3531184
398,2032144
399,2077072
400,3469888
401,2127776
402,2321568
403,5203360
404,3034816
405,889792
406,2604544
407,3213328
408,2957136
409,2408528
410,1668736
411,2030720
412,1355744
413,3578464
414,2091440
415,305984
416,1574096
417,3360016
418,2260512
419,3006672
420,2522416
421,1919712
422,2864656
423,347360
424,1736400
425,1652480
426,4153120
427,2545200
428,4414560
429,489328
430,1991056
431,3386448
432,2160928
433,3054544
434,2403520
435,579488
436,2893152
437,2276272
438,2320624
439,2491888
440,3406944
441,3376656
442,324512
443,3577904
444,2203872
445,1702960
446,2352608
447,3612064
448,2145456
449,3192128
450,2778480
451,3517696
452,3457280
453,1766080
454,1485040
455,2297648
456,1555424
457,2219376
458,2690896
459,2481200
460,2004304
461,354480
462,2094368
463,347776
464,432688
465,2278720
466,2873008
467,1949648
468,2140464
469,1501040
470,397568
471,2488224
472,4059936
473,502288
474,2671312
475,1836336
476,2126208
477,2017552
478,2065680
479,325568
480,2556752
481,2108160
482,2986992
483,2502304
484,3639264
485,2089920
486,1582432
487,2073568
488,1222976
489,2547856
490,1868400
491,1969408
492,2342240
493,2871536
494,2305360
495,3773824
496,2272592
497,1373472
498,2189248
499,2891632
500,3351664
501,504256
502,3546192
503,3101440
504,2304000
505,1337680
506,1932416
507,2212192
508,3455520
509,2247792
510,3317488
511,2288816
512,3518736
513,2192352
514,3407408
515,1948256
516,2027568
517,1364896
518,2199024
519,3811456
520,2909872
521,2715264
522,493616
523,2106320
524,2147792
525,2002240
526,2143472
527,1390832
528,1934640
529,1366896
530,2664256
531,2190976
532,2599296
533,2311152
534,1813440
535,2838672
536,369056
537,2273136
538,449872
539,2079808
540,998416
541,2508736
542,1109856
543,2231456
544,409552
545,2734416
546,1468976
547,2348464
548,615856
549,3087280
550,2230256
551,2892640
552,461920
553,2953472
554,516352
555,2107904
556,2186416
557,1585088
558,2041168
559,1306816
560,2396096
561,1483808
562,1954720
563,2784848
564,4241488
565,1976688
566,2190384
567,1376176
568,2405472
569,1421840
570,1851456
571,1984880
572,1926752
573,3180272
574,2278336
575,1864288
576,3619600
577,1770432
578,2184880
579,1920064
580,2396928
581,1764080
582,1747952
583,3611664
584,2351456
585,2257744
586,3510448
587,2113056
588,2080960
589,4074352
590,2410768
591,2451520
592,3185232
593,2214080
594,1384560
595,2000816
596,3370848
597,3043984
598,2137520
599,2380208
600,2056816
601,1429264
602,2217488
603,1316208
604,2327952
605,2196304
606,2112464
607,1908992
608,1393424
609,2054400
610,2979648
611,2339280
612,1902464
613,2125312
614,3085936
615,2368112
616,2907968
617,2348480
618,1736688
619,2978224
620,2195376
621,4045776
622,466368
623,1796048
624,1324816
625,2173936
626,1328816
627,2081520
628,1260624
629,1712000
630,2358976
631,2209600
632,2333680
633,3300336
634,2369088
635,496432
636,2625968
637,1654704
638,2256912
639,3274064
640,2024800
641,2474512
642,1689616
643,3356064
644,1172304
645,2420960
646,3061280
647,2632832
648,3446448
649,4495344
650,3533072
651,3645872
652,2062496
653,2186496
654,1566304
655,2242544
656,2536064
657,328800
658,1522608
659,2014128
660,1191408
661,2077616
662,1310752
663,2135136
664,2053296
665,3345120
666,336224
667,2262944
668,2496016
669,476368
670,2110512
671,2674128
672,418032
673,1995168
674,2008368
675,2875168
676,2523136
677,3227664
678,1849808
679,1967872
680,1770064
681,3505184
682,2453616
683,1940816
684,2757184
685,1445520
686,1846944
687,1967824
688,1980304
689,3435216
690,2486848
691,1651424
692,2103056
693,2806704
694,3177264
695,2713328
696,1740896
697,2703984
698,3418624
699,1948464
700,464512
701,1856272
702,1803312
703,568192
704,2611552
705,2090896
706,3010848
707,411216
708,2620064
709,312320
710,1541680
711,3405264
712,3292224
713,388384
714,2175808
715,1889008
716,2897520
717,2795024
718,2832752
719,4383104
720,2959664
721,2664848
722,313392
723,2105664
724,1794928
725,2711168
726,2129296
727,2193456
728,429728
729,1418992
730,3372848
731,2092064
732,437088
733,1970064
734,1455088
735,3504320
736,2529952
737,2940368
738,2397520
739,2269808
740,2649120
741,2771184
742,2379600
743,4005008
744,2085248
745,3894096
746,507920
747,3106384
748,2555312
749,1365840
750,2030208
751,4112256
752,3005360
753,3017488
754,2470080
755,2692336
756,1567936
757,2211488
758,2043216
759,3325296
760,4634800
761,2727536
762,3561056
763,3462448
764,2090256
765,388672
766,3281488
767,3659456
768,2112336
769,3229664
770,2398592
771,3030512
772,2000144
773,3117024
774,2336736
775,2194416
776,3001024
777,2524592
778,2990912
779,1979520
780,2323136
781,496688
782,2438336
783,1965072
784,2210816
785,2116624
786,4145104
787,2049184
788,2192928
789,1891152
790,3238400
791,2663312
792,2018128
793,476816
794,1563168
795,3133488
796,2425168
797,3261712
798,2034880
799,2333056
800,2027216
801,413456
802,1788896
803,2199424
804,2374704
805,3878192
806,348576
807,2628016
808,2105376
809,570672
810,1836000
811,1262304
812,2234352
813,3052816
814,3857392
815,1980576
816,2408384
817,3415616
818,2168000
819,3328016
820,1971104
821,1681024
822,2092304
823,1423824
824,2085296
825,3316528
826,2383264
827,586096
828,2897792
829,3221792
830,2468896
831,3602704
832,1433168
833,2290656
834,3633408
835,2847472
836,2234272
837,2328336
838,1552800
839,2040416
840,1907648
841,3418544
842,1917424
843,3419024
844,2506032
845,2746032
846,2432224
847,3384864
848,2075776
849,1914432
850,455248
851,2457040
852,2410352
853,2194640
854,3451552
855,1859296
856,2211488
857,1948160
858,392080
859,1935264
860,1252592
861,1842432
862,2244432
863,1932512
864,399264
865,1954848
866,2105712
867,4371184
868,2879136
869,2828352
870,2042032
871,408096
872,2168416
873,1266016
874,2312000
875,1524864
876,2037040
877,1634816
878,3333344
879,3524464
880,2322448
881,3119328
882,2470096
883,328176
884,3111568
885,3476544
886,2443184
887,1224992
888,2336480
889,1334592
890,1973424
891,1578256
892,2479360
893,2404880
894,3257856
895,2292176
896,2310496
897,2461792
898,3553568
899,684752
900,1985200
901,3308640
902,2468256
903,4300432
904,2771504
905,578544
906,3227520
907,1977488
908,1834048
909,2276880
910,2185568
911,3628048
912,2107584
913,1830672
914,1281712
915,1937168
916,3093552
917,2049552
918,2454688
919,3362624
920,2306960
921,3311376
922,2535456
