HICOM_PING_START run=23
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 4
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
WARNING: timeout at seq 1321
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2443.375    Std dev: 1013.531
Min:     309.312    Max:     10295.264
P50:    2336.688    P95:     3848.464
P99:    5213.296    P99.9:   10204.144
Throughput: 409 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7072224
2,3142288
3,3752272
4,6751552
5,367936
6,2316560
7,2318320
8,2553216
9,1272928
10,2144720
11,1112512
12,3782784
13,3759104
14,2326816
15,2397872
16,1891040
17,2120688
18,2208032
19,2166672
20,1866224
21,2211776
22,3071664
23,2275456
24,2335360
25,1932144
26,3040128
27,2660496
28,2797328
29,2454528
30,1952912
31,2934688
32,2950816
33,3685696
34,3079424
35,2178656
36,530624
37,2426368
38,2189968
39,2126512
40,568992
41,2859328
42,1934688
43,1883360
44,1982752
45,2826048
46,2851968
47,4433392
48,3098368
49,1974400
50,1131904
51,3480576
52,2227008
53,3143120
54,2729664
55,3406640
56,496448
57,2874064
58,2679936
59,2237024
60,3059568
61,2338144
62,2158400
63,1445024
64,3878528
65,4363296
66,4745920
67,3290992
68,2234784
69,2293248
70,3770096
71,1278880
72,2304928
73,3630960
74,1511712
75,1894336
76,3562672
77,2103232
78,415936
79,2197104
80,3116944
81,2387984
82,1737504
83,3384704
84,2153984
85,1567488
86,2426272
87,2053008
88,2935760
89,1947184
90,2624128
91,3059424
92,2551904
93,682976
94,2355440
95,2706640
96,2198720
97,3860288
98,2626800
99,1318560
100,1531872
101,3667520
102,2465280
103,2224000
104,2433552
105,3687520
106,3330512
107,2433344
108,2416352
109,3558800
110,3269472
111,407936
112,1807440
113,3030304
114,2415312
115,1305264
116,2238592
117,3096448
118,2740528
119,3364256
120,2247120
121,3427072
122,3465920
123,2522672
124,3251024
125,2135168
126,1280576
127,3165680
128,2277344
129,2299024
130,3051264
131,1847616
132,1610768
133,2192528
134,1589232
135,3971632
136,3342560
137,4222784
138,3050464
139,2092048
140,3069040
141,2833168
142,2954880
143,2471200
144,3465200
145,1508656
146,4017184
147,3155776
148,2390880
149,2764656
150,2536256
151,3946064
152,3699856
153,590272
154,2625024
155,2015152
156,1627760
157,2007088
158,3524400
159,3751520
160,3963760
161,1106560
162,2426000
163,1736352
164,428480
165,2770464
166,2449888
167,1969056
168,2025392
169,2016848
170,1169216
171,2432416
172,1515840
173,1990272
174,1512592
175,2297072
176,3280864
177,1742416
178,2032336
179,1387424
180,2365680
181,3233360
182,1910736
183,1613504
184,1813344
185,1819488
186,3998336
187,3200192
188,1944544
189,2173872
190,2881376
191,2295200
192,1814352
193,2050400
194,2012992
195,1518752
196,2245728
197,2317408
198,1776096
199,2208080
200,2302880
201,3828240
202,2046000
203,1853568
204,1932976
205,2041984
206,2283520
207,3599824
208,3649040
209,2286960
210,2526288
211,1388240
212,3712256
213,2220240
214,1538352
215,2291088
216,5526896
217,2285872
218,2430176
219,2822384
220,2697856
221,3488032
222,1972560
223,3801680
224,1363088
225,2727760
226,2752784
227,1406672
228,2149520
229,1625728
230,3211888
231,1944240
232,2312416
233,3240128
234,2271936
235,3166768
236,2726208
237,359808
238,2683216
239,432128
240,2891152
241,2225328
242,2185360
243,2482576
244,3711184
245,2633024
246,2489440
