HICOM_PING_START run=6
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 147
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
WARNING: timeout at seq 442
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
WARNING: timeout at seq 746
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2774.441    Std dev: 1347.481
Min:     272.496    Max:     10815.552
P50:    2568.720    P95:     5160.064
P99:    7335.824    P99.9:   9287.312
Throughput: 360 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4938016
2,4585632
3,3505072
4,2010832
5,2967024
6,4215328
7,2864928
8,2408736
9,2410496
10,5328928
11,615200
12,2413920
13,6164736
14,2844112
15,8687600
16,6056416
17,1999536
18,2160640
19,4862112
20,2410848
21,356960
22,7154096
23,1999728
24,2772912
25,4545504
26,4323360
27,3248976
28,2865024
29,1974448
30,3486976
31,2365024
32,3415648
33,3351760
34,5458000
35,3927152
36,3850592
37,1597776
38,5370432
39,433120
40,2613584
41,4682800
42,943072
43,636112
44,2909504
45,750048
46,1782352
47,1346400
48,3302560
49,4097104
50,4253408
51,8269520
52,431984
53,1945872
54,1231888
55,3841664
56,3544784
57,5680144
58,5537840
59,5607360
60,376928
61,2162720
62,3239424
63,4825136
64,6755872
65,7538288
66,4038176
67,541984
68,2972224
69,515184
70,3584752
71,2569776
72,4444992
73,3139840
74,4291344
75,681280
76,2905760
77,2899904
78,3982272
79,4745248
80,2905952
81,3929328
82,550992
83,2913536
84,3853728
85,3178544
86,2237504
87,2517072
88,2749184
89,4387456
90,3024416
91,1962784
92,4137056
93,2588240
94,3951584
95,2357280
96,2857808
97,2533072
98,4051920
99,3915680
100,4054896
101,3092048
102,3568288
103,2633920
104,3554288
105,4548528
106,432736
107,3799168
108,1782720
109,3169584
110,2588096
111,3665504
112,1887120
113,3558496
114,3685808
115,3485056
116,4005696
117,450128
118,2826288
119,3884544
120,759472
121,3115120
122,2842336
123,2353824
124,4396176
125,473168
126,2444640
127,2350688
128,2110368
129,1445856
130,3558608
131,4263392
132,3111920
133,3895792
134,3501872
135,3570048
136,3738144
137,3880272
138,3291360
139,3294848
140,2641424
141,2528096
142,3884048
143,4923200
144,3097344
145,3246752
146,4279216
147,3473344
148,8086752
149,1869776
150,2207600
151,5026912
152,4039920
153,3962976
154,2087648
155,3191760
156,3644048
157,2204192
158,3963376
159,367040
160,4001792
161,2715792
162,310848
163,4161632
164,3952240
165,3790352
166,353616
167,2269856
168,2634480
169,4915216
170,368704
171,6618240
172,489968
173,3357856
174,482736
175,3458752
176,2357824
177,1610416
178,2549152
179,1954880
180,1974608
181,1431280
182,2302832
183,3091104
184,365632
185,2647888
186,2541216
187,2242416
188,3714032
189,2376784
190,3383280
191,2830016
192,2347952
193,2710688
194,2779504
195,1935504
196,1436320
197,2268560
198,1245728
199,2522624
200,2150400
201,3229792
202,2785536
203,2297376
204,626432
205,2085808
206,1958288
207,403648
208,1152976
209,2800336
210,2824112
211,2188960
212,2442112
213,2036752
214,2477296
215,3614400
216,3201328
217,1926160
218,5925776
219,4678848
220,2876368
221,1854784
222,7272368
223,2428112
224,2689712
225,2819248
226,495328
227,3494784
228,413424
229,2639888
230,3898560
231,457872
232,2817136
233,2714288
234,1296720
235,2599008
236,2124896
237,1402224
238,2362112
239,1440592
240,2300400
241,598016
242,2855920
243,1928784
244,2016128
245,3487280
246,2267664
247,1580432
248,2223328
249,2429520
250,5442880
251,1980416
252,3050240
253,2656272
254,2830224
255,2067024
256,3995024
257,1321584
258,2143792
259,3547744
260,3176656
261,2523360
262,2162768
263,2567760
264,2148448
265,2447872
266,2707824
267,621152
268,2064912
269,2157440
270,2390992
271,2136336
272,603088
273,3194128
274,2374736
275,1400864
276,1931904
277,3601200
278,3676016
279,2966144
280,2427808
281,1984960
282,1431424
283,2119504
284,3305968
285,465056
286,2465184
287,3056096
