HICOM_PING_START run=13
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 7
WARNING: timeout at seq 19
Progress: 100/2000 (lost: 2)
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
WARNING: timeout at seq 444
WARNING: timeout at seq 445
Progress: 500/2000 (lost: 4)
Progress: 600/2000 (lost: 4)
Progress: 700/2000 (lost: 4)
Progress: 800/2000 (lost: 4)
Progress: 900/2000 (lost: 4)
Progress: 1000/2000 (lost: 4)
Progress: 1100/2000 (lost: 4)
WARNING: timeout at seq 1111
WARNING: timeout at seq 1121
Progress: 1200/2000 (lost: 6)
Progress: 1300/2000 (lost: 6)
Progress: 1400/2000 (lost: 6)
Progress: 1500/2000 (lost: 6)
Progress: 1600/2000 (lost: 6)
Progress: 1700/2000 (lost: 6)
Progress: 1800/2000 (lost: 6)
Progress: 1900/2000 (lost: 6)
Progress: 2000/2000 (lost: 6)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
Mean:   2602.073    Std dev: 1308.955
Min:     295.024    Max:     27305.088
P50:    2422.704    P95:     4484.384
P99:    7070.784    P99.9:   9295.248
Throughput: 384 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7835632
2,3314192
3,2623152
4,4168400
5,591296
6,3005088
7,1953088
8,322896
9,4143776
10,2175120
11,7983744
12,3215856
13,2191936
14,3902896
15,3990688
16,3027056
17,3220400
18,2220144
19,452512
20,1886272
21,5651280
22,4452640
23,1850016
24,3029648
25,404800
26,2126016
27,3812656
28,1607744
29,415120
30,2802256
31,3311552
32,2423760
33,2984960
34,3667424
35,2280544
36,2180560
37,3438224
38,488544
39,350752
40,2174496
41,2524304
42,3097328
43,2497520
44,2221152
45,3154896
46,2220224
47,3009968
48,2276144
49,1923440
50,1722448
51,3526368
52,2046480
53,1615808
54,1977840
55,2866384
56,2164640
57,2608544
58,3088592
59,2274064
60,1766480
61,417552
62,2185888
63,1559760
64,2199104
65,1173856
66,2407168
67,2092880
68,2230976
69,3122368
70,2636416
71,1953776
72,2463120
73,2777952
74,2088352
75,2951824
76,2354832
77,540448
78,1969872
79,2724208
80,2105632
81,1971936
82,2972320
83,2101008
84,2064112
85,2392208
86,1935504
87,1913408
88,2137248
89,1984304
90,2095568
91,3712080
92,2216960
93,2212816
94,1969504
95,2605184
96,3297936
97,2122448
98,2536240
99,4305024
100,1994240
101,2272896
102,3074512
103,2815664
104,1765472
105,1226880
106,2123840
107,1785648
108,1957392
109,3489152
110,3080320
111,2129632
112,5378272
113,2093920
114,1801216
115,2031584
116,1849280
117,3604832
118,3792656
119,4161392
120,1100288
121,1864336
122,3861392
123,2211888
124,2244688
125,5124688
126,2157088
127,2162192
128,442992
129,2050432
130,4179952
131,2070992
132,3010656
133,2087552
134,5728176
135,2389488
136,3153776
137,5799552
138,2945600
139,3301696
140,2068464
141,2568608
142,2517632
143,2234992
144,1885776
145,2058496
146,2523632
147,3859168
148,3550608
149,3510240
150,1740608
151,1963360
152,3677472
153,1332416
154,2151584
155,3559984
156,3372288
157,4556720
158,1990192
159,3272272
160,1582384
161,2317408
162,3099088
163,2659696
164,2069040
165,2571008
166,532032
167,2384560
168,376016
169,2236848
170,1409632
171,2015408
172,3069584
173,2631984
174,2989120
175,2062528
176,2807040
177,344096
178,2429984
179,1982800
180,440912
181,2024080
182,2829968
183,2474416
184,3133472
185,2328640
186,2352096
187,3384416
188,1992880
189,3521696
190,3292928
191,4451392
192,3249600
193,3288272
194,3957088
195,331120
196,3054688
197,2924496
198,4120144
199,1814880
200,2201600
201,2488080
202,1974000
203,3019712
204,296576
205,1243120
206,2121936
207,432992
208,3457248
209,3033376
210,2584720
211,1983872
212,1190272
213,1799056
214,2047344
215,1638960
216,3437408
217,2390976
218,1980480
219,1293616
220,2177312
221,1698064
222,2033040
223,2150432
224,1003664
225,2048464
226,2484352
227,2017856
228,2070064
229,2344256
230,1831632
231,2003472
232,462576
233,1182640
234,2451616
235,404672
236,1760640
237,409152
238,1520960
239,1730528
240,2307712
241,2387456
242,2049536
243,1363968
244,2250288
245,3340112
246,3123024
247,2252544
248,2432240
249,7071152
250,3611392
251,4038496
252,2695040
253,4297104
254,8439456
255,3082912
256,3432912
257,6338768
258,314720
259,4573040
260,3662288
261,3241104
262,3224864
263,4051568
264,5098688
265,1865920
266,4006432
267,815440
268,4774752
269,7185264
270,3942688
271,3084016
272,3740432
273,2204608
274,2090128
275,2860224
276,1987488
277,3923408
278,2191472
279,3117152
280,2553200
281,3474224
282,2051904
283,2997056
284,5908640
285,1946496
286,2095392
287,3979616
288,3407376
289,1875568
290,3196656
291,2594896
292,3409264
293,1795200
294,4082704
295,3047408
296,3767648
297,4217072
298,3185936
299,6335888
300,3215888
301,594224
302,3175008
303,3808528
304,3617568
305,4460080
306,4993472
307,3986112
308,3761024
309,1972320
310,2251200
311,3376064
312,397568
313,2240976
314,1626496
315,2430320
316,3364224
317,3335392
318,4759232
319,3938256
320,2456656
321,2252384
322,3679344
323,2388992
324,3412320
325,2256112
326,2044176
327,530640
328,2615760
329,1474896
330,3340288
331,2661472
332,2461728
333,2625808
334,1685488
335,1989616
336,1678672
337,1991152
338,2549840
339,1469936
340,3404160
341,3649936
342,2536672
343,1405552
344,2232432
345,2498304
346,1359136
347,2377632
348,2122640
349,2822704
350,2580688
351,3385664
352,2316336
353,389648
354,2435424
355,2315952
356,408048
357,2580240
358,1409280
359,2151296
360,2285872
361,3158944
362,2612480
363,329008
364,2105840
365,549088
366,2122800
367,2260304
368,3403776
369,1683200
370,3364912
371,2601408
372,2295808
373,3129584
374,2320736
375,3376640
376,498864
377,3122544
378,1919872
379,2726800
380,3040080
381,3317072
