HICOM_PING_START run=18
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 391
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
WARNING: timeout at seq 647
WARNING: timeout at seq 655
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2621.893    Std dev: 1193.224
Min:     289.440    Max:     10580.752
P50:    2463.440    P95:     4542.224
P99:    6689.344    P99.9:   9092.464
Throughput: 381 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2243232
2,1859776
3,932624
4,2885184
5,708160
6,3834128
7,538048
8,5606432
9,9092464
10,3868784
11,1065024
12,4862416
13,6689344
14,2223712
15,3534528
16,1925824
17,2220880
18,2924400
19,905056
20,1856560
21,2456864
22,3881504
23,1094480
24,1928064
25,2015184
26,2262304
27,1706848
28,3620224
29,2384576
30,2054752
31,1445888
32,2215008
33,432944
34,2702976
35,2362928
36,3217840
37,3131408
38,2656256
39,2520000
40,1962064
41,2684368
42,2604800
43,1470192
44,2245888
45,3375152
46,3630272
47,364672
48,1734944
49,3413296
50,3043120
51,2770304
52,2404480
53,2177136
54,3085056
55,2192512
56,3062848
57,3708768
58,4432784
59,5246064
60,1714576
61,2514576
62,3095584
63,2340784
64,3743840
65,7007360
66,6206688
67,3619680
68,1919936
69,1964592
70,2167824
71,2715216
72,2029408
73,2629104
74,2180752
75,2120624
76,732304
77,2640528
78,3359632
79,4482880
80,3724144
81,3318912
82,2670960
83,2678656
84,2703504
85,2587536
86,2200336
87,1941168
88,2367456
89,373328
90,2277136
91,2482208
92,2505760
93,1202864
94,2059712
95,360880
96,3799568
97,3245792
98,2392064
99,2048608
100,2396640
101,3581792
102,3595120
103,2114304
104,2223296
105,2101216
106,1956496
107,3282640
108,3053408
109,2510048
110,1913872
111,1797472
112,2792224
113,2504848
114,1900976
115,3226624
116,2617056
117,2483728
118,1793440
119,1871488
120,1944272
121,2220000
122,1648768
123,2007072
124,2581408
125,1422560
126,1761616
127,2714768
128,2065440
129,1123440
130,1703152
131,3334368
132,2189232
133,2222144
134,1236976
135,2536480
136,2919648
137,2570224
138,3913424
139,1680320
140,1196288
141,2162016
142,2228304
143,3623328
144,425040
145,2713040
146,2159904
147,3646592
148,1133424
149,4491680
150,3802192
151,3437824
152,4142176
153,4204992
154,3872224
155,7327024
156,2964928
157,1878912
158,4004352
159,3932784
160,3221040
161,708496
162,2197600
163,2368224
164,2094032
165,2839024
166,2866176
167,2131424
168,1272768
169,2341712
170,3155536
171,2376176
172,2862304
173,2172368
174,3088480
175,562624
176,1998896
177,3081488
178,2029312
179,2440608
180,3762928
181,1984128
182,2013072
183,3383984
184,4329728
185,2918848
186,2740976
187,4925360
188,3978032
189,2124448
190,2248160
191,2604784
192,3737648
193,2869856
194,3452272
195,7474448
196,2368368
197,787888
198,1916416
199,2286016
200,3129296
201,2735728
202,496592
203,2606768
204,1623056
205,3180720
206,3007376
207,572544
208,2514032
209,1945456
210,3609360
211,2836784
212,2487360
213,2266608
214,2233104
215,411040
216,1102528
217,2654224
218,2073376
219,3873120
220,3250752
221,2027312
222,2398848
223,2860864
224,2005488
225,450064
226,1120064
227,578736
228,2734800
229,4350624
230,500416
231,3379120
232,5205920
233,2184032
234,1007712
235,2426800
236,3056224
237,4366528
238,6154240
239,995136
240,2510864
241,3916400
242,2552144
243,4216752
244,8943536
245,3746592
246,4048640
247,2275712
248,3353664
249,1890544
250,3128416
251,4666432
252,2211120
253,3452704
254,3713584
255,4140720
256,4548976
257,3008064
258,4102368
259,2417056
260,5919664
261,2419088
262,1368624
263,2231392
264,2368304
265,1422192
266,2463440
267,1991248
268,467056
269,3474656
270,3175392
271,2134336
272,2123024
273,2355408
274,3015216
275,2306336
276,3265184
277,1398224
278,2109168
279,3178784
280,404624
281,2319008
282,748240
283,2907568
284,2916640
285,559200
286,2855936
287,2496640
288,1558336
289,2394672
290,2006144
291,2216288
292,354192
293,2776656
